symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,Moving_Average,moving_average_window_months,condition
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,9,0
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,9,0
500.PA,,,2010-08-01,13.36,0.0,0.0,12.94,0,,9,0
500.PA,,,2010-09-01,13.21,0.0,0.0,13.11,0,,9,0
500.PA,,,2010-10-01,13.08,0.0,0.0,13.36,0,,9,0
500.PA,,,2010-11-01,13.39,0.0,0.0,14.26,0,,9,0
500.PA,,,2010-12-01,14.52,0.0,0.0,14.75,0,,9,0
500.PA,,,2011-01-01,14.98,0.0,0.0,14.77,0,,9,0
500.PA,-0.07524000893056484,0.08136166103331723,2011-02-01,14.93,0.0,0.0,15.15,0,13.806666666666667,9,0
500.PA,-0.06584638329604776,0.07048774646762997,2011-03-01,14.9,0.0,0.0,14.75,0,13.918888888888889,9,0
500.PA,-0.04924157513263089,0.05179188934297384,2011-04-01,14.87,0.0,0.0,14.52,0,14.137777777777778,9,0
500.PA,-0.0126192674669129,0.012780548628428933,2011-05-01,14.44,0.0,0.0,14.8,0,14.257777777777777,9,0
500.PA,-0.00192633687779312,0.0019300548135566364,2011-06-01,14.42,0.0,0.0,14.42,0,14.392222222222223,9,0
500.PA,-0.005688282138794125,0.005720823798627043,2011-07-01,14.65,0.0,0.0,14.25,0,14.566666666666666,9,0
500.PA,0.021897245434849853,-0.021428030589838682,2011-08-01,14.36,0.0,0.0,13.44,0,14.674444444444443,9,1
500.PA,0.08436827289286301,-0.07780407726960369,2011-09-01,13.42,0.0,0.0,13.4,0,14.552222222222222,9,1
500.PA,0.09042553191489372,-0.08292682926829277,2011-10-01,13.16,0.0,0.0,14.29,0,14.350000000000001,9,1
500.PA,0.00674351133066722,-0.006698340992289046,2011-11-01,14.17,0.0,0.0,14.77,0,14.265555555555554,9,1
500.PA,-0.0328128535867844,0.03392606457650919,2011-12-01,14.73,0.0,0.0,15.46,0,14.246666666666666,9,0
500.PA,-0.07424177087825212,0.08019563698470615,2012-01-01,15.46,0.0,0.0,16.01,0,14.312222222222223,9,0
500.PA,-0.09613918347542807,0.1063650306748467,2012-02-01,16.03,0.0,0.0,16.33,0,14.488888888888889,9,0
500.PA,-0.10740516137726557,0.12032913112402795,2012-03-01,16.49,0.0,0.0,16.94,0,14.71888888888889,9,0
500.PA,-0.12287887653598593,0.14009339559706468,2012-04-01,17.09,0.0,0.0,16.93,0,14.99,9,0
500.PA,-0.10512970548078811,0.11748038360941601,2012-05-01,17.09,0.0,0.0,17.02,0,15.293333333333331,9,0
500.PA,-0.057429718875501995,0.06092884533446952,2012-06-01,16.6,0.0,0.0,17.26,0,15.646666666666668,9,0
500.PA,-0.07602674307545355,0.08228240645027896,2012-07-01,17.45,0.0,0.0,18.02,0,16.123333333333335,9,0
500.PA,-0.08061728395061725,0.08768631663757215,2012-08-01,18.0,0.0,0.0,17.99,0,16.54888888888889,9,0
500.PA,-0.06135158465902097,0.0653616238586351,2012-09-01,18.02,0.0,0.0,18.07,0,16.91444444444444,9,0
500.PA,-0.04743447766703575,0.04979655105599684,2012-10-01,18.06,0.0,0.0,17.6,0,17.203333333333333,9,0
500.PA,-0.023929706487193825,0.02451637617314686,2012-11-01,17.83,0.0,0.0,17.64,0,17.403333333333332,9,0
500.PA,0.0024168415696751732,-0.002411014529535102,2012-12-01,17.47,0.0,0.0,17.56,0,17.512222222222224,9,1
500.PA,-0.018095061039846372,0.018428526349006054,2013-01-01,17.93,0.0,0.0,17.93,0,17.605555555555554,9,0
500.PA,-0.013865676261219428,0.014060636494884178,2013-02-01,17.95,0.0,0.0,18.85,0,17.70111111111111,9,0
500.PA,-0.055205047318612026,0.05843071786310522,2013-03-01,19.02,0.0,0.0,19.9,0,17.97,9,0
500.PA,-0.08411423471664448,0.09183922046285033,2013-04-01,19.92,0.0,0.0,19.75,0,18.244444444444444,9,0
500.PA,-0.058395819132015504,0.062017374517374574,2013-05-01,19.56,0.0,0.0,20.55,0,18.417777777777776,9,0
500.PA,-0.0908550748122941,0.09993464440615535,2013-06-01,20.57,0.0,0.0,20.21,0,18.70111111111111,9,0
500.PA,-0.06487879785017016,0.06938009500909054,2013-07-01,20.26,0.0,0.0,20.78,0,18.945555555555554,9,0
500.PA,-0.08564814814814807,0.09367088607594928,2013-08-01,21.12,0.0,0.0,20.31,0,19.311111111111114,9,0
500.PA,-0.0336451665846053,0.034816576086956534,2013-09-01,20.31,0.0,0.0,20.4,0,19.626666666666665,9,0
500.PA,-0.03201598099557266,0.03307490657593824,2013-10-01,20.58,0.0,0.0,21.23,0,19.921111111111113,9,0
500.PA,-0.053925373906743256,0.05699907007275312,2013-11-01,21.47,0.0,0.0,21.84,0,20.31222222222222,9,0
500.PA,-0.056749479246049984,0.060163740170203706,2013-12-01,21.87,0.0,0.0,22.11,0,20.628888888888888,9,0
500.PA,-0.05598271269913069,0.05930263508118188,2014-01-01,22.11,0.0,0.0,21.81,0,20.87222222222222,9,0
500.PA,-0.009355074736072038,0.00944341862305473,2014-02-01,21.26,0.0,0.0,22.26,0,21.06111111111111,9,0
500.PA,-0.0412340105342363,0.04300737717783711,2014-03-01,22.15,0.0,0.0,22.48,0,21.236666666666665,9,0
500.PA,-0.04956282542489444,0.05214739779833589,2014-04-01,22.62,0.0,0.0,22.51,0,21.49888888888889,9,0
500.PA,-0.03767901234567906,0.039154308000205314,2014-05-01,22.5,0.0,0.0,23.39,0,21.65222222222222,9,0
500.PA,-0.06249112341996869,0.0666565671867898,2014-06-01,23.47,0.0,0.0,23.78,0,22.003333333333334,9,0
500.PA,-0.06633291614518147,0.0710455764075067,2014-07-01,23.97,0.0,0.0,24.0,0,22.38,9,0
500.PA,-0.05019574944071598,0.05284852053584583,2014-08-01,23.84,0.0,0.0,25.33,0,22.64333333333333,9,0
500.PA,-0.09308836395450569,0.10264325680108047,2014-09-01,25.4,0.0,0.0,26.04,0,23.035555555555554,9,0
500.PA,-0.09032897857112065,0.0992985117072709,2014-10-01,25.77,0.0,0.0,26.89,0,23.44222222222222,9,0
500.PA,-0.10756939296598313,0.1205353022611907,2014-11-01,26.98,0.0,0.0,27.73,0,24.077777777777776,9,0
500.PA,-0.1033995478036176,0.1153239969379025,2014-12-01,27.52,0.0,0.0,28.49,0,24.674444444444443,9,0
500.PA,-0.11537715726197395,0.13042525208241992,2015-01-01,28.65,0.0,0.0,29.62,0,25.344444444444445,9,0
500.PA,-0.1235808672994603,0.14100658313867068,2015-02-01,29.85,0.0,0.0,31.5,0,26.16111111111111,9,0
500.PA,-0.1470516185476816,0.17240388954991184,2015-03-01,31.75,0.0,0.0,32.36,0,27.08111111111111,9,0
500.PA,-0.1301015123264968,0.14955941890926414,2015-04-01,32.18,0.0,0.0,31.31,0,27.993333333333332,9,0
500.PA,-0.09364431893456068,0.10331961380159267,2015-05-01,31.87,0.0,0.0,32.39,0,28.885555555555552,9,0
500.PA,-0.09062446826612208,0.09965571439263518,2015-06-01,32.65,0.0,0.0,31.24,0,29.691111111111113,9,0
500.PA,-0.039101819589624505,0.04069298952457699,2015-07-01,31.57,0.0,0.0,32.15,0,30.335555555555555,9,0
500.PA,-0.042255944392828884,0.04412028886573492,2015-08-01,32.29,0.0,0.0,29.77,0,30.925555555555555,9,0
500.PA,0.0800880853036624,-0.07414958686554345,2015-09-01,28.76,0.0,0.0,29.13,0,31.063333333333333,9,1
500.PA,0.0698456365581538,-0.06528571428571432,2015-10-01,29.08,0.0,0.0,31.91,0,31.11111111111111,9,1
500.PA,-0.029178265800597836,0.03005522514868292,2015-11-01,32.33,0.0,0.0,33.46,0,31.38666666666667,9,0
500.PA,-0.06147906147906159,0.06550632911392418,2015-12-01,33.67,0.0,0.0,32.0,0,31.599999999999998,9,0
500.PA,-0.004558044949335505,0.004578915853615509,2016-01-01,31.69,0.0,0.0,30.52,0,31.54555555555556,9,0
500.PA,0.03504527292056169,-0.03385868602797954,2016-02-01,30.31,0.0,0.0,30.33,0,31.372222222222224,9,1
500.PA,0.004076815792297144,-0.004060262848595114,2016-03-01,31.07,0.0,0.0,30.87,0,31.196666666666673,9,1
500.PA,-0.0014245014245015334,0.0014265335235379123,2016-04-01,31.2,0.0,0.0,30.82,0,31.15555555555555,9,0
500.PA,0.0032722042430780814,-0.0032615318447367994,2016-05-01,30.9,0.0,0.0,32.26,0,31.00111111111111,9,1
500.PA,-0.024825633588840566,0.025457635520305933,2016-06-01,32.18,0.0,0.0,32.4,0,31.38111111111111,9,0
500.PA,-0.020061728395061686,0.020472440944881844,2016-07-01,32.4,0.0,0.0,33.37,0,31.75,9,0
500.PA,-0.0448308020250465,0.046934932701025035,2016-08-01,33.36,0.0,0.0,33.53,0,31.864444444444448,9,0
500.PA,-0.046115939133619555,0.04834543423624671,2016-09-01,33.37,0.0,0.0,33.23,0,31.831111111111113,9,0
500.PA,-0.03592112751498092,0.037259531911938155,2016-10-01,33.19,0.0,0.0,33.44,0,31.99777777777778,9,0
500.PA,-0.020523708421797678,0.020953757225433613,2016-11-01,32.97,0.0,0.0,35.82,0,32.29333333333333,9,0
500.PA,-0.08056178375685097,0.08762066045723957,2016-12-01,35.68,0.0,0.0,36.73,0,32.80555555555556,9,0
500.PA,-0.09011707051456581,0.09904248952722929,2017-01-01,36.73,0.0,0.0,36.53,0,33.419999999999995,9,0
500.PA,-0.07203607857380674,0.07762810267784341,2017-02-01,36.71,0.0,0.0,38.6,0,34.065555555555555,9,0
500.PA,-0.11503102086858437,0.12998311079952843,2017-03-01,39.4,0.0,0.0,38.39,0,34.867777777777775,9,0
500.PA,-0.07652781386218648,0.082869646764614,2017-04-01,38.49,0.0,0.0,38.09,0,35.544444444444444,9,0
500.PA,-0.05456557186116932,0.05771481367416073,2017-05-01,38.16,0.0,0.0,37.39,0,36.077777777777776,9,0
500.PA,-0.031178237060589885,0.03218160269851387,2017-06-01,37.74,0.0,0.0,37.09,0,36.56333333333334,9,0
500.PA,-0.007506702412868663,0.00756347920043223,2017-07-01,37.3,0.0,0.0,36.61,0,37.019999999999996,9,0
500.PA,0.02150048520135853,-0.021047944188808045,2017-08-01,36.64,0.0,0.0,36.4,0,37.42777777777778,9,1
500.PA,0.02766365379348138,-0.02691897654584235,2017-09-01,36.51,0.0,0.0,37.36,0,37.52,9,1
500.PA,-0.0037938944767954173,0.003808342927995683,2017-10-01,37.78,0.0,0.0,38.8,0,37.63666666666667,9,0
500.PA,-0.02777064978758586,0.02856388750403234,2017-11-01,38.97,0.0,0.0,39.05,0,37.88777777777778,9,0
500.PA,-0.033168766314833564,0.03430667644900936,2017-12-01,39.16,0.0,0.0,39.2,0,37.861111111111114,9,0
500.PA,-0.03670811130846634,0.03810694529809443,2018-01-01,39.41,0.0,0.0,39.95,0,37.96333333333334,9,0
500.PA,-0.04348068298933189,0.045457192778101466,2018-02-01,39.89,0.0,0.0,39.29,0,38.15555555555555,9,0
500.PA,-0.014024844009388238,0.014224338132838084,2018-03-01,38.82,38.72,37.13,37.84,390350,38.27555555555555,9,0
500.PA,0.013096077049565214,-0.01292678685293586,2018-04-01,37.84,39.29,36.86,39.24,2184577,38.33555555555555,9,1
500.PA,-0.01568694076339346,0.01593694263851342,2018-05-01,39.24,41.53,38.47,41.27,2345620,38.62444444444444,9,0
