date,open,high,low,close,volume,unnamed: 6,unnamed: 7,12 avg,12 avg.1,Moving_Average,condition
2010-07-01,12.9,0.0,0.0,13.23,-,,,12.9,False,,0
2010-08-01,13.36,0.0,0.0,12.94,-,,,13.13,False,,0
2010-09-01,13.21,0.0,0.0,13.11,-,,,13.16,False,,0
2010-10-01,13.08,0.0,0.0,13.36,-,,,13.14,True,,0
2010-11-01,13.39,0.0,0.0,14.26,-,,,13.19,False,,0
2010-12-01,14.52,0.0,0.0,14.75,-,,,13.41,False,,0
2011-01-01,14.98,0.0,0.0,14.77,-,,,13.63,False,,0
2011-02-01,14.93,0.0,0.0,15.15,-,,,13.8,False,,0
2011-03-01,14.9,0.0,0.0,14.75,-,,,13.92,False,,0
2011-04-01,14.87,0.0,0.0,14.52,-,,,14.01,False,,0
2011-05-01,14.44,0.0,0.0,14.8,-,,,14.05,False,,0
2011-06-01,14.42,0.0,0.0,14.42,-,,,14.08,False,14.083333333333334,0
2011-07-01,14.65,0.0,0.0,14.25,-,,,14.23,False,14.229166666666666,0
2011-08-01,14.36,0.0,0.0,13.44,-,,,14.31,False,14.3125,0
2011-09-01,13.42,0.0,0.0,13.4,-,,,14.33,True,14.33,1
2011-10-01,13.16,0.0,0.0,14.29,-,,,14.34,True,14.336666666666666,1
2011-11-01,14.17,0.0,0.0,14.77,-,,,14.4,True,14.401666666666666,1
2011-12-01,14.73,0.0,0.0,15.46,-,,,14.42,False,14.419166666666667,0
2012-01-01,15.46,0.0,0.0,16.01,-,,,14.46,False,14.459166666666667,0
2012-02-01,16.03,0.0,0.0,16.33,-,,,14.55,False,14.550833333333335,0
2012-03-01,16.49,0.0,0.0,16.94,-,,,14.68,False,14.683333333333332,0
2012-04-01,17.09,0.0,0.0,16.93,-,,,14.87,False,14.868333333333332,0
2012-05-01,17.09,0.0,0.0,17.02,-,,,15.09,False,15.089166666666666,0
2012-06-01,16.6,0.0,0.0,17.26,-,,,15.27,False,15.270833333333334,0
2012-07-01,17.45,0.0,0.0,18.02,-,,,15.5,False,15.504166666666668,0
2012-08-01,18.0,0.0,0.0,17.99,-,,,15.81,False,15.8075,0
2012-09-01,18.02,0.0,0.0,18.07,-,,,16.19,False,16.190833333333334,0
2012-10-01,18.06,0.0,0.0,17.6,-,,,16.6,False,16.599166666666665,0
2012-11-01,17.83,0.0,0.0,17.64,-,,,16.9,False,16.90416666666667,0
2012-12-01,17.47,0.0,0.0,17.56,-,,,17.13,False,17.132499999999997,0
2013-01-01,17.93,0.0,0.0,17.93,-,,,17.34,False,17.338333333333335,0
2013-02-01,17.95,0.0,0.0,18.85,-,,,17.5,False,17.49833333333333,0
2013-03-01,19.02,0.0,0.0,19.9,-,,,17.71,False,17.709166666666665,0
2013-04-01,19.92,0.0,0.0,19.75,-,,,17.95,False,17.945,0
2013-05-01,19.56,0.0,0.0,20.55,-,,,18.15,False,18.150833333333335,0
