symbol,date,open,high,low,close,volume,moving_average_window_months,Moving_Average,condition
AAPL,1985-01-01,0.13,0.14,0.12,0.13,6366416000,12,,0
AAPL,1985-02-01,0.13,0.14,0.11,0.11,4733388800,12,,0
AAPL,1985-03-01,0.11,0.12,0.09,0.1,4615587200,12,,0
AAPL,1985-04-01,0.1,0.1,0.09,0.09,2868028800,12,,0
AAPL,1985-05-01,0.09,0.1,0.08,0.08,4639129600,12,,0
AAPL,1985-06-01,0.08,0.08,0.07,0.08,5811388800,12,,0
AAPL,1985-07-01,0.08,0.08,0.07,0.07,2600595200,12,,0
AAPL,1985-08-01,0.07,0.07,0.06,0.07,1818745600,12,,0
AAPL,1985-09-01,0.07,0.08,0.07,0.07,1797196800,12,,0
AAPL,1985-10-01,0.07,0.09,0.07,0.08,3785913600,12,,0
AAPL,1985-11-01,0.08,0.09,0.08,0.09,2884672000,12,,0
AAPL,1985-12-01,0.09,0.1,0.09,0.1,3571209600,12,0.09166666666666667,1
AAPL,1986-01-01,0.1,0.11,0.1,0.1,6291801600,12,0.08916666666666667,0
AAPL,1986-02-01,0.1,0.12,0.1,0.11,3420860800,12,0.08666666666666667,0
AAPL,1986-03-01,0.11,0.13,0.11,0.13,4264332800,12,0.08666666666666667,0
AAPL,1986-04-01,0.13,0.15,0.12,0.14,4462684800,12,0.08916666666666667,0
AAPL,1986-05-01,0.14,0.17,0.13,0.17,4954051200,12,0.09333333333333334,0
AAPL,1986-06-01,0.17,0.17,0.15,0.16,4063360000,12,0.10083333333333333,0
AAPL,1986-07-01,0.16,0.17,0.13,0.14,5691638400,12,0.1075,0
AAPL,1986-08-01,0.14,0.17,0.14,0.17,3643516800,12,0.11333333333333334,0
AAPL,1986-09-01,0.17,0.17,0.14,0.15,3578198400,12,0.12166666666666666,0
AAPL,1986-10-01,0.15,0.16,0.14,0.15,2984038400,12,0.12833333333333333,0
AAPL,1986-11-01,0.16,0.18,0.15,0.18,5206163200,12,0.135,0
AAPL,1986-12-01,0.18,0.2,0.17,0.18,4762576000,12,0.1425,0
AAPL,1987-01-01,0.18,0.26,0.18,0.25,8268915200,12,0.14916666666666667,0
AAPL,1987-02-01,0.25,0.32,0.23,0.31,6616176000,12,0.16166666666666665,0
AAPL,1987-03-01,0.31,0.31,0.28,0.29,5959318400,12,0.17833333333333334,0
AAPL,1987-04-01,0.28,0.36,0.28,0.35,6813161600,12,0.19083333333333333,0
AAPL,1987-05-01,0.35,0.37,0.32,0.35,3838956800,12,0.20833333333333334,0
AAPL,1987-06-01,0.35,0.39,0.34,0.36,3497536000,12,0.22333333333333336,0
AAPL,1987-07-01,0.36,0.4,0.33,0.37,3070256000,12,0.24,0
AAPL,1987-08-01,0.37,0.48,0.36,0.48,3119300800,12,0.2591666666666667,0
AAPL,1987-09-01,0.49,0.52,0.43,0.5,3075486400,12,0.28583333333333333,0
AAPL,1987-10-01,0.51,0.53,0.25,0.34,6575699200,12,0.31583333333333335,0
AAPL,1987-11-01,0.35,0.36,0.27,0.29,4234238400,12,0.33166666666666667,0
AAPL,1987-12-01,0.3,0.39,0.27,0.38,4702264000,12,0.3416666666666666,1
AAPL,1988-01-01,0.38,0.41,0.34,0.37,6221600000,12,0.35833333333333334,0
AAPL,1988-02-01,0.37,0.39,0.34,0.38,3368467200,12,0.36833333333333335,0
AAPL,1988-03-01,0.39,0.43,0.35,0.36,4882102400,12,0.375,0
AAPL,1988-04-01,0.35,0.38,0.34,0.37,3297929600,12,0.38083333333333336,1
