symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_24_months,moving_average_window_months,condition,screening_rule
500.PA,0.0,0.0,2010-06-01,13.89,0.0,0.0,13.16,0,13.89,24,1,indicator >= low
500.PA,0.0706046511627907,-0.06594838821791642,2010-07-01,12.9,0.0,0.0,13.23,0,13.8108,24,1,indicator >= low
500.PA,0.03104311377245519,-0.0301084536211802,2010-08-01,13.36,0.0,0.0,12.94,0,13.774736,24,1,indicator >= low
500.PA,0.03933059197577592,-0.037842234491537625,2010-09-01,13.21,0.0,0.0,13.11,0,13.72955712,24,1,indicator >= low
500.PA,0.04568750385321114,-0.043691354907521726,2010-10-01,13.08,0.0,0.0,13.36,0,13.677592550400002,24,1,indicator >= low
500.PA,0.01975990637550429,-0.01937701830790368,2010-11-01,13.39,0.0,0.0,14.26,0,13.654585146368003,24,1,indicator >= low
500.PA,-0.054833448026269695,0.05801458791761573,2010-12-01,14.52,0.0,0.0,14.75,0,13.723818334658564,24,1,indicator >= low
500.PA,-0.07714867370588256,0.08359816094721079,2011-01-01,14.98,0.0,0.0,14.77,0,13.82431286788588,24,1,indicator >= low
500.PA,-0.06813343345914204,0.07311501013718869,2011-02-01,14.93,0.0,0.0,15.15,0,13.912767838455009,24,1,indicator >= low
500.PA,-0.06095661668599945,0.06491352558267967,2011-03-01,14.9,0.0,0.0,14.75,0,13.991746411378609,24,1,indicator >= low
500.PA,-0.054337141999440446,0.05745931707027907,2011-04-01,14.87,0.0,0.0,14.52,0,14.06200669846832,24,1,indicator >= low
500.PA,-0.024082675720854832,0.024676963019017357,2011-05-01,14.44,0.0,0.0,14.8,0,14.092246162590856,24,1,indicator >= low
500.PA,-0.02091078574316312,0.021357385454434958,2011-06-01,14.42,0.0,0.0,14.42,0,14.118466469583588,24,1,indicator >= low
500.PA,-0.03337958006710575,0.03453225214239015,2011-07-01,14.65,0.0,0.0,14.25,0,14.160989152016901,24,1,indicator >= low
