symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_3_months,moving_average_window_months,condition,screening_rule
500.PA,0.0,0.0,2010-06-01,13.89,0.0,0.0,13.16,0,13.89,3,0,indicator < high
500.PA,0.038372093023255754,-0.03695408734602458,2010-07-01,12.9,0.0,0.0,13.23,0,13.395,3,0,indicator < high
500.PA,0.0013098802395209634,-0.001308166697813498,2010-08-01,13.36,0.0,0.0,12.94,0,13.3775,3,0,indicator < high
500.PA,0.0063398940196819405,-0.006299952985425365,2010-09-01,13.21,0.0,0.0,13.11,0,13.29375,3,0,indicator < high
500.PA,0.008170871559633065,-0.008104649509455462,2010-10-01,13.08,0.0,0.0,13.36,0,13.186875,3,0,indicator < high
500.PA,-0.00758495145631068,0.007642922653622745,2010-11-01,13.39,0.0,0.0,14.26,0,13.2884375,3,0,indicator < high
500.PA,-0.04240917699724515,0.0442873678177711,2010-12-01,14.52,0.0,0.0,14.75,0,13.90421875,3,0,indicator < high
500.PA,-0.03590725133511344,0.037244602643095495,2011-01-01,14.98,0.0,0.0,14.77,0,14.442109375000001,3,0,indicator < high
500.PA,-0.016339270763563247,0.01661067711450324,2011-02-01,14.93,0.0,0.0,15.15,0,14.6860546875,3,0,indicator < high
500.PA,-0.007179372902684502,0.0072312890231487756,2011-03-01,14.9,0.0,0.0,14.75,0,14.793027343750001,3,0,indicator < high
500.PA,-0.0025881861550099586,0.002594902245074264,2011-04-01,14.87,0.0,0.0,14.52,0,14.831513671875001,3,0,indicator < high
500.PA,0.013556567585699442,-0.013375245170569318,2011-05-01,14.44,0.0,0.0,14.8,0,14.6357568359375,3,0,indicator < high
500.PA,0.007481166294642901,-0.00742561404116114,2011-06-01,14.42,0.0,0.0,14.42,0,14.52787841796875,3,0,indicator < high
500.PA,-0.004167972082977869,0.004185416783286233,2011-07-01,14.65,0.0,0.0,14.25,0,14.588939208984375,3,0,indicator < high
500.PA,0.007971420925639803,-0.007908379900612154,2011-08-01,14.36,0.0,0.0,13.44,0,14.474469604492187,3,0,indicator < high
500.PA,0.03928724308838253,-0.03780210269072021,2011-09-01,13.42,0.0,0.0,13.4,0,13.947234802246093,3,0,indicator < high
500.PA,0.029910136863453392,-0.029041501576577755,2011-10-01,13.16,0.0,0.0,14.29,0,13.553617401123047,3,0,indicator < high
500.PA,-0.021749562416265106,0.022233123115166935,2011-11-01,14.17,0.0,0.0,14.77,0,13.861808700561523,3,0,indicator < high
500.PA,-0.02947017309702915,0.03036503596295495,2011-12-01,14.73,0.0,0.0,15.46,0,14.295904350280761,3,0,indicator < high
500.PA,-0.037648630327271664,0.03912150126629427,2012-01-01,15.46,0.0,0.0,16.01,0,14.877952175140381,3,0,indicator < high
500.PA,-0.035934118055509105,0.037273508718129414,2012-02-01,16.03,0.0,0.0,16.33,0,15.45397608757019,3,0,indicator < high
500.PA,-0.03141370262067339,0.03243252842381567,2012-03-01,16.49,0.0,0.0,16.94,0,15.971988043785094,3,0,indicator < high
500.PA,-0.032709536460354224,0.03381563004421533,2012-04-01,17.09,0.0,0.0,16.93,0,16.530994021892546,3,0,indicator < high
500.PA,-0.016354768230177216,0.016626693956266037,2012-05-01,17.09,0.0,0.0,17.02,0,16.81049701094627,3,0,indicator < high
500.PA,0.006340271414044272,-0.0063003256394930235,2012-06-01,16.6,0.0,0.0,17.26,0,16.705248505473136,3,0,indicator < high
500.PA,-0.021339584370397117,0.021804891696440686,2012-07-01,17.45,0.0,0.0,18.02,0,17.07762425273657,3,0,indicator < high
500.PA,-0.02562154853509529,0.02629527417870871,2012-08-01,18.0,0.0,0.0,17.99,0,17.538812126368285,3,0,indicator < high
500.PA,-0.01335149482884901,0.013532169520221354,2012-09-01,18.02,0.0,0.0,18.07,0,17.77940606318414,3,0,indicator < high
500.PA,-0.007768381417936179,0.007829201642492997,2012-10-01,18.06,0.0,0.0,17.6,0,17.91970303159207,3,0,indicator < high
500.PA,0.0025155084574333443,-0.0025091965522847093,2012-11-01,17.83,0.0,0.0,17.64,0,17.874851515796035,3,0,indicator < high
500.PA,0.011587049679337135,-0.011454327813913902,2012-12-01,17.47,0.0,0.0,17.56,0,17.67242575789802,3,0,indicator < high
500.PA,-0.007182773064751286,0.0072347385499383,2013-01-01,17.93,0.0,0.0,17.93,0,17.80121287894901,3,0,indicator < high
500.PA,-0.004144488051559712,0.00416173631800342,2013-02-01,17.95,0.0,0.0,18.85,0,17.875606439474502,3,0,indicator < high
500.PA,-0.03008395269520225,0.031017068723421498,2013-03-01,19.02,0.0,0.0,19.9,0,18.447803219737253,3,0,indicator < high
500.PA,-0.03695273042828185,0.038370629974077274,2013-04-01,19.92,0.0,0.0,19.75,0,19.183901609868627,3,0,indicator < high
500.PA,-0.009613967027897954,0.00970729261906783,2013-05-01,19.56,0.0,0.0,20.55,0,19.371950804934315,3,0,indicator < high
500.PA,-0.029121273579622884,0.02999475916728839,2013-06-01,20.57,0.0,0.0,20.21,0,19.970975402467158,3,0,indicator < high
500.PA,-0.00713288740209388,0.00718413099959589,2013-07-01,20.26,0.0,0.0,20.78,0,20.11548770123358,3,0,indicator < high
500.PA,-0.023781067679129294,0.024360383610459176,2013-08-01,21.12,0.0,0.0,20.31,0,20.61774385061679,3,0,indicator < high
500.PA,0.0075761656971146014,-0.007519198999584174,2013-09-01,20.31,0.0,0.0,20.4,0,20.463871925308396,3,0,indicator < high
500.PA,-0.0028213817952284265,0.0028293645127567837,2013-10-01,20.58,0.0,0.0,21.23,0,20.521935962654197,3,0,indicator < high
500.PA,-0.02207880850828602,0.02257728812953441,2013-11-01,21.47,0.0,0.0,21.84,0,20.995967981327098,3,0,indicator < high
500.PA,-0.019982442127866925,0.02038988176013283,2013-12-01,21.87,0.0,0.0,22.11,0,21.43298399066355,3,0,indicator < high
500.PA,-0.015310176601909727,0.01554822263631756,2014-01-01,22.11,0.0,0.0,21.81,0,21.771491995331775,3,0,indicator < high
500.PA,0.012029444857285366,-0.011886457373759256,2014-02-01,21.26,0.0,0.0,22.26,0,21.51574599766589,3,0,indicator < high
500.PA,-0.014317246102350117,0.014525207066610372,2014-03-01,22.15,0.0,0.0,22.48,0,21.832872998832944,3,0,indicator < high
500.PA,-0.017398916913507017,0.017706999527065944,2014-04-01,22.62,0.0,0.0,22.51,0,22.226436499416472,3,0,indicator < high
500.PA,-0.006079188901856172,0.006116371479473819,2014-05-01,22.5,0.0,0.0,23.39,0,22.363218249708236,3,0,indicator < high
500.PA,-0.02357864828060842,0.024148026094563076,2014-06-01,23.47,0.0,0.0,23.78,0,22.91660912485412,3,0,indicator < high
500.PA,-0.021973109619229863,0.02246677451851573,2014-07-01,23.97,0.0,0.0,24.0,0,23.44330456242706,3,0,indicator < high
500.PA,-0.008319954647083416,0.008389757045199524,2014-08-01,23.84,0.0,0.0,25.33,0,23.64165228121353,3,0,indicator < high
500.PA,-0.034613144070599754,0.0358541696088009,2014-09-01,25.4,0.0,0.0,26.04,0,24.520826140606765,3,0,indicator < high
500.PA,-0.02423697825753262,0.024839000574393023,2014-10-01,25.77,0.0,0.0,26.89,0,25.145413070303384,3,0,indicator < high
500.PA,-0.033999016488076725,0.035195633408645566,2014-11-01,26.98,0.0,0.0,27.73,0,26.06270653515169,3,0,indicator < high
500.PA,-0.02647698882355219,0.027197085759232586,2014-12-01,27.52,0.0,0.0,28.49,0,26.791353267575843,3,0,indicator < high
500.PA,-0.03243711574911266,0.033524555640873234,2015-01-01,28.65,0.0,0.0,29.62,0,27.72067663378792,3,0,indicator < high
500.PA,-0.0356670580605038,0.036986248741818474,2015-02-01,29.85,0.0,0.0,31.5,0,28.785338316893963,3,0,indicator < high
500.PA,-0.04668758556072499,0.0489740664797552,2015-03-01,31.75,0.0,0.0,32.36,0,30.26766915844698,3,0,indicator < high
500.PA,-0.02971303358534827,0.030622933847233004,2015-04-01,32.18,0.0,0.0,31.31,0,31.223834579223492,3,0,indicator < high
500.PA,-0.010137518368002904,0.0102413401418034,2015-05-01,31.87,0.0,0.0,32.39,0,31.54691728961175,3,0,indicator < high
500.PA,-0.016892537678227414,0.01718279875358983,2015-06-01,32.65,0.0,0.0,31.24,0,32.09845864480587,3,0,indicator < high
500.PA,0.00836963327218678,-0.008300163943877496,2015-07-01,31.57,0.0,0.0,32.15,0,31.834229322402937,3,0,indicator < high
500.PA,-0.007057458618721875,0.007107620355256685,2015-08-01,32.29,0.0,0.0,29.77,0,32.06211466120147,3,0,indicator < high
500.PA,0.05740811302506023,-0.05429134911857791,2015-09-01,28.76,0.0,0.0,29.13,0,30.411057330600734,3,0,indicator < high
500.PA,0.022886130168513336,-0.02237407419410703,2015-10-01,29.08,0.0,0.0,31.91,0,29.745528665300366,3,0,indicator < high
500.PA,-0.03997017220382971,0.04163430244202372,2015-11-01,32.33,0.0,0.0,33.46,0,31.037764332650184,3,0,indicator < high
500.PA,-0.03908873874888354,0.040678822618843695,2015-12-01,33.67,0.0,0.0,32.0,0,32.35388216632509,3,0,indicator < high
500.PA,0.010474631844826254,-0.01036605127404603,2016-01-01,31.69,0.0,0.0,30.52,0,32.021941083162545,3,0,indicator < high
500.PA,0.02824053254969565,-0.027464908896042535,2016-02-01,30.31,0.0,0.0,30.33,0,31.165970541581274,3,0,indicator < high
500.PA,0.0015444245507124797,-0.0015420429816733296,2016-03-01,31.07,0.0,0.0,30.87,0,31.117985270790637,3,0,indicator < high
500.PA,-0.0013143386091243952,0.001316068368593485,2016-04-01,31.2,0.0,0.0,30.82,0,31.158992635395318,3,0,indicator < high
500.PA,0.004190819342966279,-0.004173329672251234,2016-05-01,30.9,0.0,0.0,32.26,0,31.029496317697657,3,0,indicator < high
500.PA,-0.017876067158209184,0.01820143727328231,2016-06-01,32.18,0.0,0.0,32.4,0,31.604748158848828,3,0,indicator < high
500.PA,-0.01227240495603658,0.012424888215753799,2016-07-01,32.4,0.0,0.0,33.37,0,32.00237407942441,3,0,indicator < high
500.PA,-0.02034811032037749,0.020770755953966435,2016-08-01,33.36,0.0,0.0,33.53,0,32.681187039712206,3,0,indicator < high
500.PA,-0.010320841478690307,0.010428472085954389,2016-09-01,33.37,0.0,0.0,33.23,0,33.0255935198561,3,0,indicator < high
500.PA,-0.0024767472151837272,0.002482896722727331,2016-10-01,33.19,0.0,0.0,33.44,0,33.10779675992805,3,0,indicator < high
500.PA,0.0020897294499249465,-0.0020853715875045016,2016-11-01,32.97,0.0,0.0,35.82,0,33.038898379964024,3,0,indicator < high
500.PA,-0.0370109531955713,0.03843341034707301,2016-12-01,35.68,0.0,0.0,36.73,0,34.359449189982016,3,0,indicator < high
500.PA,-0.03226995385268138,0.03334602865866675,2017-01-01,36.73,0.0,0.0,36.53,0,35.54472459499101,3,0,indicator < high
500.PA,-0.015871362094919423,0.016127324704933766,2017-02-01,36.71,0.0,0.0,38.6,0,36.12736229749551,3,0,indicator < high
500.PA,-0.041530935310970775,0.04333049113530366,2017-03-01,39.4,0.0,0.0,38.39,0,37.76368114874775,3,0,indicator < high
500.PA,-0.009435163045625602,0.00952503328771016,2017-04-01,38.49,0.0,0.0,38.09,0,38.12684057437387,3,0,indicator < high
500.PA,-0.00043447884730246416,0.0004346677012242517,2017-05-01,38.16,0.0,0.0,37.39,0,38.143420287186935,3,0,indicator < high
500.PA,0.005344730884829525,-0.005316316603286408,2017-06-01,37.74,0.0,0.0,37.09,0,37.94171014359347,3,0,indicator < high
500.PA,0.008602012648706048,-0.008528649101260628,2017-07-01,37.3,0.0,0.0,36.61,0,37.62085507179673,3,0,indicator < high
500.PA,0.013385031001592863,-0.013208238322174135,2017-08-01,36.64,0.0,0.0,36.4,0,37.13042753589836,3,0,indicator < high
500.PA,0.008496679483680802,-0.008425094158992017,2017-09-01,36.51,0.0,0.0,37.36,0,36.820213767949184,3,0,indicator < high
500.PA,-0.012702305876797472,0.012865730318633138,2017-10-01,37.78,0.0,0.0,38.8,0,37.30010688397459,3,0,indicator < high
500.PA,-0.021425367154547167,0.021894464086247057,2017-11-01,38.97,0.0,0.0,39.05,0,38.135053441987296,3,0,indicator < high
500.PA,-0.013086651660019164,0.013260183056629361,2017-12-01,39.16,0.0,0.0,39.2,0,38.647526720993646,3,0,indicator < high
500.PA,-0.009673601611346656,0.009768094263756315,2018-01-01,39.41,0.0,0.0,39.95,0,39.028763360496825,3,0,indicator < high
500.PA,-0.01079514464155397,0.010912951531806084,2018-02-01,39.89,0.0,0.0,39.29,0,39.45938168024841,3,0,indicator < high
