symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_6_months,moving_average_window_months,condition,screening_rule
500.PA,0.0,0.0,2010-06-01,13.89,0.0,0.0,13.16,0,13.89,6,0,indicator <= close
500.PA,0.05481727574750832,-0.05196850393700788,2010-07-01,12.9,0.0,0.0,13.23,0,13.607142857142858,6,0,indicator <= close
500.PA,0.013213369180007333,-0.013041052933106183,2010-08-01,13.36,0.0,0.0,12.94,0,13.536530612244897,6,0,indicator <= close
500.PA,0.017656029644473697,-0.01734970277790421,2010-09-01,13.21,0.0,0.0,13.11,0,13.443236151603498,6,0,indicator <= close
500.PA,0.019835962844227815,-0.019450150383898166,2010-10-01,13.08,0.0,0.0,13.36,0,13.3394543940025,6,1,indicator <= close
500.PA,-0.002696340872586226,0.002703630782770192,2010-11-01,13.39,0.0,0.0,14.26,0,13.353895995716071,6,1,indicator <= close
500.PA,-0.05736442366607287,0.06085535609548394,2010-12-01,14.52,0.0,0.0,14.75,0,13.687068568368622,6,1,indicator <= close
500.PA,-0.06165036389621299,0.06570084489209958,2011-01-01,14.98,0.0,0.0,14.77,0,14.05647754883473,6,1,indicator <= close
500.PA,-0.04179133342097747,0.043614021536853814,2011-02-01,14.93,0.0,0.0,15.15,0,14.306055392024806,6,1,indicator <= close
500.PA,-0.028472895876087912,0.02930736132345349,2011-03-01,14.9,0.0,0.0,14.75,0,14.47575385144629,6,1,indicator <= close
500.PA,-0.018937753317019298,0.019303314729568654,2011-04-01,14.87,0.0,0.0,14.52,0,14.588395608175922,6,0,indicator <= close
500.PA,0.00734050297664839,-0.0072870126386832615,2011-05-01,14.44,0.0,0.0,14.8,0,14.545996862982802,6,1,indicator <= close
500.PA,0.006241176093857852,-0.006202465414986856,2011-06-01,14.42,0.0,0.0,14.42,0,14.50999775927343,6,0,indicator <= close
500.PA,-0.006826047816995169,0.006872962991016284,2011-07-01,14.65,0.0,0.0,14.25,0,14.549998399481021,6,0,indicator <= close
500.PA,0.009450775939167344,-0.009362294986969109,2011-08-01,14.36,0.0,0.0,13.44,0,14.495713142486442,6,0,indicator <= close
500.PA,0.05725533013021302,-0.054154685721150606,2011-09-01,13.42,0.0,0.0,13.4,0,14.188366530347459,6,0,indicator <= close
500.PA,0.055816680978476904,-0.05286588286022234,2011-10-01,13.16,0.0,0.0,14.29,0,13.894547521676756,6,1,indicator <= close
500.PA,-0.013885093170846003,0.014080603664631161,2011-11-01,14.17,0.0,0.0,14.77,0,13.973248229769112,6,1,indicator <= close
500.PA,-0.03669633256865908,0.03809425190553902,2011-12-01,14.73,0.0,0.0,15.46,0,14.189463021263652,6,1,indicator <= close
500.PA,-0.05870157913215435,0.06236234740310459,2012-01-01,15.46,0.0,0.0,16.01,0,14.552473586616895,6,1,indicator <= close
500.PA,-0.06583755518149483,0.07047763003819549,2012-02-01,16.03,0.0,0.0,16.33,0,14.974623990440639,6,1,indicator <= close
500.PA,-0.06564047516067573,0.07025183927135917,2012-03-01,16.49,0.0,0.0,16.94,0,15.407588564600456,6,1,indicator <= close
500.PA,-0.07031728811333043,0.0756357918828357,2012-04-01,17.09,0.0,0.0,16.93,0,15.888277546143183,6,1,indicator <= close
500.PA,-0.05022663436666451,0.052882757280914044,2012-05-01,17.09,0.0,0.0,17.02,0,16.231626818673703,6,1,indicator <= close
500.PA,-0.015850825358274534,0.01610612066412081,2012-06-01,16.6,0.0,0.0,17.26,0,16.336876299052644,6,1,indicator <= close
500.PA,-0.04556380274037484,0.04773897183614527,2012-07-01,17.45,0.0,0.0,18.02,0,16.65491164218046,6,1,indicator <= close
500.PA,-0.05337652213569615,0.05638622259414059,2012-08-01,18.0,0.0,0.0,17.99,0,17.03922260155747,6,1,indicator <= close
500.PA,-0.03887654187579403,0.040449061509400815,2012-09-01,18.02,0.0,0.0,18.07,0,17.31944471539819,6,1,indicator <= close
500.PA,-0.029289482858796293,0.03017324149845975,2012-10-01,18.06,0.0,0.0,17.6,0,17.531031939570138,6,1,indicator <= close
500.PA,-0.011976927346761444,0.01212211301361474,2012-11-01,17.83,0.0,0.0,17.64,0,17.61645138540724,6,1,indicator <= close
500.PA,0.005987872491914508,-0.0059522312899081544,2012-12-01,17.47,0.0,0.0,17.56,0,17.574608132433745,6,0,indicator <= close
500.PA,-0.014157910428103458,0.014361235514149686,2013-01-01,17.93,0.0,0.0,17.93,0,17.676148666024105,6,1,indicator <= close
500.PA,-0.01089738694691187,0.011017448344691587,2013-02-01,17.95,0.0,0.0,18.85,0,17.75439190430293,6,1,indicator <= close
500.PA,-0.04752922095903063,0.049900975447128355,2013-03-01,19.02,0.0,0.0,19.9,0,18.115994217359237,6,1,indicator <= close
500.PA,-0.06468752806371082,0.06916140862507086,2013-04-01,19.92,0.0,0.0,19.75,0,18.631424440970882,6,1,indicator <= close
500.PA,-0.033909420063873756,0.03509962809710421,2013-05-01,19.56,0.0,0.0,20.55,0,18.896731743550628,6,1,indicator <= close
500.PA,-0.058103627211937285,0.06168791906475603,2013-06-01,20.57,0.0,0.0,20.21,0,19.37480838825045,6,1,indicator <= close
500.PA,-0.03120827851324047,0.03221360982043341,2013-07-01,20.26,0.0,0.0,20.78,0,19.62772027732175,6,1,indicator <= close
