symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_6_months,moving_average_window_months,condition,screening_rule
AAPL,0.0,0.0,1985-01-01,0.13,0.14,0.12,0.13,6366416000,0.13,6,1,indicator >= close
AAPL,0.0,0.0,1985-02-01,0.13,0.14,0.11,0.11,4733388800,0.13,6,1,indicator >= close
AAPL,0.1298701298701299,-0.11494252873563222,1985-03-01,0.11,0.12,0.09,0.1,4615587200,0.12428571428571429,6,1,indicator >= close
AAPL,0.17346938775510204,-0.14782608695652172,1985-04-01,0.1,0.1,0.09,0.09,2868028800,0.11734693877551021,6,1,indicator >= close
AAPL,0.2170391966310334,-0.17833377694969393,1985-05-01,0.09,0.1,0.08,0.08,4639129600,0.109533527696793,6,1,indicator >= close
AAPL,0.263692211578509,-0.20866806739999177,1985-06-01,0.08,0.08,0.07,0.08,5811388800,0.10109537692628072,6,1,indicator >= close
AAPL,0.188351579698935,-0.15849819440358995,1985-07-01,0.08,0.08,0.07,0.07,2600595200,0.0950681263759148,6,1,indicator >= close
AAPL,0.25579720791749794,-0.2036930854000617,1985-08-01,0.07,0.07,0.06,0.07,1818745600,0.08790580455422486,6,1,indicator >= close
AAPL,0.18271229136964146,-0.1544858311720522,1985-09-01,0.07,0.08,0.07,0.07,1797196800,0.08278986039587491,6,1,indicator >= close
AAPL,0.1305087795497438,-0.11544251748466962,1985-10-01,0.07,0.09,0.07,0.08,3785913600,0.07913561456848207,6,0,indicator >= close
AAPL,-0.007717727067124355,0.0077777536469669775,1985-11-01,0.08,0.09,0.08,0.09,2884672000,0.07938258183463005,6,0,indicator >= close
AAPL,-0.08426522353468216,0.09201924585625212,1985-12-01,0.09,0.1,0.09,0.1,3571209600,0.0824161298818786,6,0,indicator >= close
AAPL,-0.12559907227229578,0.1436401406831631,1986-01-01,0.1,0.11,0.1,0.1,6291801600,0.08744009277277043,6,0,indicator >= close
AAPL,-0.08971362305163988,0.09855538358422479,1986-02-01,0.1,0.12,0.1,0.11,3420860800,0.09102863769483602,6,0,indicator >= close
AAPL,-0.12319066431924662,0.14049880550553398,1986-03-01,0.11,0.13,0.11,0.13,4264332800,0.09644902692488287,6,0,indicator >= close
AAPL,-0.18434600590723696,0.2260100572575282,1986-04-01,0.13,0.15,0.12,0.14,4462684800,0.1060350192320592,6,0,indicator >= close
AAPL,-0.17329071820377961,0.20961506302102326,1986-05-01,0.14,0.17,0.13,0.17,4954051200,0.11573929945147086,6,0,indicator >= close
AAPL,-0.22798613675852586,0.295313526885741,1986-06-01,0.17,0.17,0.15,0.16,4063360000,0.13124235675105062,6,0,indicator >= close
AAPL,-0.12838233593280984,0.14729203092758028,1986-07-01,0.16,0.17,0.13,0.14,5691638400,0.13945882625075043,6,0,indicator >= close
AAPL,-0.002761090557395841,0.0027687352862506365,1986-08-01,0.14,0.17,0.14,0.17,3643516800,0.1396134473219646,6,0,indicator >= close
AAPL,-0.12767459108418241,0.14636119707078651,1986-09-01,0.17,0.17,0.14,0.15,3578198400,0.148295319515689,6,0,indicator >= close
AAPL,-0.008117526115766587,0.00818395962172633,1986-10-01,0.15,0.16,0.14,0.15,2984038400,0.148782371082635,6,0,indicator >= close
AAPL,-0.05007870052395093,0.05271878896869981,1986-11-01,0.16,0.18,0.15,0.18,5206163200,0.15198740791616785,6,0,indicator >= close
AAPL,-0.1111610796977466,0.1250632450477594,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.1599910056544056,6,0,indicator >= close
AAPL,-0.07940077121267612,0.08624900904736607,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.1657078611817183,6,0,indicator >= close
AAPL,-0.2408346823379477,0.3172361496697837,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.18979132941551308,6,0,indicator >= close
AAPL,-0.27697850365089155,0.3830847423617311,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.22413666386822362,6,0,indicator >= close
AAPL,-0.1425085105402459,0.1661923322761263,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.24009761704873117,6,0,indicator >= close
AAPL,-0.22429057745156897,0.28914252029414467,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.27149829789195085,6,0,indicator >= close
AAPL,-0.1602075553225492,0.190770417545352,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.29392735563710776,6,0,indicator >= close
AAPL,-0.1310965165930401,0.15087580968027917,1987-07-01,0.36,0.4,0.33,0.37,3070256000,0.31280525402650555,6,0,indicator >= close
AAPL,-0.11041456751639857,0.12411912727497809,1987-08-01,0.37,0.48,0.36,0.48,3119300800,0.32914661001893253,6,0,indicator >= close
AAPL,-0.23448016032225577,0.30630187249093804,1987-09-01,0.49,0.52,0.43,0.5,3075486400,0.37510472144209467,6,0,indicator >= close
AAPL,-0.1889289615656937,0.23293762520531208,1987-10-01,0.51,0.53,0.25,0.34,6575699200,0.4136462296014962,6,1,indicator >= close
AAPL,0.1298902644928495,-0.11495830044269889,1987-11-01,0.35,0.36,0.27,0.29,4234238400,0.3954615925724973,6,1,indicator >= close
AAPL,0.22728950612499355,-0.18519632490188115,1987-12-01,0.3,0.39,0.27,0.38,4702264000,0.36818685183749805,6,0,indicator >= close
AAPL,-0.022205165718988673,0.022709432429469212,1988-01-01,0.38,0.41,0.34,0.37,6221600000,0.3715620370267843,6,1,indicator >= close
AAPL,0.003015515495722591,-0.003006449500666224,1988-02-01,0.37,0.39,0.34,0.38,3368467200,0.37111574073341735,6,0,indicator >= close
AAPL,-0.034586555433301615,0.03582564094995064,1988-03-01,0.39,0.43,0.35,0.36,4882102400,0.3765112433810124,6,1,indicator >= close
AAPL,0.05410457832859682,-0.051327524271250015,1988-04-01,0.35,0.38,0.34,0.37,3297929600,0.36893660241500886,6,0,indicator >= close
AAPL,0.01773135399803351,-0.017422430711580266,1988-05-01,0.36,0.39,0.33,0.37,2638507200,0.36638328743929205,6,0,indicator >= close
AAPL,-0.006982070580517228,0.007031162654433581,1988-06-01,0.37,0.42,0.37,0.41,3534731200,0.3674166338852086,6,0,indicator >= close
AAPL,-0.08942749339250225,0.09821018397061045,1988-07-01,0.42,0.42,0.38,0.4,2186419200,0.38244045277514904,6,0,indicator >= close
AAPL,-0.031356334330090996,0.032371382213504815,1988-08-01,0.4,0.41,0.35,0.36,2653313600,0.3874574662679636,6,1,indicator >= close
AAPL,0.07644380871012998,-0.07101514086622904,1988-09-01,0.35,0.4,0.34,0.39,3060321600,0.37675533304854547,6,0,indicator >= close
AAPL,-0.006098998029049896,0.006136424067342029,1988-10-01,0.38,0.39,0.33,0.34,3563649600,0.37768238074896104,6,1,indicator >= close
AAPL,0.07916466543899381,-0.07335735497491513,1988-11-01,0.34,0.35,0.32,0.34,2939865600,0.3669159862492579,6,1,indicator >= close
AAPL,0.05654618959928134,-0.05351984622719404,1988-12-01,0.34,0.38,0.33,0.36,2946070400,0.3592257044637557,6,0,indicator >= close
AAPL,-0.0015363006671514912,0.0015386645184777509,1989-01-01,0.36,0.39,0.32,0.34,7345833600,0.35944693175982545,6,1,indicator >= close
AAPL,0.0408548986550954,-0.03925129113374463,1989-02-01,0.34,0.36,0.31,0.32,4886268800,0.35389066554273246,6,1,indicator >= close
AAPL,0.07564880701502776,-0.07032853708540475,1989-03-01,0.32,0.33,0.3,0.32,3859676800,0.3442076182448089,6,1,indicator >= close
AAPL,0.054034862153591254,-0.05126477699531482,1989-04-01,0.32,0.37,0.3,0.35,3966424000,0.3372911558891492,6,0,indicator >= close
AAPL,-0.005690848972375595,0.005723420091723051,1989-05-01,0.34,0.44,0.34,0.43,5253382400,0.3380651113493923,6,0,indicator >= close
AAPL,-0.15271576187808586,0.18024147624484885,1989-06-01,0.43,0.45,0.35,0.37,3941280000,0.3643322223924231,6,0,indicator >= close
AAPL,-0.01094165561308279,0.011062699865158248,1989-07-01,0.37,0.38,0.34,0.35,3688630400,0.36595158742315936,6,1,indicator >= close
AAPL,0.032554260047264076,-0.031527892825481095,1989-08-01,0.35,0.41,0.35,0.4,3352305600,0.3613939910165424,6,0,indicator >= close
AAPL,-0.0689393017561743,0.07404383182128531,1989-09-01,0.4,0.42,0.38,0.4,2020849600,0.3724242792975303,6,0,indicator >= close
AAPL,-0.049242358397267316,0.051792755842863775,1989-10-01,0.4,0.45,0.38,0.42,4125049600,0.3803030566410931,6,0,indicator >= close
AAPL,-0.05173683512004689,0.05455957484818742,1989-11-01,0.41,0.42,0.38,0.4,2524939200,0.38878789760078075,6,0,indicator >= close
AAPL,-0.020021611427177288,0.020430666288810174,1989-12-01,0.4,0.41,0.29,0.31,5941185600,0.3919913554291291,6,1,indicator >= close
AAPL,0.18892017379983667,-0.15890063770727364,1990-01-01,0.31,0.35,0.29,0.3,3747497600,0.36856525387794936,6,1,indicator >= close
AAPL,0.13494298128559767,-0.11889846759767797,1990-02-01,0.31,0.31,0.29,0.3,2483891200,0.3518323241985353,6,1,indicator >= close
AAPL,0.12341029571079835,-0.10985327104618961,1990-03-01,0.3,0.39,0.3,0.36,4556473600,0.3370230887132395,6,0,indicator >= close
AAPL,-0.04558910969595345,0.04776675345922565,1990-04-01,0.36,0.4,0.34,0.35,3642475200,0.34358792050945675,6,0,indicator >= close
AAPL,-0.01308587651131272,0.013259387215024204,1990-05-01,0.35,0.38,0.35,0.37,4115630400,0.3454199432210405,6,0,indicator >= close
AAPL,-0.047451847063628254,0.04981569374456384,1990-06-01,0.37,0.4,0.33,0.4,3952054400,0.35244281658645754,6,0,indicator >= close
AAPL,-0.08492354180989731,0.09280485914572054,1990-07-01,0.4,0.43,0.36,0.38,4163812800,0.3660305832760411,6,0,indicator >= close
AAPL,-0.026258302112704645,0.02696639382875014,1990-08-01,0.38,0.39,0.3,0.33,3128339200,0.37002184519717224,6,1,indicator >= close
AAPL,0.08662737055664974,-0.07972132205014575,1990-09-01,0.33,0.33,0.24,0.26,2206948800,0.35858703228369443,6,1,indicator >= close
AAPL,0.2708434952848747,-0.2131210462104635,1990-10-01,0.26,0.29,0.22,0.27,5056116800,0.33041930877406744,6,1,indicator >= close
AAPL,0.15983944120123653,-0.13781169662215667,1990-11-01,0.27,0.34,0.27,0.33,3254608000,0.3131566491243339,6,0,indicator >= close
AAPL,-0.03645746942784879,0.037836907319701144,1990-12-01,0.33,0.4,0.33,0.38,4094092800,0.3179690350888099,6,0,indicator >= close
AAPL,-0.11659955810374083,0.13198947224143853,1991-01-01,0.38,0.5,0.38,0.5,7037307200,0.3356921679205785,6,0,indicator >= close
