symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_6_months,moving_average_window_months,condition,screening_rule
AAPL,,,1985-01-01,0.13,0.14,0.12,0.13,6366416000,,6,0,indicator <= high
AAPL,,,1985-02-01,0.13,0.14,0.11,0.11,4733388800,,6,0,indicator <= high
AAPL,,,1985-03-01,0.11,0.12,0.09,0.1,4615587200,,6,0,indicator <= high
AAPL,,,1985-04-01,0.1,0.1,0.09,0.09,2868028800,,6,0,indicator <= high
AAPL,,,1985-05-01,0.09,0.1,0.08,0.08,4639129600,,6,0,indicator <= high
AAPL,0.33333333333333337,-0.25000000000000006,1985-06-01,0.08,0.08,0.07,0.08,5811388800,0.10666666666666667,6,0,indicator <= high
AAPL,0.22916666666666657,-0.18644067796610164,1985-07-01,0.08,0.08,0.07,0.07,2600595200,0.09833333333333333,6,0,indicator <= high
AAPL,0.2619047619047618,-0.20754716981132068,1985-08-01,0.07,0.07,0.06,0.07,1818745600,0.08833333333333333,6,0,indicator <= high
AAPL,0.16666666666666674,-0.1428571428571429,1985-09-01,0.07,0.08,0.07,0.07,1797196800,0.08166666666666668,6,0,indicator <= high
AAPL,0.09523809523809525,-0.08695652173913045,1985-10-01,0.07,0.09,0.07,0.08,3785913600,0.07666666666666667,6,1,indicator <= high
AAPL,-0.06249999999999988,0.06666666666666653,1985-11-01,0.08,0.09,0.08,0.09,2884672000,0.07500000000000001,6,1,indicator <= high
AAPL,-0.14814814814814803,0.1739130434782607,1985-12-01,0.09,0.1,0.09,0.1,3571209600,0.07666666666666667,6,1,indicator <= high
AAPL,-0.20000000000000004,0.25000000000000006,1986-01-01,0.1,0.11,0.1,0.1,6291801600,0.08,6,1,indicator <= high
AAPL,-0.15,0.1764705882352941,1986-02-01,0.1,0.12,0.1,0.11,3420860800,0.085,6,1,indicator <= high
AAPL,-0.1666666666666666,0.1999999999999999,1986-03-01,0.11,0.13,0.11,0.13,4264332800,0.09166666666666667,6,1,indicator <= high
AAPL,-0.21794871794871795,0.27868852459016397,1986-04-01,0.13,0.15,0.12,0.14,4462684800,0.10166666666666667,6,1,indicator <= high
AAPL,-0.20238095238095238,0.2537313432835821,1986-05-01,0.14,0.17,0.13,0.17,4954051200,0.11166666666666668,6,1,indicator <= high
AAPL,-0.26470588235294107,0.3599999999999998,1986-06-01,0.17,0.17,0.15,0.16,4063360000,0.12500000000000003,6,1,indicator <= high
AAPL,-0.15624999999999997,0.18518518518518512,1986-07-01,0.16,0.17,0.13,0.14,5691638400,0.135,6,1,indicator <= high
AAPL,0.01190476190476198,-0.011764705882353016,1986-08-01,0.14,0.17,0.14,0.17,3643516800,0.1416666666666667,6,1,indicator <= high
AAPL,-0.107843137254902,0.12087912087912092,1986-09-01,0.17,0.17,0.14,0.15,3578198400,0.15166666666666667,6,1,indicator <= high
AAPL,0.03333333333333337,-0.03225806451612906,1986-10-01,0.15,0.16,0.14,0.15,2984038400,0.155,6,1,indicator <= high
AAPL,-0.01041666666666656,0.010526315789473575,1986-11-01,0.16,0.18,0.15,0.18,5206163200,0.15833333333333335,6,1,indicator <= high
AAPL,-0.11111111111111106,0.12499999999999993,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.16,6,1,indicator <= high
AAPL,-0.09259259259259242,0.1020408163265304,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.16333333333333336,6,1,indicator <= high
AAPL,-0.2733333333333333,0.37614678899082565,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.18166666666666667,6,1,indicator <= high
AAPL,-0.33870967741935487,0.5121951219512196,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.205,6,1,indicator <= high
AAPL,-0.1904761904761905,0.23529411764705885,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.22666666666666668,6,1,indicator <= high
AAPL,-0.2619047619047619,0.35483870967741943,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.2583333333333333,6,1,indicator <= high
AAPL,-0.18095238095238086,0.2209302325581394,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.2866666666666667,6,1,indicator <= high
AAPL,-0.12037037037037038,0.1368421052631579,1987-07-01,0.36,0.4,0.33,0.37,3070256000,0.31666666666666665,6,1,indicator <= high
AAPL,-0.09009009009009007,0.09900990099009899,1987-08-01,0.37,0.48,0.36,0.48,3119300800,0.33666666666666667,6,1,indicator <= high
AAPL,-0.2517006802721088,0.33636363636363625,1987-09-01,0.49,0.52,0.43,0.5,3075486400,0.3666666666666667,6,1,indicator <= high
AAPL,-0.20588235294117654,0.25925925925925936,1987-10-01,0.51,0.53,0.25,0.34,6575699200,0.40499999999999997,6,1,indicator <= high
AAPL,0.15714285714285714,-0.13580246913580246,1987-11-01,0.35,0.36,0.27,0.29,4234238400,0.40499999999999997,6,0,indicator <= high
AAPL,0.3222222222222223,-0.24369747899159666,1987-12-01,0.3,0.39,0.27,0.38,4702264000,0.39666666666666667,6,0,indicator <= high
AAPL,0.05263157894736832,-0.04999999999999991,1988-01-01,0.38,0.41,0.34,0.37,6221600000,0.39999999999999997,6,1,indicator <= high
AAPL,0.081081081081081,-0.07499999999999993,1988-02-01,0.37,0.39,0.34,0.38,3368467200,0.39999999999999997,6,0,indicator <= high
AAPL,-0.017094017094017203,0.0173913043478262,1988-03-01,0.39,0.43,0.35,0.36,4882102400,0.3833333333333333,6,1,indicator <= high
AAPL,0.01904761904761917,-0.01869158878504685,1988-04-01,0.35,0.38,0.34,0.37,3297929600,0.3566666666666667,6,1,indicator <= high
AAPL,-0.0046296296296295825,0.004651162790697627,1988-05-01,0.36,0.39,0.33,0.37,2638507200,0.35833333333333334,6,1,indicator <= high
AAPL,1.50030138462859e-16,-1.5003013846285896e-16,1988-06-01,0.37,0.42,0.37,0.41,3534731200,0.37000000000000005,6,1,indicator <= high
AAPL,-0.10317460317460318,0.11504424778761063,1988-07-01,0.42,0.42,0.38,0.4,2186419200,0.37666666666666665,6,1,indicator <= high
AAPL,-0.04583333333333342,0.048034934497816685,1988-08-01,0.4,0.41,0.35,0.36,2653313600,0.38166666666666665,6,1,indicator <= high
AAPL,0.0714285714285715,-0.06666666666666672,1988-09-01,0.35,0.4,0.34,0.39,3060321600,0.375,6,1,indicator <= high
AAPL,1.4608197692436271e-16,-1.460819769243627e-16,1988-10-01,0.38,0.39,0.33,0.34,3563649600,0.38000000000000006,6,1,indicator <= high
AAPL,0.10784313725490183,-0.09734513274336272,1988-11-01,0.34,0.35,0.32,0.34,2939865600,0.37666666666666665,6,0,indicator <= high
AAPL,0.09313725490196065,-0.08520179372197298,1988-12-01,0.34,0.38,0.33,0.36,2946070400,0.37166666666666665,6,1,indicator <= high
AAPL,0.0046296296296295825,-0.004608294930875529,1989-01-01,0.36,0.39,0.32,0.34,7345833600,0.36166666666666664,6,1,indicator <= high
AAPL,0.03431372549019589,-0.03317535545023679,1989-02-01,0.34,0.36,0.31,0.32,4886268800,0.3516666666666666,6,1,indicator <= high
AAPL,0.08333333333333334,-0.07692307692307694,1989-03-01,0.32,0.33,0.3,0.32,3859676800,0.3466666666666667,6,0,indicator <= high
AAPL,0.05208333333333332,-0.04950495049504949,1989-04-01,0.32,0.37,0.3,0.35,3966424000,0.33666666666666667,6,1,indicator <= high
AAPL,-0.009803921568627513,0.009900990099009965,1989-05-01,0.34,0.44,0.34,0.43,5253382400,0.33666666666666667,6,1,indicator <= high
AAPL,-0.18217054263565874,0.2227488151658765,1989-06-01,0.43,0.45,0.35,0.37,3941280000,0.35166666666666674,6,1,indicator <= high
AAPL,-0.045045045045045036,0.047169811320754707,1989-07-01,0.37,0.38,0.34,0.35,3688630400,0.35333333333333333,6,1,indicator <= high
AAPL,0.0142857142857143,-0.014084507042253534,1989-08-01,0.35,0.41,0.35,0.4,3352305600,0.355,6,1,indicator <= high
AAPL,-0.07916666666666669,0.08597285067873306,1989-09-01,0.4,0.42,0.38,0.4,2020849600,0.36833333333333335,6,1,indicator <= high
AAPL,-0.04583333333333342,0.048034934497816685,1989-10-01,0.4,0.45,0.38,0.42,4125049600,0.38166666666666665,6,1,indicator <= high
AAPL,-0.04065040650406503,0.042372881355932195,1989-11-01,0.41,0.42,0.38,0.4,2524939200,0.3933333333333333,6,1,indicator <= high
AAPL,-0.029166666666666646,0.030042918454935598,1989-12-01,0.4,0.41,0.29,0.31,5941185600,0.38833333333333336,6,1,indicator <= high
AAPL,0.2204301075268818,-0.18061674008810577,1990-01-01,0.31,0.35,0.29,0.3,3747497600,0.37833333333333335,6,0,indicator <= high
AAPL,0.19892473118279563,-0.16591928251121071,1990-02-01,0.31,0.31,0.29,0.3,2483891200,0.37166666666666665,6,0,indicator <= high
AAPL,0.18333333333333332,-0.15492957746478872,1990-03-01,0.3,0.39,0.3,0.36,4556473600,0.355,6,1,indicator <= high
AAPL,-0.032407407407407385,0.03349282296650716,1990-04-01,0.36,0.4,0.34,0.35,3642475200,0.34833333333333333,6,1,indicator <= high
AAPL,-0.03333333333333331,0.034482758620689634,1990-05-01,0.35,0.38,0.35,0.37,4115630400,0.3383333333333333,6,1,indicator <= high
AAPL,-0.09909909909909914,0.11000000000000004,1990-06-01,0.37,0.4,0.33,0.4,3952054400,0.3333333333333333,6,1,indicator <= high
AAPL,-0.12916666666666674,0.14832535885167472,1990-07-01,0.4,0.43,0.36,0.38,4163812800,0.34833333333333333,6,1,indicator <= high
AAPL,-0.05263157894736861,0.05555555555555577,1990-08-01,0.38,0.39,0.3,0.33,3128339200,0.35999999999999993,6,1,indicator <= high
AAPL,0.10606060606060598,-0.09589041095890405,1990-09-01,0.33,0.33,0.24,0.26,2206948800,0.365,6,0,indicator <= high
AAPL,0.3397435897435897,-0.2535885167464115,1990-10-01,0.26,0.29,0.22,0.27,5056116800,0.34833333333333333,6,0,indicator <= high
AAPL,0.24074074074074073,-0.19402985074626866,1990-11-01,0.27,0.34,0.27,0.33,3254608000,0.335,6,1,indicator <= high
AAPL,-0.005050505050505167,0.005076142131979813,1990-12-01,0.33,0.4,0.33,0.38,4094092800,0.3283333333333333,6,1,indicator <= high
AAPL,-0.14473684210526314,0.1692307692307692,1991-01-01,0.38,0.5,0.38,0.5,7037307200,0.325,6,1,indicator <= high
AAPL,-0.31000000000000005,0.4492753623188407,1991-02-01,0.5,0.56,0.49,0.51,5545780800,0.345,6,1,indicator <= high
AAPL,-0.2647058823529412,0.36000000000000004,1991-03-01,0.51,0.63,0.51,0.61,5210598400,0.375,6,1,indicator <= high
AAPL,-0.28961748633879775,0.40769230769230763,1991-04-01,0.61,0.65,0.49,0.49,7243051200,0.43333333333333335,6,1,indicator <= high
AAPL,0.06976744186046518,-0.06521739130434788,1991-05-01,0.43,0.48,0.39,0.42,7972843200,0.46,6,1,indicator <= high
AAPL,0.13095238095238107,-0.11578947368421062,1991-06-01,0.42,0.44,0.36,0.37,4091662400,0.47500000000000003,6,0,indicator <= high
AAPL,0.25000000000000006,-0.20000000000000004,1991-07-01,0.38,0.43,0.37,0.41,3783494400,0.47500000000000003,6,0,indicator <= high
AAPL,0.1219512195121951,-0.10869565217391303,1991-08-01,0.41,0.5,0.41,0.47,4172649600,0.45999999999999996,6,1,indicator <= high
AAPL,-0.035460992907801414,0.036764705882352935,1991-09-01,0.47,0.48,0.42,0.44,2393070400,0.4533333333333333,6,1,indicator <= high
AAPL,-0.03409090909090912,0.03529411764705886,1991-10-01,0.44,0.5,0.42,0.46,3593990400,0.425,6,1,indicator <= high
AAPL,-0.06521739130434788,0.06976744186046518,1991-11-01,0.46,0.49,0.42,0.45,3696033600,0.43,6,1,indicator <= high
AAPL,-0.03333333333333336,0.03448275862068969,1991-12-01,0.45,0.52,0.43,0.5,2607169600,0.435,6,1,indicator <= high
AAPL,-0.08999999999999997,0.09890109890109887,1992-01-01,0.5,0.62,0.5,0.58,4703160000,0.455,6,1,indicator <= high
AAPL,-0.1666666666666666,0.1999999999999999,1992-02-01,0.58,0.62,0.55,0.6,2534996800,0.48333333333333334,6,1,indicator <= high
AAPL,-0.1583333333333333,0.18811881188118806,1992-03-01,0.6,0.61,0.52,0.52,2985662400,0.505,6,1,indicator <= high
AAPL,0.013071895424836468,-0.012903225806451483,1992-04-01,0.51,0.55,0.47,0.54,3931390400,0.5166666666666666,6,1,indicator <= high
AAPL,-0.01851851851851874,0.018867924528302115,1992-05-01,0.54,0.56,0.52,0.53,2703724800,0.5299999999999999,6,1,indicator <= high
AAPL,0.058823529411764754,-0.0555555555555556,1992-06-01,0.51,0.53,0.38,0.43,4851683200,0.54,6,0,indicator <= high
AAPL,0.22868217054263565,-0.18611987381703468,1992-07-01,0.43,0.44,0.39,0.42,3632809600,0.5283333333333333,6,0,indicator <= high
AAPL,0.1944444444444443,-0.1627906976744185,1992-08-01,0.42,0.42,0.37,0.41,2746531200,0.5016666666666666,6,0,indicator <= high
AAPL,0.14634146341463414,-0.1276595744680851,1992-09-01,0.41,0.45,0.39,0.4,3055662400,0.47,6,0,indicator <= high
AAPL,0.1291666666666666,-0.11439114391143905,1992-10-01,0.4,0.48,0.37,0.47,3531427200,0.45166666666666666,6,1,indicator <= high
AAPL,-0.06382978723404249,0.06818181818181812,1992-11-01,0.47,0.53,0.46,0.51,3126547200,0.44,6,1,indicator <= high
AAPL,-0.13725490196078444,0.15909090909090925,1992-12-01,0.51,0.55,0.49,0.53,3334318400,0.43999999999999995,6,1,indicator <= high
AAPL,-0.13836477987421378,0.16058394160583933,1993-01-01,0.53,0.58,0.51,0.53,5542264000,0.4566666666666667,6,1,indicator <= high
AAPL,-0.10377358490566026,0.11578947368421037,1993-02-01,0.53,0.55,0.46,0.47,4651281600,0.4750000000000001,6,1,indicator <= high
AAPL,0.03191489361702143,-0.03092783505154653,1993-03-01,0.47,0.52,0.45,0.46,3661526400,0.48500000000000004,6,1,indicator <= high
AAPL,0.07608695652173919,-0.07070707070707076,1993-04-01,0.46,0.47,0.42,0.46,3914411200,0.49500000000000005,6,0,indicator <= high
AAPL,0.072463768115942,-0.06756756756756756,1993-05-01,0.46,0.53,0.46,0.51,3200545600,0.49333333333333335,6,1,indicator <= high
AAPL,-0.016666666666666607,0.01694915254237282,1993-06-01,0.5,0.52,0.34,0.35,7674396800,0.4916666666666667,6,1,indicator <= high
AAPL,0.31904761904761914,-0.24187725631768958,1993-07-01,0.35,0.35,0.23,0.25,7142912000,0.46166666666666667,6,0,indicator <= high
AAPL,0.6600000000000001,-0.3975903614457832,1993-08-01,0.25,0.27,0.23,0.24,3683164800,0.41500000000000004,6,0,indicator <= high
AAPL,0.5694444444444444,-0.36283185840707965,1993-09-01,0.24,0.24,0.21,0.21,3668022400,0.37666666666666665,6,0,indicator <= high
AAPL,0.6666666666666665,-0.3999999999999999,1993-10-01,0.2,0.29,0.2,0.27,5905323200,0.3333333333333333,6,0,indicator <= high
AAPL,0.11728395061728397,-0.10497237569060776,1993-11-01,0.27,0.31,0.27,0.28,3452108800,0.3016666666666667,6,1,indicator <= high
AAPL,-0.08045977011494247,0.08749999999999994,1993-12-01,0.29,0.29,0.24,0.26,3956971200,0.26666666666666666,6,1,indicator <= high
AAPL,-0.03205128205128215,0.03311258278145706,1994-01-01,0.26,0.31,0.26,0.29,7332035200,0.25166666666666665,6,1,indicator <= high
AAPL,-0.10919540229885043,0.12258064516129014,1994-02-01,0.29,0.34,0.29,0.33,4284459200,0.25833333333333336,6,1,indicator <= high
AAPL,-0.17171717171717163,0.2073170731707316,1994-03-01,0.33,0.34,0.28,0.3,5257985600,0.2733333333333334,6,1,indicator <= high
AAPL,-0.005747126436781551,0.005780346820809189,1994-04-01,0.29,0.31,0.24,0.27,4042136000,0.28833333333333333,6,1,indicator <= high
AAPL,0.06790123456790115,-0.06358381502890166,1994-05-01,0.27,0.3,0.25,0.26,3361657600,0.28833333333333333,6,1,indicator <= high
AAPL,0.1266666666666667,-0.11242603550295861,1994-06-01,0.25,0.26,0.22,0.24,4671788800,0.2816666666666667,6,0,indicator <= high
AAPL,0.1597222222222222,-0.1377245508982036,1994-07-01,0.24,0.3,0.23,0.3,4848065600,0.2783333333333333,6,1,indicator <= high
AAPL,-0.06666666666666674,0.0714285714285715,1994-08-01,0.3,0.33,0.29,0.32,4574897600,0.27999999999999997,6,1,indicator <= high
AAPL,-0.1302083333333332,0.14970059880239506,1994-09-01,0.32,0.33,0.3,0.3,3232644800,0.2783333333333334,6,1,indicator <= high
AAPL,-0.06666666666666654,0.07142857142857129,1994-10-01,0.3,0.39,0.29,0.39,7713484800,0.28,6,1,indicator <= high
AAPL,-0.2149122807017544,0.2737430167597765,1994-11-01,0.38,0.39,0.32,0.33,4048945600,0.29833333333333334,6,1,indicator <= high
AAPL,-0.05555555555555549,0.058823529411764636,1994-12-01,0.33,0.36,0.31,0.35,3787795200,0.3116666666666667,6,1,indicator <= high
AAPL,-0.05714285714285704,0.06060606060606049,1995-01-01,0.35,0.43,0.34,0.36,8162100800,0.33,6,1,indicator <= high
AAPL,-0.055555555555555455,0.058823529411764594,1995-02-01,0.36,0.4,0.34,0.35,5299347200,0.34,6,1,indicator <= high
AAPL,-0.0142857142857143,0.01449275362318842,1995-03-01,0.35,0.36,0.3,0.31,6997144000,0.345,6,1,indicator <= high
AAPL,0.08854166666666663,-0.08133971291866025,1995-04-01,0.32,0.35,0.3,0.34,5674300800,0.34833333333333333,6,1,indicator <= high
AAPL,0.004901960784313512,-0.004878048780487593,1995-05-01,0.34,0.4,0.33,0.37,6384672000,0.3416666666666666,6,1,indicator <= high
AAPL,-0.058558558558558564,0.06220095693779905,1995-06-01,0.37,0.45,0.37,0.41,5521947200,0.34833333333333333,6,1,indicator <= high
AAPL,-0.14285714285714274,0.1666666666666665,1995-07-01,0.42,0.45,0.38,0.4,5699579200,0.36000000000000004,6,1,indicator <= high
AAPL,-0.08333333333333331,0.09090909090909088,1995-08-01,0.4,0.41,0.37,0.38,5292918400,0.3666666666666667,6,1,indicator <= high
AAPL,-0.021929824561403577,0.0224215246636772,1995-09-01,0.38,0.41,0.31,0.33,7311483200,0.37166666666666665,6,1,indicator <= high
AAPL,0.10294117647058816,-0.09333333333333327,1995-10-01,0.34,0.35,0.3,0.32,6498508800,0.375,6,0,indicator <= high
AAPL,0.1313131313131313,-0.11607142857142858,1995-11-01,0.33,0.38,0.32,0.34,4864294400,0.37333333333333335,6,1,indicator <= high
AAPL,0.08333333333333329,-0.07692307692307689,1995-12-01,0.34,0.36,0.28,0.28,6560243200,0.36833333333333335,6,0,indicator <= high
AAPL,0.19540229885057483,-0.16346153846153855,1996-01-01,0.29,0.32,0.24,0.25,10300214400,0.3466666666666667,6,0,indicator <= high
AAPL,0.28666666666666685,-0.22279792746114,1996-02-01,0.25,0.27,0.24,0.25,4652099200,0.3216666666666667,6,0,indicator <= high
AAPL,0.20000000000000018,-0.1666666666666668,1996-03-01,0.25,0.25,0.21,0.22,3346750400,0.30000000000000004,6,0,indicator <= high
AAPL,0.2727272727272728,-0.21428571428571436,1996-04-01,0.22,0.24,0.21,0.22,2867076800,0.28,6,0,indicator <= high
AAPL,0.18939393939393936,-0.15923566878980888,1996-05-01,0.22,0.26,0.21,0.23,3603902400,0.26166666666666666,6,0,indicator <= high
AAPL,0.05797101449275351,-0.054794520547945105,1996-06-01,0.23,0.23,0.18,0.19,4673939200,0.24333333333333332,6,0,indicator <= high
AAPL,0.1929824561403508,-0.1617647058823529,1996-07-01,0.19,0.2,0.14,0.2,4803489600,0.22666666666666666,6,0,indicator <= high
AAPL,0.09166666666666642,-0.08396946564885475,1996-08-01,0.2,0.22,0.19,0.22,3187374400,0.2183333333333333,6,1,indicator <= high
AAPL,-0.03030303030303012,0.031249999999999806,1996-09-01,0.22,0.22,0.18,0.2,3213548800,0.21333333333333337,6,1,indicator <= high
AAPL,0.049999999999999906,-0.04761904761904753,1996-10-01,0.2,0.25,0.2,0.21,5816977600,0.21,6,1,indicator <= high
AAPL,-0.007936507936507856,0.007999999999999919,1996-11-01,0.21,0.24,0.21,0.22,2581364800,0.20833333333333334,6,1,indicator <= high
AAPL,-0.060606060606060615,0.06451612903225808,1996-12-01,0.22,0.23,0.19,0.19,4147483200,0.20666666666666667,6,1,indicator <= high
AAPL,0.08771929824561402,-0.08064516129032256,1997-01-01,0.19,0.2,0.15,0.15,9072739200,0.20666666666666667,6,0,indicator <= high
AAPL,0.32222222222222247,-0.24369747899159677,1997-02-01,0.15,0.16,0.14,0.15,4574169600,0.19833333333333336,6,0,indicator <= high
AAPL,0.24444444444444455,-0.1964285714285715,1997-03-01,0.15,0.17,0.14,0.16,4502243200,0.18666666666666668,6,0,indicator <= high
AAPL,0.1250000000000001,-0.1111111111111112,1997-04-01,0.16,0.18,0.15,0.15,3809724800,0.18000000000000002,6,0,indicator <= high
AAPL,0.13333333333333347,-0.11764705882352951,1997-05-01,0.15,0.16,0.15,0.15,2292707200,0.17,6,0,indicator <= high
AAPL,0.055555555555555546,-0.05263157894736841,1997-06-01,0.15,0.15,0.12,0.13,2572304000,0.15833333333333333,6,0,indicator <= high
AAPL,0.22222222222222227,-0.18181818181818185,1997-07-01,0.12,0.16,0.11,0.16,6782372800,0.14666666666666667,6,1,indicator <= high
AAPL,-0.07291666666666662,0.07865168539325837,1997-08-01,0.16,0.26,0.16,0.19,17675705600,0.14833333333333334,6,1,indicator <= high
