symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
GOOGL,,,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,12,0,indicator <= low
GOOGL,,,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,12,0,indicator <= low
GOOGL,,,2004-10-01,3.27,5.0,3.23,4.77,10272433284,,12,0,indicator <= low
GOOGL,,,2004-11-01,4.84,5.05,4.04,4.55,11092660236,,12,0,indicator <= low
GOOGL,,,2004-12-01,4.55,5.0,4.22,4.82,5807878308,,12,0,indicator <= low
GOOGL,,,2005-01-01,4.94,5.14,4.41,4.9,8198389404,,12,0,indicator <= low
GOOGL,,,2005-02-01,4.86,5.43,4.53,4.7,13011367608,,12,0,indicator <= low
GOOGL,,,2005-03-01,4.74,4.75,4.32,4.52,6871082040,,12,0,indicator <= low
GOOGL,,,2005-04-01,4.55,5.62,4.5,5.51,9058576356,,12,0,indicator <= low
GOOGL,,,2005-05-01,5.56,6.97,5.51,6.94,10140601248,,12,0,indicator <= low
GOOGL,,,2005-06-01,7.09,7.74,6.69,7.36,15544507932,,12,0,indicator <= low
GOOGL,-0.26301160447501915,0.35687346784838775,2005-07-01,7.38,7.95,7.18,7.2,8189766036,5.438974358974359,12,1,indicator <= low
GOOGL,-0.19287670258544046,0.23896807737216633,2005-08-01,7.21,7.5,6.84,7.16,5713157124,5.819358974358974,12,1,indicator <= low
GOOGL,-0.14263941187018103,0.16637038586217703,2005-09-01,7.15,8.03,7.13,7.92,6799321872,6.130128205128206,12,1,indicator <= low
GOOGL,-0.17326473950677768,0.20957705300171858,2005-10-01,7.85,9.38,7.27,9.31,7710781500,6.489871794871795,12,1,indicator <= low
GOOGL,-0.24645404720592695,0.3270590815226331,2005-11-01,9.31,10.79,9.23,10.13,8458177356,7.0155128205128205,12,1,indicator <= low
GOOGL,-0.25518329326923067,0.3426122037317194,2005-12-01,10.24,11.17,9.99,10.38,7943316732,7.626923076923078,12,1,indicator <= low
GOOGL,-0.22269121606869954,0.28649002902349974,2006-01-01,10.57,11.89,9.88,10.83,11949642396,8.216153846153846,12,1,indicator <= low
GOOGL,-0.11647712315063438,0.13183260581320852,2006-02-01,9.74,10.17,8.45,9.07,11889099000,8.605512820512821,12,0,indicator <= low
GOOGL,-0.03987985983647602,0.041536322558220505,2006-03-01,9.22,9.98,8.3,9.76,12258289440,8.852307692307692,12,0,indicator <= low
GOOGL,-0.06428665351742288,0.06870336279703784,2006-04-01,9.75,11.28,9.71,10.46,7405167420,9.123205128205127,12,1,indicator <= low
GOOGL,-0.0985477432468837,0.1093210899508273,2006-05-01,10.47,10.5,9.02,9.3,7030554408,9.438205128205128,12,0,indicator <= low
GOOGL,0.017962429727135833,-0.017645474137931248,2006-06-01,9.35,10.49,9.3,10.49,5689528776,9.51794871794872,12,0,indicator <= low
GOOGL,-0.07258044841298868,0.07826064081654108,2006-07-01,10.51,10.71,9.45,9.67,5095775124,9.747179487179489,12,0,indicator <= low
GOOGL,0.016850196829450038,-0.016570972678167477,2006-08-01,9.64,9.76,9.09,9.47,4274601120,9.802435897435899,12,0,indicator <= low
GOOGL,0.029340544030995237,-0.028504214859831407,2006-09-01,9.53,10.48,9.43,10.06,4857193944,9.809615384615384,12,0,indicator <= low
GOOGL,-0.019103328745475875,0.019475373202198297,2006-10-01,10.06,12.31,9.96,11.92,6334219440,9.867820512820513,12,1,indicator <= low
