symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
GOOGL,,,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,24,0,indicator >= low
GOOGL,,,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,24,0,indicator >= low
GOOGL,,,2004-10-01,3.27,5.0,3.23,4.77,10272433284,,24,0,indicator >= low
GOOGL,,,2004-11-01,4.84,5.05,4.04,4.55,11092660236,,24,0,indicator >= low
GOOGL,,,2004-12-01,4.55,5.0,4.22,4.82,5807878308,,24,0,indicator >= low
GOOGL,,,2005-01-01,4.94,5.14,4.41,4.9,8198389404,,24,0,indicator >= low
GOOGL,,,2005-02-01,4.86,5.43,4.53,4.7,13011367608,,24,0,indicator >= low
GOOGL,,,2005-03-01,4.74,4.75,4.32,4.52,6871082040,,24,0,indicator >= low
GOOGL,,,2005-04-01,4.55,5.62,4.5,5.51,9058576356,,24,0,indicator >= low
GOOGL,,,2005-05-01,5.56,6.97,5.51,6.94,10140601248,,24,0,indicator >= low
GOOGL,,,2005-06-01,7.09,7.74,6.69,7.36,15544507932,,24,0,indicator >= low
GOOGL,,,2005-07-01,7.38,7.95,7.18,7.2,8189766036,,24,0,indicator >= low
GOOGL,,,2005-08-01,7.21,7.5,6.84,7.16,5713157124,,24,0,indicator >= low
GOOGL,,,2005-09-01,7.15,8.03,7.13,7.92,6799321872,,24,0,indicator >= low
GOOGL,,,2005-10-01,7.85,9.38,7.27,9.31,7710781500,,24,0,indicator >= low
GOOGL,,,2005-11-01,9.31,10.79,9.23,10.13,8458177356,,24,0,indicator >= low
GOOGL,,,2005-12-01,10.24,11.17,9.99,10.38,7943316732,,24,0,indicator >= low
GOOGL,,,2006-01-01,10.57,11.89,9.88,10.83,11949642396,,24,0,indicator >= low
GOOGL,,,2006-02-01,9.74,10.17,8.45,9.07,11889099000,,24,0,indicator >= low
GOOGL,,,2006-03-01,9.22,9.98,8.3,9.76,12258289440,,24,0,indicator >= low
GOOGL,,,2006-04-01,9.75,11.28,9.71,10.46,7405167420,,24,0,indicator >= low
GOOGL,,,2006-05-01,10.47,10.5,9.02,9.3,7030554408,,24,0,indicator >= low
GOOGL,,,2006-06-01,9.35,10.49,9.3,10.49,5689528776,,24,0,indicator >= low
GOOGL,-0.3330954646368538,0.4994649863274284,2006-07-01,10.51,10.71,9.45,9.67,5095775124,7.009166666666666,24,0,indicator >= low
GOOGL,-0.24204702627939137,0.3193430656934306,2006-08-01,9.64,9.76,9.09,9.47,4274601120,7.3066666666666675,24,0,indicator >= low
GOOGL,-0.2028681357117872,0.2544975866608159,2006-09-01,9.53,10.48,9.43,10.06,4857193944,7.596666666666668,24,0,indicator >= low
GOOGL,-0.21674121935056329,0.27671725450795837,2006-10-01,10.06,12.31,9.96,11.92,6334219440,7.879583333333334,24,0,indicator >= low
GOOGL,-0.31743878686700056,0.46507006369426745,2006-11-01,11.98,12.84,11.64,12.13,4732874388,8.177083333333334,24,0,indicator >= low
GOOGL,-0.3014665570175439,0.4315706857647405,2006-12-01,12.16,12.32,11.32,11.52,3662901432,8.494166666666667,24,0,indicator >= low
GOOGL,-0.24749857061177807,0.32890113021179584,2007-01-01,11.66,12.84,11.54,12.55,4978500516,8.774166666666668,24,0,indicator >= low
GOOGL,-0.2812664560294892,0.39133620294898797,2007-02-01,12.66,12.66,11.09,11.25,4552007436,9.099166666666667,24,0,indicator >= low
GOOGL,-0.15493381468110712,0.18333926664293343,2007-03-01,11.08,11.66,10.94,11.47,4719931344,9.363333333333333,24,0,indicator >= low
GOOGL,-0.15783158813263523,0.1874109571299054,2007-04-01,11.46,12.32,11.31,11.8,3714621660,9.651250000000001,24,0,indicator >= low
GOOGL,-0.1614142695995488,0.19248392114002272,2007-05-01,11.82,12.73,11.45,12.46,3979284732,9.912083333333333,24,0,indicator >= low
GOOGL,-0.19145401382243485,0.2367880332045697,2007-06-01,12.54,13.39,12.45,13.08,5156774064,10.139166666666666,24,0,indicator >= low
GOOGL,-0.21067807351077306,0.2669102003131146,2007-07-01,13.15,13.98,12.48,12.76,4660566768,10.379583333333334,24,0,indicator >= low
GOOGL,-0.16966614501825766,0.20433485157845135,2007-08-01,12.78,13.18,12.02,12.89,3544479972,10.611666666666666,24,0,indicator >= low
GOOGL,-0.1581975691750711,0.18792719453190998,2007-09-01,12.89,14.31,12.78,14.2,2773775448,10.850833333333334,24,0,indicator >= low
GOOGL,-0.22034244974287054,0.28261439868080807,2007-10-01,14.26,17.69,14.25,17.69,6211821960,11.117916666666666,24,0,indicator >= low
GOOGL,-0.3483276482850104,0.5345134673403366,2007-11-01,17.59,18.7,15.42,17.34,6852148992,11.462916666666667,24,0,indicator >= low
GOOGL,-0.3200308463466358,0.4706549475474908,2007-12-01,17.29,18.14,16.33,17.3,3409151436,11.756666666666666,24,0,indicator >= low
GOOGL,-0.3057237600922722,0.44034887342955037,2008-01-01,17.34,17.45,12.99,14.12,6305264424,12.03875,24,0,indicator >= low
GOOGL,-0.0790501385739483,0.08583544217221828,2008-02-01,13.23,13.54,11.18,11.79,7080332580,12.184166666666664,24,1,indicator >= low
GOOGL,0.04166666666666655,-0.0399999999999999,2008-03-01,11.8,11.83,10.31,11.02,5818795380,12.291666666666666,24,1,indicator >= low
GOOGL,0.10286458333333352,-0.09327036599763888,2008-04-01,11.2,14.64,11.04,14.37,5716066212,12.352083333333335,24,1,indicator >= low
GOOGL,-0.13484796129923993,0.1558662006989517,2008-05-01,14.47,15.08,13.46,14.66,4181126688,12.518749999999999,24,0,indicator >= low
GOOGL,-0.12642889803383633,0.14472651138445436,2008-06-01,14.58,14.72,12.89,13.17,3747632616,12.736666666666666,24,0,indicator >= low
GOOGL,-0.012275641025641203,0.012428205211409468,2008-07-01,13.0,13.91,11.65,11.86,4159276560,12.840416666666664,24,1,indicator >= low
GOOGL,0.09401438240270713,-0.08593523441275966,2008-08-01,11.82,12.78,11.56,11.59,2749823424,12.931249999999999,24,1,indicator >= low
GOOGL,0.09230930427493717,-0.08450839328537173,2008-09-01,11.93,12.07,9.53,10.02,5357776860,13.03125,24,1,indicator >= low
GOOGL,0.26733074182053784,-0.21093999616588927,2008-10-01,10.29,10.43,7.74,8.99,7963852176,13.040833333333333,24,1,indicator >= low
GOOGL,0.4429702048417133,-0.30698499758025494,2008-11-01,8.95,9.32,6.19,7.33,6314998680,12.914583333333333,24,1,indicator >= low
GOOGL,0.7721989772198975,-0.43572927597061906,2008-12-01,7.17,8.25,6.57,7.7,4515775704,12.706666666666665,24,1,indicator >= low
GOOGL,0.6246761658031087,-0.3844927247358979,2009-01-01,7.72,8.82,7.08,8.47,4390872732,12.542499999999999,24,1,indicator >= low
GOOGL,0.47715053763440846,-0.3230209281164695,2009-02-01,8.37,9.53,8.25,8.46,4458948588,12.363749999999998,24,1,indicator >= low
GOOGL,0.4687749800159873,-0.3191605156637981,2009-03-01,8.34,8.99,7.24,8.71,4554452988,12.249583333333334,24,1,indicator >= low
GOOGL,0.410513565891473,-0.29103836773949787,2009-04-01,8.6,10.1,8.52,9.91,3509802684,12.130416666666667,24,1,indicator >= low
GOOGL,0.2184024266936301,-0.17925311203319513,2009-05-01,9.89,10.44,9.63,10.44,2279130588,12.050000000000002,24,1,indicator >= low
GOOGL,0.1416189567430024,-0.12405098558194597,2009-06-01,10.48,11.19,10.06,10.55,2815621560,11.964166666666666,24,1,indicator >= low
GOOGL,0.11664312617702462,-0.10445873300305693,2009-07-01,10.62,11.33,9.91,11.09,2917767312,11.85875,24,1,indicator >= low
