symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_6_months,moving_average_window_months,condition,screening_rule
GOOGL,,,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,6,0,indicator <= close
GOOGL,,,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,6,0,indicator <= close
GOOGL,,,2004-10-01,3.27,5.0,3.23,4.77,10272433284,,6,0,indicator <= close
GOOGL,,,2004-11-01,4.84,5.05,4.04,4.55,11092660236,,6,0,indicator <= close
GOOGL,,,2004-12-01,4.55,5.0,4.22,4.82,5807878308,,6,0,indicator <= close
GOOGL,-0.23515519568151144,0.30745478606087334,2005-01-01,4.94,5.14,4.41,4.9,8198389404,3.7783333333333338,6,1,indicator <= close
GOOGL,-0.14163237311385463,0.16500199760287657,2005-02-01,4.86,5.43,4.53,4.7,13011367608,4.171666666666667,6,1,indicator <= close
GOOGL,-0.04360056258790443,0.04558823529411772,2005-03-01,4.74,4.75,4.32,4.52,6871082040,4.533333333333333,6,0,indicator <= close
GOOGL,0.04322344322344335,-0.04143258426966303,2005-04-01,4.55,5.62,4.5,5.51,9058576356,4.746666666666667,6,1,indicator <= close
GOOGL,-0.12470023980815349,0.14246575342465756,2005-05-01,5.56,6.97,5.51,6.94,10140601248,4.866666666666666,6,1,indicator <= close
GOOGL,-0.2538787023977433,0.34026465028355385,2005-06-01,7.09,7.74,6.69,7.36,15544507932,5.29,6,1,indicator <= close
GOOGL,-0.22809394760614277,0.29549444119368057,2005-07-01,7.38,7.95,7.18,7.2,8189766036,5.696666666666666,6,1,indicator <= close
GOOGL,-0.15557096625057784,0.18423213796879268,2005-08-01,7.21,7.5,6.84,7.16,5713157124,6.088333333333334,6,1,indicator <= close
GOOGL,-0.09230769230769245,0.10169491525423746,2005-09-01,7.15,8.03,7.13,7.92,6799321872,6.489999999999999,6,1,indicator <= close
GOOGL,-0.10318471337579613,0.11505681818181812,2005-10-01,7.85,9.38,7.27,9.31,7710781500,7.04,6,1,indicator <= close
GOOGL,-0.17669172932330832,0.2146118721461188,2005-11-01,9.31,10.79,9.23,10.13,8458177356,7.665,6,1,indicator <= close
GOOGL,-0.20019531250000006,0.2503052503052504,2005-12-01,10.24,11.17,9.99,10.38,7943316732,8.19,6,1,indicator <= close
GOOGL,-0.17486597287921785,0.21192432639021586,2006-01-01,10.57,11.89,9.88,10.83,11949642396,8.721666666666668,6,1,indicator <= close
GOOGL,-0.06125941136208086,0.06525701786365304,2006-02-01,9.74,10.17,8.45,9.07,11889099000,9.143333333333333,6,0,indicator <= close
GOOGL,0.029103398409255358,-0.028280344282452245,2006-03-01,9.22,9.98,8.3,9.76,12258289440,9.488333333333335,6,1,indicator <= close
GOOGL,0.005641025641025794,-0.005609382967873685,2006-04-01,9.75,11.28,9.71,10.46,7405167420,9.805000000000001,6,1,indicator <= close
GOOGL,-0.045049347341611035,0.047174529088181455,2006-05-01,10.47,10.5,9.02,9.3,7030554408,9.998333333333333,6,0,indicator <= close
GOOGL,0.053475935828877004,-0.050761421319796954,2006-06-01,9.35,10.49,9.3,10.49,5689528776,9.85,6,1,indicator <= close
GOOGL,-0.0637488106565176,0.06808943089430894,2006-07-01,10.51,10.71,9.45,9.67,5095775124,9.84,6,0,indicator <= close
GOOGL,0.019017980636237736,-0.018663047166609957,2006-08-01,9.64,9.76,9.09,9.47,4274601120,9.823333333333332,6,0,indicator <= close
GOOGL,0.03620146904512074,-0.03493670886075956,2006-09-01,9.53,10.48,9.43,10.06,4857193944,9.875,6,1,indicator <= close
GOOGL,-0.013253810470510224,0.01343183344526523,2006-10-01,10.06,12.31,9.96,11.92,6334219440,9.926666666666668,6,1,indicator <= close
GOOGL,-0.15038953811908745,0.1770099885377437,2006-11-01,11.98,12.84,11.64,12.13,4732874388,10.178333333333333,6,1,indicator <= close
GOOGL,-0.12445175438596494,0.1421415153412649,2006-12-01,12.16,12.32,11.32,11.52,3662901432,10.646666666666667,6,1,indicator <= close
