symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_24_months,moving_average_window_months,condition,screening_rule
MSFT,0.0,0.0,1986-03-01,0.09,0.1,0.09,0.1,1857052800,0.09,24,0,indicator > close
MSFT,-0.092,0.1013215859030837,1986-04-01,0.1,0.12,0.09,0.11,547142400,0.0908,24,0,indicator > close
MSFT,-0.16058181818181805,0.19130133425749418,1986-05-01,0.11,0.12,0.11,0.12,333446400,0.09233600000000002,24,0,indicator > close
MSFT,-0.2120906666666665,0.2691815640378248,1986-06-01,0.12,0.12,0.1,0.11,293788800,0.09454912000000001,24,0,indicator > close
MSFT,-0.12922554181818172,0.14840299988587785,1986-07-01,0.11,0.11,0.09,0.1,460800000,0.09578519040000001,24,0,indicator > close
MSFT,-0.03877624831999993,0.0403405016285,1986-08-01,0.1,0.11,0.09,0.1,266256000,0.09612237516800001,24,0,indicator > close
MSFT,-0.03567414845439987,0.03699387338545589,1986-09-01,0.1,0.11,0.09,0.1,285120000,0.09643258515456002,24,0,indicator > close
MSFT,-0.03282021657804779,0.033933935696967815,1986-10-01,0.1,0.14,0.1,0.13,1565712000,0.09671797834219523,24,0,indicator > close
MSFT,-0.2844247137512886,0.39747699398946473,1986-11-01,0.14,0.18,0.14,0.17,1053964800,0.10018054007481961,24,0,indicator > close
MSFT,-0.3778464890068586,0.607320351537844,1986-12-01,0.17,0.17,0.16,0.17,721526400,0.10576609686883405,24,0,indicator > close
MSFT,-0.34761876988630985,0.5328460627626127,1987-01-01,0.17,0.27,0.16,0.25,1961596800,0.11090480911932733,24,0,indicator > close
MSFT,-0.5118703024408754,1.0486358543650691,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.12203242438978115,24,0,indicator > close
MSFT,-0.5041858131903754,1.0168846043607969,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.13386983043859865,24,0,indicator > close
MSFT,-0.5577639882249683,1.2612360218839584,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.15036024400351078,24,0,indicator > close
MSFT,-0.535746043102139,1.1539934881373706,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.16713142448322993,24,0,indicator > close
MSFT,-0.5355977236885712,1.1533055521230875,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.18576091052457155,24,0,indicator > close
MSFT,-0.4317141780496976,0.7596778968866335,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.19890003768260583,24,0,indicator > close
MSFT,-0.36549080403637163,0.5760212875737776,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.20938803466799738,24,0,indicator > close
MSFT,-0.45015367830595704,0.8186899876297454,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.2254369918945576,24,0,indicator > close
MSFT,-0.4691260162108848,0.8836862052694615,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.244202032542993,24,0,indicator > close
MSFT,-0.25921802958954837,0.34992486310907533,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.25186586993955357,24,0,indicator > close
