symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
NVDA,,,1999-01-01,0.04,0.05,0.04,0.04,4284288000,,24,0,indicator < close
NVDA,,,1999-02-01,0.04,0.05,0.04,0.05,3146592000,,24,0,indicator < close
NVDA,,,1999-03-01,0.05,0.05,0.04,0.04,2014512000,,24,0,indicator < close
NVDA,,,1999-04-01,0.04,0.05,0.03,0.04,1767024000,,24,0,indicator < close
NVDA,,,1999-05-01,0.04,0.04,0.03,0.04,2482512000,,24,0,indicator < close
NVDA,,,1999-06-01,0.04,0.04,0.03,0.04,2366160000,,24,0,indicator < close
NVDA,,,1999-07-01,0.04,0.05,0.04,0.04,3764064000,,24,0,indicator < close
NVDA,,,1999-08-01,0.04,0.06,0.04,0.06,7894800000,,24,0,indicator < close
NVDA,,,1999-09-01,0.06,0.06,0.03,0.04,6992640000,,24,0,indicator < close
NVDA,,,1999-10-01,0.04,0.05,0.04,0.05,7953504000,,24,0,indicator < close
NVDA,,,1999-11-01,0.05,0.09,0.05,0.07,13917936000,,24,0,indicator < close
NVDA,,,1999-12-01,0.07,0.1,0.07,0.1,4917552000,,24,0,indicator < close
NVDA,,,2000-01-01,0.1,0.1,0.07,0.08,4941456000,,24,0,indicator < close
NVDA,,,2000-02-01,0.08,0.14,0.07,0.13,9160848000,,24,0,indicator < close
NVDA,,,2000-03-01,0.13,0.31,0.12,0.18,17552160000,,24,0,indicator < close
NVDA,,,2000-04-01,0.17,0.23,0.12,0.19,6481728000,,24,0,indicator < close
NVDA,,,2000-05-01,0.19,0.25,0.16,0.24,8695584000,,24,0,indicator < close
NVDA,,,2000-06-01,0.24,0.37,0.24,0.26,13271304000,,24,0,indicator < close
NVDA,,,2000-07-01,0.27,0.32,0.21,0.25,7280352000,,24,0,indicator < close
NVDA,,,2000-08-01,0.25,0.34,0.22,0.33,6079248000,,24,0,indicator < close
NVDA,,,2000-09-01,0.34,0.36,0.26,0.34,5868576000,,24,0,indicator < close
NVDA,,,2000-10-01,0.35,0.36,0.22,0.26,8841576000,,24,0,indicator < close
NVDA,,,2000-11-01,0.25,0.33,0.15,0.17,8675472000,,24,0,indicator < close
NVDA,-0.28240740740740733,0.393548387096774,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.12916666666666668,24,1,indicator < close
NVDA,-0.04761904761904772,0.050000000000000114,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.13333333333333333,24,1,indicator < close
NVDA,-0.3598484848484848,0.5621301775147929,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.14083333333333334,24,1,indicator < close
NVDA,-0.18749999999999986,0.23076923076923056,2001-03-01,0.18,0.3,0.17,0.27,28940472000,0.14625000000000002,24,1,indicator < close
NVDA,-0.4228395061728395,0.7326203208556149,2001-04-01,0.27,0.37,0.22,0.35,31102920000,0.15583333333333335,24,1,indicator < close
NVDA,-0.5178571428571429,1.0740740740740742,2001-05-01,0.35,0.42,0.31,0.36,28041600000,0.16874999999999998,24,1,indicator < close
NVDA,-0.4942129629629629,0.9771167048054917,2001-06-01,0.36,0.41,0.35,0.39,20156760000,0.18208333333333335,24,1,indicator < close
