symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_3_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,3,0,indicator >= high
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,3,0,indicator >= high
SPY,-0.00882704967085588,0.008905660377358597,1993-03-01,44.56,45.84,44.22,45.19,3019200,44.166666666666664,3,0,indicator >= high
SPY,-0.014511970534069973,0.014725669008820443,1993-04-01,45.25,45.25,43.28,44.03,2697200,44.593333333333334,3,0,indicator >= high
SPY,0.012323278143191866,-0.012173263629574223,1993-05-01,44.09,45.66,43.84,45.22,1808000,44.63333333333333,3,0,indicator >= high
SPY,-0.01043043925370948,0.010540380047506005,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.906666666666666,3,0,indicator >= high
SPY,-0.005688534278959677,0.0057210788320081855,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.86333333333334,3,0,indicator >= high
SPY,0.005047131299636308,-0.005021785687910787,1993-08-01,44.91,46.56,44.84,46.56,5440100,45.13666666666666,3,0,indicator >= high
SPY,-0.020038784744667092,0.020448548812664905,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.48,3,0,indicator >= high
SPY,-0.003196745132229193,0.003206997084548296,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.73333333333333,3,0,indicator >= high
SPY,-0.00904945133247839,0.009132091752355055,1993-11-01,46.78,47.0,45.53,46.34,5351100,46.35666666666666,3,0,indicator >= high
SPY,-0.0037203977963798907,0.003734290843806229,1993-12-01,46.59,47.16,46.38,46.59,6128000,46.416666666666664,3,0,indicator >= high
SPY,0.0013593761179079753,-0.0013575307230637161,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.653333333333336,3,0,indicator >= high
SPY,-0.021733111849390776,0.02221593321069746,1994-02-01,48.16,48.28,46.56,46.81,10974400,47.11333333333334,3,0,indicator >= high
SPY,0.008046713665171228,-0.007982480926815453,1994-03-01,46.81,47.31,43.53,44.59,14705500,47.18666666666667,3,0,indicator >= high
SPY,0.06375942162744182,-0.05993782083724955,1994-04-01,43.34,45.36,43.34,45.09,11429000,46.10333333333333,3,1,indicator >= high
SPY,-0.0002217786648923932,0.0002218278615793702,1994-05-01,45.09,45.94,44.17,45.81,8545100,45.080000000000005,3,0,indicator >= high
SPY,-0.021663019693654154,0.022142697383135644,1994-06-01,45.7,46.56,44.0,44.47,10352700,44.71000000000001,3,0,indicator >= high
SPY,0.01051689415976742,-0.010407440212577633,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.160000000000004,3,0,indicator >= high
SPY,-0.010811203018429747,0.010929362576102015,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.443333333333335,3,0,indicator >= high
SPY,-0.030666666666666748,0.03163686382393406,1994-09-01,47.5,47.72,45.73,46.17,6309300,46.04333333333333,3,0,indicator >= high
SPY,0.007503607503607292,-0.007447722715554074,1994-10-01,46.2,47.7,45.0,47.48,5437600,46.54666666666666,3,0,indicator >= high
SPY,-0.006063169768753571,0.006100156050503664,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.99333333333333,3,0,indicator >= high
