symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_6_months,moving_average_window_months,condition,screening_rule
SPY,0.0,0.0,1993-01-01,43.97,43.97,43.75,43.94,1003200,43.97,6,0,indicator < high
SPY,0.0,0.0,1993-02-01,43.97,45.12,42.81,44.41,5417600,43.97,6,1,indicator < high
SPY,-0.00945755321877403,0.00954785254231801,1993-03-01,44.56,45.84,44.22,45.19,3019200,44.13857142857143,6,1,indicator < high
SPY,-0.01754425527116924,0.017857552734868134,1993-04-01,45.25,45.25,43.28,44.03,2697200,44.45612244897959,6,1,indicator < high
SPY,0.005931413812325228,-0.005896439589102882,1993-05-01,44.09,45.66,43.84,45.22,1808000,44.35151603498542,6,1,indicator < high
SPY,-0.016188439920269804,0.016454817748795165,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.64536859641816,6,1,indicator < high
SPY,-0.007513795016176501,0.007570679550451756,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.780977568870114,6,1,indicator < high
SPY,-0.002052079255811351,0.0020562989442185287,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.81784112062151,6,1,indicator < high
SPY,-0.024504553811962995,0.025120110921808943,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.272743657586794,6,1,indicator < high
SPY,-0.009454109204340602,0.009544342460243369,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.446245469704856,6,1,indicator < high
SPY,-0.02036515193145954,0.02078851316040024,1993-11-01,46.78,47.0,45.53,46.34,5351100,45.827318192646324,6,1,indicator < high
SPY,-0.011692910915182304,0.0118312526990068,1993-12-01,46.59,47.16,46.38,46.59,6128000,46.04522728046166,6,1,indicator < high
SPY,-0.008352079225130262,0.008422423977457624,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.200876628901185,6,1,indicator < high
SPY,-0.029056765708038862,0.029926328009513208,1994-02-01,48.16,48.28,46.56,46.81,10974400,46.760626163500845,6,1,indicator < high
SPY,-0.000753407948532932,0.0007539760000443684,1994-03-01,46.81,47.31,43.53,44.59,14705500,46.774732973929176,6,1,indicator < high
