symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,6,0,indicator <= close
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,6,0,indicator <= close
SPY,,,1993-03-01,44.56,45.84,44.22,45.19,3019200,,6,0,indicator <= close
SPY,,,1993-04-01,45.25,45.25,43.28,44.03,2697200,,6,0,indicator <= close
SPY,,,1993-05-01,44.09,45.66,43.84,45.22,1808000,,6,0,indicator <= close
SPY,-0.01433398392411158,0.014542434952944525,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.72952380952382,6,1,indicator <= close
SPY,-0.004960317460317404,0.004985044865403731,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.896190476190476,6,0,indicator <= close
SPY,0.0008482573612835686,-0.0008475384305708662,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.94809523809524,6,1,indicator <= close
SPY,-0.022111408666030574,0.022611378087423726,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.38380952380952,6,1,indicator <= close
SPY,-0.0065387968613774446,0.006581834137779665,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.580000000000005,6,1,indicator <= close
SPY,-0.016602536696594075,0.01688283457720464,1993-11-01,46.78,47.0,45.53,46.34,5351100,46.00333333333333,6,1,indicator <= close
SPY,-0.0074203538466257575,0.007475827129220781,1993-12-01,46.59,47.16,46.38,46.59,6128000,46.24428571428571,6,1,indicator <= close
SPY,-0.003485317715839385,0.0034975076411824816,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.42761904761905,6,1,indicator <= close
SPY,-0.024303907609555375,0.024909300958673584,1994-02-01,48.16,48.28,46.56,46.81,10974400,46.98952380952381,6,0,indicator <= close
SPY,0.004292936999623582,-0.004274586469211812,1994-03-01,46.81,47.31,43.53,44.59,14705500,47.01095238095238,6,0,indicator <= close
SPY,0.0618805897993715,-0.058274527657637125,1994-04-01,43.34,45.36,43.34,45.09,11429000,46.021904761904764,6,0,indicator <= close
SPY,0.012504092344411723,-0.012349670918819706,1994-05-01,45.09,45.94,44.17,45.81,8545100,45.65380952380953,6,1,indicator <= close
SPY,-0.0034906741690110396,0.0035029016573429124,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.5404761904762,6,0,indicator <= close
SPY,0.010985732399919136,-0.010866357504215966,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.180952380952384,6,1,indicator <= close
SPY,-0.014604971287600757,0.01482143796349861,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.26904761904762,6,1,indicator <= close
SPY,-0.033503759398496265,0.034665173014687606,1994-09-01,47.5,47.72,45.73,46.17,6309300,45.90857142857143,6,1,indicator <= close
SPY,-0.0012162440733870107,0.001217725124352519,1994-10-01,46.2,47.7,45.0,47.48,5437600,46.14380952380952,6,1,indicator <= close
SPY,-0.015409717186367066,0.01565089302154313,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.551428571428566,6,0,indicator <= close
SPY,0.01634948457910775,-0.01608647893975016,1994-12-01,45.64,46.41,44.69,45.56,8568500,46.38619047619048,6,0,indicator <= close
SPY,0.011837032405960247,-0.011698556216917644,1995-01-01,45.7,47.23,45.69,47.09,2768000,46.240952380952386,6,1,indicator <= close
SPY,-0.014742113978755073,0.014962695744855162,1995-02-01,47.16,49.16,47.0,49.02,5954800,46.46476190476191,6,1,indicator <= close
SPY,-0.037214232231589824,0.03865266134733868,1995-03-01,48.97,50.89,48.22,50.11,4538000,47.147619047619045,6,1,indicator <= close
SPY,-0.040118263316506544,0.04179500638809939,1995-04-01,50.09,51.67,50.06,51.59,4395200,48.08047619047619,6,1,indicator <= close
SPY,-0.04470925130478946,0.0468017212203257,1995-05-01,51.55,53.64,51.39,53.64,6986200,49.2452380952381,6,1,indicator <= close
SPY,-0.050026301477340496,0.052660722665415174,1995-06-01,53.41,55.16,52.75,54.41,5790900,50.73809523809524,6,1,indicator <= close
SPY,-0.04233872730292785,0.044210545534214635,1995-07-01,54.47,56.7,54.2,56.16,5508200,52.16380952380952,6,1,indicator <= close
SPY,-0.0454426123997526,0.047605951187487124,1995-08-01,56.23,56.8,55.42,56.41,8100100,53.67476190476191,6,1,indicator <= close
SPY,-0.028204933329955585,0.029023540350541895,1995-09-01,56.39,58.91,56.34,58.48,7431600,54.799523809523805,6,1,indicator <= close
SPY,-0.03953325516253028,0.04116046221800225,1995-10-01,58.48,59.19,57.27,58.31,8944800,56.168095238095226,6,1,indicator <= close
SPY,-0.02059025394646551,0.021023125437981956,1995-11-01,58.28,61.2,58.23,60.91,8841700,57.07999999999999,6,1,indicator <= close
SPY,-0.04160614721454336,0.04341236861403074,1995-12-01,60.98,62.8,60.58,61.48,9816800,58.44285714285714,6,1,indicator <= close
SPY,-0.029993563945689052,0.030920994779883814,1996-01-01,61.41,63.69,59.64,63.67,10661800,59.56809523809523,6,1,indicator <= close
SPY,-0.041166034091674714,0.042933433269311844,1996-02-01,63.61,66.69,63.44,63.88,14850400,60.99142857142857,6,1,indicator <= close
SPY,-0.035309111268269494,0.03660147688830153,1996-03-01,64.64,65.97,62.0,64.69,19022700,62.35761904761906,6,1,indicator <= close
SPY,-0.024095238095238013,0.024690153215575203,1996-04-01,65.0,65.81,62.12,65.39,14999300,63.43380952380953,6,1,indicator <= close
SPY,-0.016394994828766617,0.016668271046376443,1996-05-01,65.38,68.44,63.08,66.88,17453200,64.30809523809523,6,1,indicator <= close
SPY,-0.0241334386946586,0.024730265029654426,1996-06-01,66.89,68.5,66.16,67.11,16871800,65.27571428571429,6,1,indicator <= close
SPY,-0.017934998018232215,0.018262536575522098,1996-07-01,67.28,67.7,60.38,64.09,28811500,66.07333333333334,6,0,indicator <= close
SPY,0.024002493765585914,-0.023439878234398664,1996-08-01,64.16,67.34,64.06,65.33,15593100,65.69999999999999,6,0,indicator <= close
SPY,0.014255430728208741,-0.014055069656342602,1996-09-01,64.47,69.25,64.38,68.62,17216100,65.38904761904762,6,1,indicator <= close
SPY,-0.03501074374436812,0.03628096739669146,1996-10-01,68.7,71.62,68.44,70.84,14791800,66.29476190476191,6,1,indicator <= close
SPY,-0.04655234875015091,0.04882528022291174,1996-11-01,70.98,76.69,70.27,76.02,24089700,67.67571428571429,6,1,indicator <= close
SPY,-0.07532364895378586,0.08145947375918267,1996-12-01,75.92,76.58,71.88,73.84,34952800,70.20142857142858,6,1,indicator <= close
