symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,12,0,indicator > close
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,12,0,indicator > close
500.PA,,,2010-08-01,13.36,0.0,0.0,12.94,0,,12,0,indicator > close
500.PA,,,2010-09-01,13.21,0.0,0.0,13.11,0,,12,0,indicator > close
500.PA,,,2010-10-01,13.08,0.0,0.0,13.36,0,,12,0,indicator > close
500.PA,,,2010-11-01,13.39,0.0,0.0,14.26,0,,12,0,indicator > close
500.PA,,,2010-12-01,14.52,0.0,0.0,14.75,0,,12,0,indicator > close
500.PA,,,2011-01-01,14.98,0.0,0.0,14.77,0,,12,0,indicator > close
500.PA,,,2011-02-01,14.93,0.0,0.0,15.15,0,,12,0,indicator > close
500.PA,,,2011-03-01,14.9,0.0,0.0,14.75,0,,12,0,indicator > close
500.PA,,,2011-04-01,14.87,0.0,0.0,14.52,0,,12,0,indicator > close
500.PA,-0.005566801619433161,0.005597964376590292,2011-05-01,14.44,0.0,0.0,14.8,0,14.359615384615385,12,0,indicator > close
500.PA,-0.00012447099825724543,0.0001244864932153255,2011-06-01,14.42,0.0,0.0,14.42,0,14.41820512820513,12,0,indicator > close
500.PA,-0.009871357311630484,0.009969772498276639,2011-07-01,14.65,0.0,0.0,14.25,0,14.505384615384614,12,1,indicator > close
500.PA,0.011525962431255,-0.011394628372712998,2011-08-01,14.36,0.0,0.0,13.44,0,14.525512820512821,12,1,indicator > close
500.PA,0.07214643280217047,-0.06729158498770356,2011-09-01,13.42,0.0,0.0,13.4,0,14.388205128205128,12,1,indicator > close
500.PA,0.07965084560829237,-0.07377463365336025,2011-10-01,13.16,0.0,0.0,14.29,0,14.208205128205128,12,0,indicator > close
500.PA,0.0008866692000072225,-0.0008858837142030506,2011-11-01,14.17,0.0,0.0,14.77,0,14.182564102564102,12,0,indicator > close
500.PA,-0.033735443104078756,0.034913257309625696,2011-12-01,14.73,0.0,0.0,15.46,0,14.23307692307692,12,0,indicator > close
500.PA,-0.06900354927521814,0.07411795095620267,2012-01-01,15.46,0.0,0.0,16.01,0,14.393205128205128,12,0,indicator > close
500.PA,-0.08703232720699973,0.09532903497091601,2012-02-01,16.03,0.0,0.0,16.33,0,14.634871794871795,12,0,indicator > close
500.PA,-0.09440842157640213,0.1042505516015762,2012-03-01,16.49,0.0,0.0,16.94,0,14.933205128205127,12,0,indicator > close
500.PA,-0.10453706621055944,0.11674080776093891,2012-04-01,17.09,0.0,0.0,16.93,0,15.303461538461539,12,0,indicator > close
500.PA,-0.08453736628107605,0.09234387419796286,2012-05-01,17.09,0.0,0.0,17.02,0,15.64525641025641,12,0,indicator > close
500.PA,-0.04351251158480077,0.04549198197761739,2012-06-01,16.6,0.0,0.0,17.26,0,15.877692307692309,12,0,indicator > close
500.PA,-0.07089119094849738,0.07630020322470941,2012-07-01,17.45,0.0,0.0,18.02,0,16.21294871794872,12,0,indicator > close
500.PA,-0.077948717948718,0.08453837597330371,2012-08-01,18.0,0.0,0.0,17.99,0,16.596923076923076,12,0,indicator > close
500.PA,-0.060082813967386725,0.06392351885914124,2012-09-01,18.02,0.0,0.0,18.07,0,16.93730769230769,12,0,indicator > close
500.PA,-0.04624187182326708,0.048483856081694525,2012-10-01,18.06,0.0,0.0,17.6,0,17.224871794871795,12,0,indicator > close
500.PA,-0.023318521075110777,0.023875256752876408,2012-11-01,17.83,0.0,0.0,17.64,0,17.414230769230773,12,0,indicator > close
500.PA,0.0017906154139697497,-0.0017874148414035742,2012-12-01,17.47,0.0,0.0,17.56,0,17.50128205128205,12,0,indicator > close
500.PA,-0.017067799276388258,0.017364167400176066,2013-01-01,17.93,0.0,0.0,17.93,0,17.62397435897436,12,0,indicator > close
500.PA,-0.012920505678165696,0.013089630321053964,2013-02-01,17.95,0.0,0.0,18.85,0,17.718076923076925,12,0,indicator > close
500.PA,-0.056141982798134295,0.05948138573275163,2013-03-01,19.02,0.0,0.0,19.9,0,17.952179487179485,12,0,indicator > close
500.PA,-0.08171146122953366,0.08898233809924322,2013-04-01,19.92,0.0,0.0,19.75,0,18.29230769230769,12,0,indicator > close
