symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_1_months,moving_average_window_months,condition,screening_rule
500.PA,0.0,0.0,2010-06-01,13.89,0.0,0.0,13.16,0,13.89,1,1,indicator >= open
500.PA,0.0,0.0,2010-07-01,12.9,0.0,0.0,13.23,0,12.9,1,1,indicator >= open
500.PA,0.0,0.0,2010-08-01,13.36,0.0,0.0,12.94,0,13.36,1,1,indicator >= open
500.PA,0.0,0.0,2010-09-01,13.21,0.0,0.0,13.11,0,13.21,1,1,indicator >= open
500.PA,0.0,0.0,2010-10-01,13.08,0.0,0.0,13.36,0,13.08,1,1,indicator >= open
500.PA,0.0,0.0,2010-11-01,13.39,0.0,0.0,14.26,0,13.39,1,1,indicator >= open
500.PA,0.0,0.0,2010-12-01,14.52,0.0,0.0,14.75,0,14.52,1,1,indicator >= open
500.PA,0.0,0.0,2011-01-01,14.98,0.0,0.0,14.77,0,14.98,1,1,indicator >= open
500.PA,0.0,0.0,2011-02-01,14.93,0.0,0.0,15.15,0,14.93,1,1,indicator >= open
500.PA,0.0,0.0,2011-03-01,14.9,0.0,0.0,14.75,0,14.9,1,1,indicator >= open
500.PA,0.0,0.0,2011-04-01,14.87,0.0,0.0,14.52,0,14.87,1,1,indicator >= open
500.PA,0.0,0.0,2011-05-01,14.44,0.0,0.0,14.8,0,14.44,1,1,indicator >= open
500.PA,0.0,0.0,2011-06-01,14.42,0.0,0.0,14.42,0,14.42,1,1,indicator >= open
500.PA,0.0,0.0,2011-07-01,14.65,0.0,0.0,14.25,0,14.65,1,1,indicator >= open
500.PA,0.0,0.0,2011-08-01,14.36,0.0,0.0,13.44,0,14.36,1,1,indicator >= open
500.PA,0.0,0.0,2011-09-01,13.42,0.0,0.0,13.4,0,13.42,1,1,indicator >= open
500.PA,0.0,0.0,2011-10-01,13.16,0.0,0.0,14.29,0,13.16,1,1,indicator >= open
