symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_3_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,3,0,indicator < open
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,3,0,indicator < open
500.PA,0.0017465069860279512,-0.0017434620174346274,2010-08-01,13.36,0.0,0.0,12.94,0,13.383333333333333,3,0,indicator < open
500.PA,-0.004037345445369762,0.004053711679756871,2010-09-01,13.21,0.0,0.0,13.11,0,13.156666666666666,3,1,indicator < open
500.PA,0.010448521916411964,-0.010340479192938345,2010-10-01,13.08,0.0,0.0,13.36,0,13.216666666666669,3,0,indicator < open
500.PA,-0.012198157829225707,0.01234879032258056,2010-11-01,13.39,0.0,0.0,14.26,0,13.226666666666668,3,1,indicator < open
500.PA,-0.05899908172635438,0.06269821907782377,2010-12-01,14.52,0.0,0.0,14.75,0,13.663333333333334,3,1,indicator < open
500.PA,-0.04561637739207834,0.04779668920494289,2011-01-01,14.98,0.0,0.0,14.77,0,14.296666666666667,3,1,indicator < open
500.PA,-0.008037508372404502,0.008102633355840595,2011-02-01,14.93,0.0,0.0,15.15,0,14.81,3,1,indicator < open
500.PA,0.0024608501118568503,-0.002454809194376282,2011-03-01,14.9,0.0,0.0,14.75,0,14.936666666666667,3,0,indicator < open
500.PA,0.00201748486886356,-0.0020134228187920224,2011-04-01,14.87,0.0,0.0,14.52,0,14.9,3,0,indicator < open
500.PA,0.020544783010156987,-0.020131192038000466,2011-05-01,14.44,0.0,0.0,14.8,0,14.736666666666666,3,0,indicator < open
500.PA,0.01086453999075368,-0.010747770409330074,2011-06-01,14.42,0.0,0.0,14.42,0,14.576666666666668,3,0,indicator < open
500.PA,-0.010011376564277698,0.010112617789014131,2011-07-01,14.65,0.0,0.0,14.25,0,14.503333333333332,3,1,indicator < open
500.PA,0.008124419684308297,-0.008058945429426697,2011-08-01,14.36,0.0,0.0,13.44,0,14.476666666666667,3,0,indicator < open
500.PA,0.053899652260307955,-0.051143059156257324,2011-09-01,13.42,0.0,0.0,13.4,0,14.143333333333333,3,0,indicator < open
500.PA,0.03698074974670717,-0.03566194430874448,2011-10-01,13.16,0.0,0.0,14.29,0,13.646666666666667,3,0,indicator < open
500.PA,-0.041402023053399156,0.043190184049079705,2011-11-01,14.17,0.0,0.0,14.77,0,13.583333333333334,3,1,indicator < open
500.PA,-0.048200950441276244,0.05064194008559194,2011-12-01,14.73,0.0,0.0,15.46,0,14.020000000000001,3,1,indicator < open
500.PA,-0.04355325571366971,0.04553651938683501,2012-01-01,15.46,0.0,0.0,16.01,0,14.786666666666667,3,1,indicator < open
500.PA,-0.03888542316489924,0.040458675897879805,2012-02-01,16.03,0.0,0.0,16.33,0,15.406666666666666,3,1,indicator < open
500.PA,-0.030119264200525436,0.031054606085868967,2012-03-01,16.49,0.0,0.0,16.94,0,15.993333333333334,3,1,indicator < open
500.PA,-0.032377608738053516,0.03346099576698254,2012-04-01,17.09,0.0,0.0,16.93,0,16.536666666666665,3,1,indicator < open
500.PA,-0.011702750146284335,0.011841326228537554,2012-05-01,17.09,0.0,0.0,17.02,0,16.89,3,1,indicator < open
500.PA,0.019678714859437615,-0.01929893658920822,2012-06-01,16.6,0.0,0.0,17.26,0,16.926666666666666,3,0,indicator < open
500.PA,-0.023113658070678077,0.023660539694954973,2012-07-01,17.45,0.0,0.0,18.02,0,17.046666666666667,3,1,indicator < open
500.PA,-0.03611111111111123,0.03746397694524509,2012-08-01,18.0,0.0,0.0,17.99,0,17.349999999999998,3,1,indicator < open
500.PA,-0.010913799482056905,0.011034224798952615,2012-09-01,18.02,0.0,0.0,18.07,0,17.823333333333334,3,1,indicator < open
500.PA,-0.00184569952011802,0.0018491124260353977,2012-10-01,18.06,0.0,0.0,17.6,0,18.026666666666667,3,1,indicator < open
500.PA,0.00785193494111052,-0.007790762381747389,2012-11-01,17.83,0.0,0.0,17.64,0,17.97,3,0,indicator < open
500.PA,0.018126311772562475,-0.017803598200899537,2012-12-01,17.47,0.0,0.0,17.56,0,17.786666666666665,3,0,indicator < open
500.PA,-0.01041085703662395,0.01052038324253245,2013-01-01,17.93,0.0,0.0,17.93,0,17.743333333333332,3,1,indicator < open
500.PA,-0.00928505106778094,0.009372071227741398,2013-02-01,17.95,0.0,0.0,18.85,0,17.78333333333333,3,1,indicator < open
500.PA,-0.0378548895899053,0.0393442622950819,2013-03-01,19.02,0.0,0.0,19.9,0,18.3,3,1,indicator < open
500.PA,-0.04802543507362786,0.050448233432940776,2013-04-01,19.92,0.0,0.0,19.75,0,18.963333333333335,3,1,indicator < open
500.PA,-0.003067484662576622,0.0030769230769230114,2013-05-01,19.56,0.0,0.0,20.55,0,19.5,3,1,indicator < open
500.PA,-0.026900016204829097,0.027643630308076667,2013-06-01,20.57,0.0,0.0,20.21,0,20.016666666666666,3,1,indicator < open
500.PA,-0.006416584402764193,0.006458022851465602,2013-07-01,20.26,0.0,0.0,20.78,0,20.13,3,1,indicator < open
500.PA,-0.022253787878787824,0.02276029055690067,2013-08-01,21.12,0.0,0.0,20.31,0,20.650000000000002,3,1,indicator < open
500.PA,0.012473330050878258,-0.012319662830280631,2013-09-01,20.31,0.0,0.0,20.4,0,20.563333333333336,3,0,indicator < open
500.PA,0.004373177842565591,-0.004354136429608121,2013-10-01,20.58,0.0,0.0,21.23,0,20.669999999999998,3,0,indicator < open
500.PA,-0.03182735600062103,0.03287363694676076,2013-11-01,21.47,0.0,0.0,21.84,0,20.786666666666665,3,1,indicator < open
500.PA,-0.02575826855662243,0.026439299123904844,2013-12-01,21.87,0.0,0.0,22.11,0,21.30666666666667,3,1,indicator < open
500.PA,-0.013266998341625192,0.01344537815126049,2014-01-01,22.11,0.0,0.0,21.81,0,21.816666666666666,3,1,indicator < open
500.PA,0.02289118846033246,-0.02237890864500313,2014-02-01,21.26,0.0,0.0,22.26,0,21.74666666666667,3,0,indicator < open
500.PA,-0.013995485327313713,0.014194139194139135,2014-03-01,22.15,0.0,0.0,22.48,0,21.84,3,1,indicator < open
500.PA,-0.026967285587975218,0.02771467514766013,2014-04-01,22.62,0.0,0.0,22.51,0,22.01,3,1,indicator < open
500.PA,-0.003407407407407466,0.0034190575293593576,2014-05-01,22.5,0.0,0.0,23.39,0,22.423333333333332,3,1,indicator < open
500.PA,-0.02584860105098703,0.026534480244933618,2014-06-01,23.47,0.0,0.0,23.78,0,22.863333333333333,3,1,indicator < open
500.PA,-0.02739535530524265,0.02816700028595938,2014-07-01,23.97,0.0,0.0,24.0,0,23.313333333333333,3,1,indicator < open
500.PA,-0.0033557046979865056,0.003367003367003295,2014-08-01,23.84,0.0,0.0,25.33,0,23.76,3,1,indicator < open
500.PA,-0.03923884514435694,0.04084141510722577,2014-09-01,25.4,0.0,0.0,26.04,0,24.403333333333332,3,1,indicator < open
500.PA,-0.029750355710774903,0.03066257832289039,2014-10-01,25.77,0.0,0.0,26.89,0,25.00333333333333,3,1,indicator < open
500.PA,-0.03446997776130466,0.035700575815738954,2014-11-01,26.98,0.0,0.0,27.73,0,26.05,3,1,indicator < open
500.PA,-0.02773740310077527,0.02852871558490104,2014-12-01,27.52,0.0,0.0,28.49,0,26.756666666666664,3,1,indicator < open
500.PA,-0.03257707969749843,0.03367408298256151,2015-01-01,28.65,0.0,0.0,29.62,0,27.71666666666667,3,1,indicator < open
500.PA,-0.03941931881630383,0.041036968146942666,2015-02-01,29.85,0.0,0.0,31.5,0,28.673333333333332,3,1,indicator < open
500.PA,-0.05249343832021001,0.055401662049861536,2015-03-01,31.75,0.0,0.0,32.36,0,30.083333333333332,3,1,indicator < open
500.PA,-0.028589185829707837,0.029430582213691558,2015-04-01,32.18,0.0,0.0,31.31,0,31.26,3,1,indicator < open
500.PA,0.001987239828469913,-0.001983298538622217,2015-05-01,31.87,0.0,0.0,32.39,0,31.933333333333337,3,0,indicator < open
500.PA,-0.01276161306789171,0.012926577042399098,2015-06-01,32.65,0.0,0.0,31.24,0,32.233333333333334,3,1,indicator < open
500.PA,0.014570795058599964,-0.014361536059943829,2015-07-01,31.57,0.0,0.0,32.15,0,32.03,3,0,indicator < open
500.PA,-0.0037163208423661984,0.0037301834006840087,2015-08-01,32.29,0.0,0.0,29.77,0,32.169999999999995,3,1,indicator < open
500.PA,0.07348168752897542,-0.0684517382854675,2015-09-01,28.76,0.0,0.0,29.13,0,30.873333333333335,3,0,indicator < open
500.PA,0.0331270059605686,-0.03206479529568406,2015-10-01,29.08,0.0,0.0,31.91,0,30.043333333333333,3,0,indicator < open
500.PA,-0.0703165274770596,0.07563491183320409,2015-11-01,32.33,0.0,0.0,33.46,0,30.05666666666666,3,1,indicator < open
500.PA,-0.05870705870705891,0.06236853176272636,2015-12-01,33.67,0.0,0.0,32.0,0,31.693333333333328,3,1,indicator < open
500.PA,0.02755864100136735,-0.026819531170027576,2016-01-01,31.69,0.0,0.0,30.52,0,32.56333333333333,3,0,indicator < open
500.PA,0.052128010557571706,-0.04954531201003445,2016-02-01,30.31,0.0,0.0,30.33,0,31.889999999999997,3,0,indicator < open
500.PA,-0.0015019847655832123,0.001504244117331162,2016-03-01,31.07,0.0,0.0,30.87,0,31.02333333333333,3,1,indicator < open
