symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,6,0,indicator >= close
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,6,0,indicator >= close
500.PA,,,2010-08-01,13.36,0.0,0.0,12.94,0,,6,0,indicator >= close
500.PA,,,2010-09-01,13.21,0.0,0.0,13.11,0,,6,0,indicator >= close
500.PA,,,2010-10-01,13.08,0.0,0.0,13.36,0,,6,0,indicator >= close
500.PA,-0.010099932430029428,0.010202981857373719,2010-11-01,13.39,0.0,0.0,14.26,0,13.254761904761907,6,0,indicator >= close
500.PA,-0.063229699593336,0.06749754936283439,2010-12-01,14.52,0.0,0.0,14.75,0,13.60190476190476,6,0,indicator >= close
500.PA,-0.062050988619746957,0.06615603606046228,2011-01-01,14.98,0.0,0.0,14.77,0,14.050476190476191,6,0,indicator >= close
500.PA,-0.03645584154626347,0.03783515392254216,2011-02-01,14.93,0.0,0.0,15.15,0,14.385714285714286,6,0,indicator >= close
500.PA,-0.017609459891339132,0.017925111421972135,2011-03-01,14.9,0.0,0.0,14.75,0,14.637619047619047,6,0,indicator >= close
500.PA,-0.0046754411246676675,0.004697403558443977,2011-04-01,14.87,0.0,0.0,14.52,0,14.800476190476191,6,1,indicator >= close
500.PA,0.02183089302202878,-0.021364487187762234,2011-05-01,14.44,0.0,0.0,14.8,0,14.755238095238095,6,0,indicator >= close
500.PA,0.016247275609272877,-0.015987521934100253,2011-06-01,14.42,0.0,0.0,14.42,0,14.654285714285715,6,1,indicator >= close
500.PA,-0.0017877458150495024,0.001790947574080037,2011-07-01,14.65,0.0,0.0,14.25,0,14.623809523809525,6,1,indicator >= close
500.PA,0.011573152938055541,-0.011440747418456083,2011-08-01,14.36,0.0,0.0,13.44,0,14.526190476190477,6,1,indicator >= close
500.PA,0.05716414732808154,-0.05407310442050127,2011-09-01,13.42,0.0,0.0,13.4,0,14.187142857142854,6,1,indicator >= close
500.PA,0.051997394702561865,-0.04942730368383035,2011-10-01,13.16,0.0,0.0,14.29,0,13.844285714285714,6,0,indicator >= close
500.PA,-0.021070672446819323,0.021524201853759105,2011-11-01,14.17,0.0,0.0,14.77,0,13.87142857142857,6,0,indicator >= close
500.PA,-0.04470953350790423,0.04680203045685284,2011-12-01,14.73,0.0,0.0,15.46,0,14.071428571428571,6,0,indicator >= close
500.PA,-0.06434423704798856,0.06876913454258143,2012-01-01,15.46,0.0,0.0,16.01,0,14.465238095238098,6,0,indicator >= close
500.PA,-0.06529423996672906,0.06985539488320357,2012-02-01,16.03,0.0,0.0,16.33,0,14.983333333333334,6,0,indicator >= close
500.PA,-0.0568021022842126,0.06022288898414053,2012-03-01,16.49,0.0,0.0,16.94,0,15.553333333333333,6,0,indicator >= close
500.PA,-0.055086516760009974,0.05829794762915775,2012-04-01,17.09,0.0,0.0,16.93,0,16.14857142857143,6,0,indicator >= close
500.PA,-0.0312073337234251,0.03221260318099467,2012-05-01,17.09,0.0,0.0,17.02,0,16.556666666666665,6,0,indicator >= close
500.PA,0.0051635111876075545,-0.0051369863013698445,2012-06-01,16.6,0.0,0.0,17.26,0,16.685714285714287,6,0,indicator >= close
500.PA,-0.027589029881293588,0.02837177976090261,2012-07-01,17.45,0.0,0.0,18.02,0,16.968571428571426,6,0,indicator >= close
500.PA,-0.03812169312169308,0.03963255315052664,2012-08-01,18.0,0.0,0.0,17.99,0,17.313809523809525,6,0,indicator >= close
500.PA,-0.024919401722953313,0.025556248136805855,2012-09-01,18.02,0.0,0.0,18.07,0,17.57095238095238,6,0,indicator >= close
500.PA,-0.016242155777039285,0.016510318949343118,2012-10-01,18.06,0.0,0.0,17.6,0,17.76666666666667,6,1,indicator >= close
500.PA,0.0011484122532917358,-0.0011470949154351615,2012-11-01,17.83,0.0,0.0,17.64,0,17.85047619047619,6,1,indicator >= close
500.PA,0.018671464006323753,-0.018329230439901516,2012-12-01,17.47,0.0,0.0,17.56,0,17.796190476190475,6,1,indicator >= close
500.PA,-0.0054710116059810505,0.005501108232969384,2013-01-01,17.93,0.0,0.0,17.93,0,17.83190476190476,6,0,indicator >= close
500.PA,-0.005544501923331997,0.005575414821533363,2013-02-01,17.95,0.0,0.0,18.85,0,17.85047619047619,6,0,indicator >= close
500.PA,-0.04431425567072248,0.046369066331342274,2013-03-01,19.02,0.0,0.0,19.9,0,18.177142857142858,6,0,indicator >= close
500.PA,-0.06057563587684071,0.06448165301033133,2013-04-01,19.92,0.0,0.0,19.75,0,18.713333333333335,6,0,indicator >= close
500.PA,-0.025659752653617467,0.026335515466493202,2013-05-01,19.56,0.0,0.0,20.55,0,19.05809523809524,6,0,indicator >= close
