symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
AAPL,0.0,0.0,1985-01-01,0.13,0.14,0.12,0.13,6366416000,0.13,12,0,indicator < open
AAPL,0.0,0.0,1985-02-01,0.13,0.14,0.11,0.11,4733388800,0.13,12,0,indicator < open
AAPL,0.15384615384615377,-0.13333333333333328,1985-03-01,0.11,0.12,0.09,0.1,4615587200,0.12692307692307692,12,0,indicator < open
AAPL,0.2278106508875738,-0.18554216867469867,1985-04-01,0.1,0.1,0.09,0.09,2868028800,0.12278106508875739,12,0,indicator < open
AAPL,0.30819804784301824,-0.23558974755479956,1985-05-01,0.09,0.1,0.08,0.08,4639129600,0.11773782430587164,12,0,indicator < open
AAPL,0.39915006477364234,-0.28528038187113103,1985-06-01,0.08,0.08,0.07,0.08,5811388800,0.11193200518189139,12,0,indicator < open
AAPL,0.3377423625007743,-0.25247190488114546,1985-07-01,0.08,0.08,0.07,0.07,2600595200,0.10701938900006194,12,0,indicator < open
AAPL,0.44748711978096845,-0.3091475659200902,1985-08-01,0.07,0.07,0.06,0.07,1818745600,0.1013240983846678,12,0,indicator < open
AAPL,0.3786429475069733,-0.2746490294616751,1985-09-01,0.07,0.08,0.07,0.07,1797196800,0.09650500632548814,12,0,indicator < open
AAPL,0.32039018635205435,-0.2426481124016996,1985-10-01,0.07,0.09,0.07,0.08,3785913600,0.09242731304464381,12,0,indicator < open
AAPL,0.13144273412604035,-0.11617267950160164,1985-11-01,0.08,0.09,0.08,0.09,2884672000,0.09051541873008323,12,0,indicator < open
AAPL,0.004845817120440681,-0.004822448417337506,1985-12-01,0.09,0.1,0.09,0.1,3571209600,0.09043612354083966,12,0,indicator < open
AAPL,-0.08092510850058757,0.08805061399138364,1986-01-01,0.1,0.11,0.1,0.1,6291801600,0.09190748914994125,12,1,indicator < open
AAPL,-0.06847509180818945,0.07350859993760867,1986-02-01,0.1,0.12,0.1,0.11,3420860800,0.09315249081918106,12,1,indicator < open
AAPL,-0.129596224467838,0.14889207527690618,1986-03-01,0.11,0.13,0.11,0.13,4264332800,0.09574441530853782,12,1,indicator < open
AAPL,-0.22296534414561187,0.2869438865637858,1986-04-01,0.13,0.15,0.12,0.14,4462684800,0.10101450526107046,12,1,indicator < open
AAPL,-0.23562661655396974,0.3082611478328726,1986-05-01,0.14,0.17,0.13,0.17,4954051200,0.10701227368244424,12,1,indicator < open
AAPL,-0.3135135699063862,0.4566930330489321,1986-06-01,0.17,0.17,0.15,0.16,4063360000,0.11670269311591436,12,1,indicator < open
AAPL,-0.22897614217545292,0.2969767275704176,1986-07-01,0.16,0.17,0.13,0.14,5691638400,0.12336381725192754,12,1,indicator < open
AAPL,-0.10054835726856998,0.11178850812171236,1986-08-01,0.14,0.17,0.14,0.17,3643516800,0.12592322998240021,12,1,indicator < open
AAPL,-0.21938663809665052,0.2810439185433948,1986-09-01,0.17,0.17,0.14,0.15,3578198400,0.13270427152356942,12,1,indicator < open
AAPL,-0.09756564781576216,0.10811384515628844,1986-10-01,0.15,0.16,0.14,0.15,2984038400,0.13536515282763567,12,1,indicator < open
AAPL,-0.13028044177692683,0.14979592047246035,1986-11-01,0.16,0.18,0.15,0.18,5206163200,0.1391551293156917,12,1,indicator < open
AAPL,-0.19200580236213294,0.23763264999111733,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.14543895557481606,12,1,indicator < open
AAPL,-0.162466448152574,0.193982017549275,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.15075603933253667,12,1,indicator < open
AAPL,-0.3359026361052605,0.5058032968769646,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.16602434097368488,12,1,indicator < open
AAPL,-0.39298566979887506,0.6474075655984353,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.18817444236234873,12,1,indicator < open
AAPL,-0.27749481703685824,0.3840731161246417,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.2023014512296797,12,1,indicator < open
AAPL,-0.3570734146095655,0.5553875399206318,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.22502430488665207,12,1,indicator < open
AAPL,-0.3021390431311708,0.4329502032708805,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.2442513349040902,12,1,indicator < open
AAPL,-0.272058828216882,0.3737373825833537,1987-07-01,0.36,0.4,0.33,0.37,3070256000,0.2620588218419225,12,1,indicator < open
AAPL,-0.24685092718063464,0.3277583895264771,1987-08-01,0.37,0.48,0.36,0.48,3119300800,0.2786651569431652,12,1,indicator < open
AAPL,-0.3649424291405311,0.5746603865325602,1987-09-01,0.49,0.52,0.43,0.5,3075486400,0.31117820972113974,12,1,indicator < open
AAPL,-0.3298702402816686,0.4922483078804312,1987-10-01,0.51,0.53,0.25,0.34,6575699200,0.341766177456349,12,1,indicator < open
AAPL,-0.019905944611024226,0.020310239105698926,1987-11-01,0.35,0.36,0.27,0.29,4234238400,0.3430329193861415,12,1,indicator < open
AAPL,0.12137490083270679,-0.10823757580321855,1987-12-01,0.3,0.39,0.27,0.38,4702264000,0.336412470249812,12,0,indicator < open
AAPL,-0.0970572524801756,0.10748992972895514,1988-01-01,0.38,0.41,0.34,0.37,6221600000,0.3431182440575333,12,1,indicator < open
AAPL,-0.06147594914077636,0.0655027956763546,1988-02-01,0.37,0.39,0.34,0.38,3368467200,0.34725389881791274,12,1,indicator < open
AAPL,-0.09274302031616567,0.10222354017985648,1988-03-01,0.39,0.43,0.35,0.36,4882102400,0.3538302220766954,12,1,indicator < open
AAPL,0.009259877548054891,-0.009174918922320868,1988-04-01,0.35,0.38,0.34,0.37,3297929600,0.3532409571418192,12,0,indicator < open
AAPL,-0.015886639196578834,0.016143098782450353,1988-05-01,0.36,0.39,0.33,0.37,2638507200,0.3542808098892316,12,1,indicator < open
AAPL,-0.035948251812568006,0.03728871596380209,1988-06-01,0.37,0.42,0.37,0.41,3534731200,0.35669914682934983,12,1,indicator < open
AAPL,-0.12752919136944177,0.14617015275228895,1988-07-01,0.42,0.42,0.38,0.4,2186419200,0.36643773962483445,12,1,indicator < open
AAPL,-0.07099708925515799,0.0764228921502894,1988-08-01,0.4,0.41,0.35,0.36,2653313600,0.3716011642979368,12,1,indicator < open
