symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_24_months,moving_average_window_months,condition,screening_rule
AAPL,,,1985-01-01,0.13,0.14,0.12,0.13,6366416000,,24,0,indicator <= close
AAPL,,,1985-02-01,0.13,0.14,0.11,0.11,4733388800,,24,0,indicator <= close
AAPL,,,1985-03-01,0.11,0.12,0.09,0.1,4615587200,,24,0,indicator <= close
AAPL,,,1985-04-01,0.1,0.1,0.09,0.09,2868028800,,24,0,indicator <= close
AAPL,,,1985-05-01,0.09,0.1,0.08,0.08,4639129600,,24,0,indicator <= close
AAPL,,,1985-06-01,0.08,0.08,0.07,0.08,5811388800,,24,0,indicator <= close
AAPL,,,1985-07-01,0.08,0.08,0.07,0.07,2600595200,,24,0,indicator <= close
AAPL,,,1985-08-01,0.07,0.07,0.06,0.07,1818745600,,24,0,indicator <= close
AAPL,,,1985-09-01,0.07,0.08,0.07,0.07,1797196800,,24,0,indicator <= close
AAPL,,,1985-10-01,0.07,0.09,0.07,0.08,3785913600,,24,0,indicator <= close
AAPL,,,1985-11-01,0.08,0.09,0.08,0.09,2884672000,,24,0,indicator <= close
AAPL,,,1985-12-01,0.09,0.1,0.09,0.1,3571209600,,24,0,indicator <= close
AAPL,,,1986-01-01,0.1,0.11,0.1,0.1,6291801600,,24,0,indicator <= close
AAPL,,,1986-02-01,0.1,0.12,0.1,0.11,3420860800,,24,0,indicator <= close
AAPL,,,1986-03-01,0.11,0.13,0.11,0.13,4264332800,,24,0,indicator <= close
AAPL,,,1986-04-01,0.13,0.15,0.12,0.14,4462684800,,24,0,indicator <= close
AAPL,,,1986-05-01,0.14,0.17,0.13,0.17,4954051200,,24,0,indicator <= close
AAPL,,,1986-06-01,0.17,0.17,0.15,0.16,4063360000,,24,0,indicator <= close
AAPL,,,1986-07-01,0.16,0.17,0.13,0.14,5691638400,,24,0,indicator <= close
AAPL,,,1986-08-01,0.14,0.17,0.14,0.17,3643516800,,24,0,indicator <= close
AAPL,,,1986-09-01,0.17,0.17,0.14,0.15,3578198400,,24,0,indicator <= close
AAPL,,,1986-10-01,0.15,0.16,0.14,0.15,2984038400,,24,0,indicator <= close
AAPL,,,1986-11-01,0.16,0.18,0.15,0.18,5206163200,,24,0,indicator <= close
AAPL,-0.2770370370370369,0.3831967213114752,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.13013333333333335,24,1,indicator <= close
AAPL,-0.24907407407407395,0.3316892725030824,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.13516666666666668,24,1,indicator <= close
AAPL,-0.41746666666666665,0.7166399633783475,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.14563333333333334,24,1,indicator <= close
AAPL,-0.4822580645161289,0.9314641744548283,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.16050000000000003,24,1,indicator <= close
AAPL,-0.3846428571428573,0.6250725478816022,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.17229999999999998,24,1,indicator <= close
AAPL,-0.4597142857142857,0.8508725542041248,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.1891,24,1,indicator <= close
AAPL,-0.4141904761904762,0.7070395057714193,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.20503333333333332,24,1,indicator <= close
AAPL,-0.3864814814814816,0.6299426501660129,1987-07-01,0.36,0.4,0.33,0.37,3070256000,0.22086666666666663,24,1,indicator <= close
AAPL,-0.3606306306306306,0.5640411441454135,1987-08-01,0.37,0.48,0.36,0.48,3119300800,0.23656666666666668,24,1,indicator <= close
AAPL,-0.46761904761904766,0.8783542039355995,1987-09-01,0.49,0.52,0.43,0.5,3075486400,0.26086666666666664,24,1,indicator <= close
AAPL,-0.4404575163398693,0.7871743955145428,1987-10-01,0.51,0.53,0.25,0.34,6575699200,0.28536666666666666,24,1,indicator <= close
AAPL,-0.15542857142857128,0.18403247631935027,1987-11-01,0.35,0.36,0.27,0.29,4234238400,0.29560000000000003,24,0,indicator <= close
AAPL,0.0031111111111111387,-0.003101462117855588,1987-12-01,0.3,0.39,0.27,0.38,4702264000,0.30093333333333333,24,1,indicator <= close
AAPL,-0.17903508771929824,0.2180788545784806,1988-01-01,0.38,0.41,0.34,0.37,6221600000,0.31196666666666667,24,1,indicator <= close
AAPL,-0.13171171171171175,0.15169122224527917,1988-02-01,0.37,0.39,0.34,0.38,3368467200,0.32126666666666664,24,1,indicator <= close
AAPL,-0.15059829059829066,0.177299255383377,1988-03-01,0.39,0.43,0.35,0.36,4882102400,0.33126666666666665,24,1,indicator <= close
AAPL,-0.03676190476190468,0.038164919912991806,1988-04-01,0.35,0.38,0.34,0.37,3297929600,0.33713333333333334,24,1,indicator <= close
AAPL,-0.0470370370370371,0.04935872522347461,1988-05-01,0.36,0.39,0.33,0.37,2638507200,0.34306666666666663,24,1,indicator <= close
AAPL,-0.05657657657657665,0.059969442322383576,1988-06-01,0.37,0.42,0.37,0.41,3534731200,0.34906666666666664,24,1,indicator <= close
AAPL,-0.14666666666666664,0.17187499999999997,1988-07-01,0.42,0.42,0.38,0.4,2186419200,0.3584,24,1,indicator <= close
AAPL,-0.08683333333333335,0.09509034495345867,1988-08-01,0.4,0.41,0.35,0.36,2653313600,0.3652666666666667,24,0,indicator <= close
AAPL,0.04933333333333345,-0.04701397712833556,1988-09-01,0.35,0.4,0.34,0.39,3060321600,0.3672666666666667,24,1,indicator <= close
AAPL,-0.0235087719298246,0.024074739489759293,1988-10-01,0.38,0.39,0.33,0.34,3563649600,0.37106666666666666,24,0,indicator <= close
AAPL,0.09088235294117641,-0.08331086546238874,1988-11-01,0.34,0.35,0.32,0.34,2939865600,0.3709,24,0,indicator <= close
AAPL,0.08862745098039203,-0.08141210374639758,1988-12-01,0.34,0.38,0.33,0.36,2946070400,0.3701333333333333,24,0,indicator <= close
AAPL,0.028981481481481684,-0.028165211913974815,1989-01-01,0.36,0.39,0.32,0.34,7345833600,0.3704333333333334,24,0,indicator <= close
AAPL,0.08392156862745087,-0.07742402315484796,1989-02-01,0.34,0.36,0.31,0.32,4886268800,0.3685333333333333,24,0,indicator <= close
AAPL,0.1397916666666667,-0.12264668250776826,1989-03-01,0.32,0.33,0.3,0.32,3859676800,0.36473333333333335,24,0,indicator <= close
AAPL,0.12781250000000013,-0.11332779163203115,1989-04-01,0.32,0.37,0.3,0.35,3966424000,0.36090000000000005,24,0,indicator <= close
AAPL,0.0545098039215685,-0.05169207883971725,1989-05-01,0.34,0.44,0.34,0.43,5253382400,0.3585333333333333,24,1,indicator <= close
AAPL,-0.15488372093023242,0.1832691249312051,1989-06-01,0.43,0.45,0.35,0.37,3941280000,0.36340000000000006,24,1,indicator <= close
AAPL,-0.018378378378378305,0.018722466960352346,1989-07-01,0.37,0.38,0.34,0.35,3688630400,0.3632,24,0,indicator <= close
AAPL,0.03247619047619071,-0.03145466285398048,1989-08-01,0.35,0.41,0.35,0.4,3352305600,0.3613666666666667,24,1,indicator <= close
AAPL,-0.09099999999999997,0.10011001100110006,1989-09-01,0.4,0.42,0.38,0.4,2020849600,0.36360000000000003,24,1,indicator <= close
AAPL,-0.08466666666666664,0.09249817916970135,1989-10-01,0.4,0.45,0.38,0.42,4125049600,0.36613333333333337,24,1,indicator <= close
AAPL,-0.09796747967479666,0.10860748084722838,1989-11-01,0.41,0.42,0.38,0.4,2524939200,0.36983333333333335,24,1,indicator <= close
