symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_12_months,moving_average_window_months,condition,screening_rule
GOOG,,,2004-08-01,2.49,2.83,2.39,2.55,2684837851,,12,0,indicator > close
GOOG,,,2004-09-01,2.56,3.36,2.46,3.23,4270113667,,12,0,indicator > close
GOOG,,,2004-10-01,3.26,4.98,3.21,4.75,10321258145,,12,0,indicator > close
GOOG,,,2004-11-01,4.82,5.02,4.02,4.53,11145383635,,12,0,indicator > close
GOOG,,,2004-12-01,4.53,4.98,4.2,4.8,5835483147,,12,0,indicator > close
GOOG,,,2005-01-01,4.92,5.11,4.39,4.87,8237356337,,12,0,indicator > close
GOOG,,,2005-02-01,4.84,5.4,4.51,4.68,13073210618,,12,0,indicator > close
GOOG,,,2005-03-01,4.71,4.73,4.3,4.5,6903740285,,12,0,indicator > close
GOOG,,,2005-04-01,4.53,5.6,4.48,5.48,9101631755,,12,0,indicator > close
GOOG,,,2005-05-01,5.53,6.93,5.48,6.91,10188799510,,12,0,indicator > close
GOOG,,,2005-06-01,7.05,7.7,6.66,7.33,15618390955,,12,0,indicator > close
GOOG,-0.35839002267573694,0.5585792542852094,2005-07-01,7.35,7.92,7.15,7.17,8228691980,4.715833333333333,12,0,indicator > close
GOOG,-0.28876508820798513,0.40600522193211486,2005-08-01,7.18,7.47,6.81,7.12,5740311751,5.1066666666666665,12,0,indicator > close
GOOG,-0.22940074906367033,0.2976913730255163,2005-09-01,7.12,7.99,7.1,7.88,6831639042,5.486666666666667,12,0,indicator > close
GOOG,-0.24893299189073828,0.33143912487569244,2005-10-01,7.81,9.33,7.24,9.27,7747430832,5.865833333333334,12,0,indicator > close
GOOG,-0.3265838732901366,0.4849659227582517,2005-11-01,9.26,10.74,9.19,10.08,8498379059,6.235833333333335,12,0,indicator > close
GOOG,-0.3417566241413149,0.5191949310473349,2005-12-01,10.19,11.11,9.94,10.33,7981071306,6.7075000000000005,12,0,indicator > close
GOOG,-0.3180449936628643,0.4663724009757229,2006-01-01,10.52,11.83,9.83,10.78,12006439028,7.174166666666667,12,0,indicator > close
GOOG,-0.217922256621947,0.2786452606113921,2006-02-01,9.69,10.12,8.41,9.03,11945607870,7.578333333333333,12,0,indicator > close
GOOG,-0.13389615105301383,0.15459595430248407,2006-03-01,9.18,9.94,8.26,9.71,12316553076,7.950833333333333,12,0,indicator > close
GOOG,-0.13591065292096222,0.15728773115927622,2006-04-01,9.7,11.23,9.66,10.41,7440364169,8.381666666666666,12,0,indicator > close
GOOG,-0.1565099168266155,0.18555039347681807,2006-05-01,10.42,10.45,8.98,9.26,7063970623,8.789166666666667,12,0,indicator > close
GOOG,-0.034767025089605816,0.036019309320460546,2006-06-01,9.3,10.44,9.26,10.44,5716571099,8.976666666666667,12,0,indicator > close
GOOG,-0.11703314212874445,0.13254533970946497,2006-07-01,10.46,10.66,9.41,9.63,5119995337,9.235833333333334,12,0,indicator > close
GOOG,-0.015988877302745823,0.01624867537972438,2006-08-01,9.59,9.71,9.05,9.43,4294918292,9.436666666666667,12,1,indicator > close
GOOG,0.015191429574991254,-0.014964103451258575,2006-09-01,9.49,10.43,9.38,10.01,4880280180,9.634166666666667,12,0,indicator > close
GOOG,-0.01923076923076913,0.019607843137254798,2006-10-01,10.01,12.25,9.92,11.87,6364325977,9.8175,12,0,indicator > close
GOOG,-0.1577880313199105,0.1873495476052129,2006-11-01,11.92,12.78,11.58,12.07,4755369734,10.039166666666667,12,0,indicator > close
GOOG,-0.15716253443526176,0.18646837718581474,2006-12-01,12.1,12.26,11.27,11.47,3680311197,10.198333333333332,12,0,indicator > close
GOOG,-0.1137668676428366,0.12837126427472256,2007-01-01,11.61,12.78,11.48,12.49,5002163322,10.289166666666667,12,0,indicator > close
GOOG,-0.16415343915343916,0.19639183415097328,2007-02-01,12.6,12.6,11.03,11.19,4573643120,10.531666666666666,12,0,indicator > close
GOOG,-0.03120278029616195,0.032207751696170905,2007-03-01,11.03,11.61,10.88,11.41,4742365168,10.685833333333333,12,0,indicator > close
