symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
GOOG,,,2004-08-01,2.49,2.83,2.39,2.55,2684837851,,24,0,indicator >= open
GOOG,,,2004-09-01,2.56,3.36,2.46,3.23,4270113667,,24,0,indicator >= open
GOOG,,,2004-10-01,3.26,4.98,3.21,4.75,10321258145,,24,0,indicator >= open
GOOG,,,2004-11-01,4.82,5.02,4.02,4.53,11145383635,,24,0,indicator >= open
GOOG,,,2004-12-01,4.53,4.98,4.2,4.8,5835483147,,24,0,indicator >= open
GOOG,,,2005-01-01,4.92,5.11,4.39,4.87,8237356337,,24,0,indicator >= open
GOOG,,,2005-02-01,4.84,5.4,4.51,4.68,13073210618,,24,0,indicator >= open
GOOG,,,2005-03-01,4.71,4.73,4.3,4.5,6903740285,,24,0,indicator >= open
GOOG,,,2005-04-01,4.53,5.6,4.48,5.48,9101631755,,24,0,indicator >= open
GOOG,,,2005-05-01,5.53,6.93,5.48,6.91,10188799510,,24,0,indicator >= open
GOOG,,,2005-06-01,7.05,7.7,6.66,7.33,15618390955,,24,0,indicator >= open
GOOG,,,2005-07-01,7.35,7.92,7.15,7.17,8228691980,,24,0,indicator >= open
GOOG,,,2005-08-01,7.18,7.47,6.81,7.12,5740311751,,24,0,indicator >= open
GOOG,,,2005-09-01,7.12,7.99,7.1,7.88,6831639042,,24,0,indicator >= open
GOOG,,,2005-10-01,7.81,9.33,7.24,9.27,7747430832,,24,0,indicator >= open
GOOG,,,2005-11-01,9.26,10.74,9.19,10.08,8498379059,,24,0,indicator >= open
GOOG,,,2005-12-01,10.19,11.11,9.94,10.33,7981071306,,24,0,indicator >= open
GOOG,,,2006-01-01,10.52,11.83,9.83,10.78,12006439028,,24,0,indicator >= open
GOOG,,,2006-02-01,9.69,10.12,8.41,9.03,11945607870,,24,0,indicator >= open
GOOG,,,2006-03-01,9.18,9.94,8.26,9.71,12316553076,,24,0,indicator >= open
GOOG,,,2006-04-01,9.7,11.23,9.66,10.41,7440364169,,24,0,indicator >= open
GOOG,,,2006-05-01,10.42,10.45,8.98,9.26,7063970623,,24,0,indicator >= open
GOOG,,,2006-06-01,9.3,10.44,9.26,10.44,5716571099,,24,0,indicator >= open
GOOG,-0.33309432759719576,0.4994624298172263,2006-07-01,10.46,10.66,9.41,9.63,5119995337,6.975833333333333,24,0,indicator >= open
GOOG,-0.24174487313173454,0.3188173275269312,2006-08-01,9.59,9.71,9.05,9.43,4294918292,7.271666666666666,24,0,indicator >= open
GOOG,-0.2033280646294346,0.255221824193993,2006-09-01,9.49,10.43,9.38,10.01,4880280180,7.560416666666666,24,0,indicator >= open
GOOG,-0.21661671661671666,0.2765143464399576,2006-10-01,10.01,12.25,9.92,11.87,6364325977,7.841666666666666,24,0,indicator >= open
GOOG,-0.31732382550335564,0.46482334869431624,2006-11-01,11.92,12.78,11.58,12.07,4755369734,8.137500000000001,24,0,indicator >= open
GOOG,-0.3014118457300275,0.4314585695272834,2006-12-01,12.1,12.26,11.27,11.47,3680311197,8.452916666666667,24,0,indicator >= open
GOOG,-0.24791846109675572,0.3296430616529873,2007-01-01,11.61,12.78,11.48,12.49,5002163322,8.731666666666666,24,0,indicator >= open
GOOG,-0.28134920634920624,0.3914964108227496,2007-02-01,12.6,12.6,11.03,11.19,4573643120,9.055000000000001,24,0,indicator >= open
GOOG,-0.15518283469326075,0.183688070112681,2007-03-01,11.03,11.61,10.88,11.41,4742365168,9.318333333333333,24,0,indicator >= open
GOOG,-0.15749269005847966,0.18693332176478258,2007-04-01,11.4,12.27,11.26,11.74,3732277253,9.604583333333332,24,0,indicator >= open
GOOG,-0.16121031746031736,0.19219396806623287,2007-05-01,11.76,12.67,11.39,12.4,3998198267,9.864166666666668,24,0,indicator >= open
GOOG,-0.1914730235042736,0.23681711194615362,2007-06-01,12.48,13.32,12.39,13.02,5181284205,10.090416666666666,24,0,indicator >= open
GOOG,-0.21087980646804172,0.26723407688273965,2007-07-01,13.09,13.91,12.43,12.7,4682718433,10.329583333333334,24,0,indicator >= open
GOOG,-0.1691581431943352,0.20359848484848486,2007-08-01,12.71,13.12,11.97,12.83,3561326880,10.56,24,0,indicator >= open
GOOG,-0.15838529488178757,0.1881921666988232,2007-09-01,12.83,14.24,12.72,14.13,2786959199,10.797916666666666,24,0,indicator >= open
GOOG,-0.22083333333333327,0.28342245989304804,2007-10-01,14.2,17.61,14.19,17.61,6241346740,11.064166666666667,24,0,indicator >= open
GOOG,-0.3481428571428571,0.5340784571553802,2007-11-01,17.5,18.61,15.34,17.26,6884717244,11.4075,24,0,indicator >= open
GOOG,-0.32016269610691456,0.4709401709401709,2007-12-01,17.21,18.05,16.25,17.22,3425355126,11.700000000000001,24,0,indicator >= open
GOOG,-0.30586133642332963,0.44063434652570116,2008-01-01,17.26,17.37,12.93,14.05,6335233336,11.980833333333331,24,0,indicator >= open
GOOG,-0.07928372563907876,0.08611092021166936,2008-02-01,13.17,13.48,11.13,11.74,7113985391,12.125833333333333,24,0,indicator >= open
GOOG,0.04195059625212945,-0.040261598201512344,2008-03-01,11.74,11.77,10.26,10.97,5846452106,12.2325,24,1,indicator >= open
GOOG,0.10250373692077709,-0.09297359590550099,2008-04-01,11.15,14.57,10.98,14.3,5743234666,12.292916666666665,24,1,indicator >= open
GOOG,-0.13480902777777778,0.15581418681649445,2008-05-01,14.4,15.01,13.4,14.59,4200999578,12.45875,24,0,indicator >= open
GOOG,-0.1264070755800596,0.14469791598185505,2008-06-01,14.51,14.65,12.83,13.11,3765445109,12.675833333333335,24,0,indicator >= open
GOOG,-0.012429160226687228,0.012585588522986583,2008-07-01,12.94,13.84,11.6,11.8,4179045594,12.779166666666667,24,0,indicator >= open
GOOG,0.09345794392523361,-0.08547008547008544,2008-08-01,11.77,12.72,11.5,11.54,2762893330,12.87,24,1,indicator >= open
GOOG,0.09260039314799218,-0.08475229711495216,2008-09-01,11.87,12.01,9.48,9.98,5383242366,12.969166666666666,24,1,indicator >= open
GOOG,0.26745605468749994,-0.21101801020899544,2008-10-01,10.24,10.39,7.71,8.95,8001704352,12.97875,24,1,indicator >= open
GOOG,0.44257388701833145,-0.30679460580912865,2008-11-01,8.91,9.27,6.16,7.3,6345013858,12.853333333333333,24,1,indicator >= open
GOOG,0.7712418300653597,-0.43542435424354253,2008-12-01,7.14,8.21,6.54,7.66,4537239177,12.646666666666668,24,1,indicator >= open
GOOG,0.623320329432163,-0.38397863818424566,2009-01-01,7.69,8.78,7.04,8.43,4411742543,12.483333333333334,24,1,indicator >= open
GOOG,0.47724089635854333,-0.32306233704669346,2009-02-01,8.33,9.49,8.21,8.42,4480141965,12.305416666666666,24,1,indicator >= open
GOOG,0.4688755020080322,-0.31920710868079294,2009-03-01,8.3,8.95,7.21,8.67,4576100295,12.191666666666668,24,1,indicator >= open
GOOG,0.4104361370716509,-0.2909994478188845,2009-04-01,8.56,10.06,8.48,9.86,3526484770,12.073333333333332,24,1,indicator >= open
GOOG,0.21883468834688338,-0.1795441912173429,2009-05-01,9.84,10.39,9.58,10.39,2289963292,11.993333333333332,24,1,indicator >= open
GOOG,0.14169862575902833,-0.12411211029077286,2009-06-01,10.43,11.14,10.01,10.5,2829004207,11.907916666666665,24,1,indicator >= open
GOOG,0.11664301482182272,-0.10445864369682631,2009-07-01,10.57,11.28,9.86,11.03,2931635455,11.802916666666667,24,1,indicator >= open
GOOG,0.05001490757304722,-0.04763256903528086,2009-08-01,11.18,11.81,10.92,11.5,1956851371,11.739166666666668,24,1,indicator >= open
GOOG,0.020232896652110532,-0.019831645027821282,2009-09-01,11.45,12.63,11.27,12.35,2050842356,11.681666666666665,24,1,indicator >= open
GOOG,-0.055238870792616676,0.058468610831777,2009-10-01,12.28,13.99,12.02,13.35,3098550758,11.601666666666667,24,0,indicator >= open
GOOG,-0.1457399103139014,0.1706036745406825,2009-11-01,13.38,14.62,13.16,14.52,1642381057,11.43,24,0,indicator >= open
GOOG,-0.22707622298065994,0.29378863703267605,2009-12-01,14.65,15.59,14.43,15.44,1711202055,11.323333333333332,24,0,indicator >= open
GOOG,-0.27944942381562093,0.3878276321634827,2010-01-01,15.62,15.68,13.09,13.2,3577378821,11.255,24,0,indicator >= open
