symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_3_months,moving_average_window_months,condition,screening_rule
GOOG,0.0,0.0,2004-08-01,2.49,2.83,2.39,2.55,2684837851,2.49,3,1,indicator >= low
GOOG,-0.013671874999999882,0.01386138613861374,2004-09-01,2.56,3.36,2.46,3.23,4270113667,2.5250000000000004,3,1,indicator >= low
GOOG,-0.11273006134969317,0.12705272255834044,2004-10-01,3.26,4.98,3.21,4.75,10321258145,2.8925,3,0,indicator >= low
GOOG,-0.199948132780083,0.24991896272285252,2004-11-01,4.82,5.02,4.02,4.53,11145383635,3.85625,3,0,indicator >= low
GOOG,-0.07436534216335541,0.08033984200327918,2004-12-01,4.53,4.98,4.2,4.8,5835483147,4.193125,3,0,indicator >= low
GOOG,-0.07386941056910566,0.0797613332418901,2005-01-01,4.92,5.11,4.39,4.87,8237356337,4.5565625,3,1,indicator >= low
GOOG,-0.02928073347107436,0.03016395623399512,2005-02-01,4.84,5.4,4.51,4.68,13073210618,4.69828125,3,1,indicator >= low
GOOG,-0.001244028662420382,0.0012455781973992328,2005-03-01,4.71,4.73,4.3,4.5,6903740285,4.704140625,3,1,indicator >= low
GOOG,0.019220819536423808,-0.018858346658544602,2005-04-01,4.53,5.6,4.48,5.48,9101631755,4.6170703125,3,1,indicator >= low
GOOG,-0.08254337138336348,0.08996978037841896,2005-05-01,5.53,6.93,5.48,6.91,10188799510,5.07353515625,3,0,indicator >= low
GOOG,-0.14017481161347514,0.16302710540094242,2005-06-01,7.05,7.7,6.66,7.33,15618390955,6.061767578125,3,0,indicator >= low
GOOG,-0.08763485863095236,0.09605239685007261,2005-07-01,7.35,7.92,7.15,7.17,8228691980,6.7058837890625,3,0,indicator >= low
GOOG,-0.03301644922963085,0.03414375477569143,2005-08-01,7.18,7.47,6.81,7.12,5740311751,6.94294189453125,3,1,indicator >= low
GOOG,-0.012433855721120138,0.012590402975184344,2005-09-01,7.12,7.99,7.1,7.88,6831639042,7.031470947265625,3,0,indicator >= low
GOOG,-0.049841808753801266,0.052456326970596615,2005-10-01,7.81,9.33,7.24,9.27,7747430832,7.420735473632812,3,1,indicator >= low
GOOG,-0.09931233943667322,0.1102627956228014,2005-11-01,9.26,10.74,9.19,10.08,8498379059,8.340367736816406,3,0,indicator >= low
GOOG,-0.09075722586769351,0.09981627399162281,2005-12-01,10.19,11.11,9.94,10.33,7981071306,9.265183868408203,3,0,indicator >= low
GOOG,-0.05963954998059863,0.06342201012321197,2006-01-01,10.52,11.83,9.83,10.78,12006439028,9.892591934204102,3,1,indicator >= low
GOOG,0.010453660175650374,-0.010345511711871262,2006-02-01,9.69,10.12,8.41,9.03,11945607870,9.791295967102052,3,1,indicator >= low
GOOG,0.033294987314926576,-0.032222151199480235,2006-03-01,9.18,9.94,8.26,9.71,12316553076,9.485647983551026,3,1,indicator >= low
GOOG,-0.011049073012833692,0.011172518990901433,2006-04-01,9.7,11.23,9.66,10.41,7440364169,9.592823991775512,3,0,indicator >= low
GOOG,-0.039691747035723965,0.0413322981586419,2006-05-01,10.42,10.45,8.98,9.26,7063970623,10.006411995887756,3,1,indicator >= low
GOOG,0.03797913956385782,-0.03658950176957896,2006-06-01,9.3,10.44,9.26,10.44,5716571099,9.653205997943878,3,1,indicator >= low
GOOG,-0.03856567887457564,0.0401126504714663,2006-07-01,10.46,10.66,9.41,9.63,5119995337,10.05660299897194,3,1,indicator >= low
GOOG,0.0243275807597466,-0.023749805449642163,2006-08-01,9.59,9.71,9.05,9.43,4294918292,9.82330149948597,3,1,indicator >= low
GOOG,0.01756066909831241,-0.01725761385203045,2006-09-01,9.49,10.43,9.38,10.01,4880280180,9.656650749742985,3,1,indicator >= low
GOOG,-0.01764981270015059,0.01796692557128125,2006-10-01,10.01,12.25,9.92,11.87,6364325977,9.833325374871492,3,0,indicator >= low
GOOG,-0.08752829803391383,0.09592439726658723,2006-11-01,11.92,12.78,11.58,12.07,4755369734,10.876662687435747,3,0,indicator >= low
GOOG,-0.05055112861835747,0.0532426022528156,2006-12-01,12.1,12.26,11.27,11.47,3680311197,11.488331343717874,3,1,indicator >= low
GOOG,-0.005239821545311163,0.005267421896050332,2007-01-01,11.61,12.78,11.48,12.49,5002163322,11.549165671858937,3,1,indicator >= low
GOOG,-0.04169977492623258,0.04351431194020918,2007-02-01,12.6,12.6,11.03,11.19,4573643120,12.07458283592947,3,1,indicator >= low
GOOG,0.04735189646099146,-0.04521106671119211,2007-03-01,11.03,11.61,10.88,11.41,4742365168,11.552291417964735,3,1,indicator >= low
GOOG,0.006679448156348094,-0.0066351291551456255,2007-04-01,11.4,12.27,11.26,11.74,3732277253,11.476145708982369,3,1,indicator >= low
GOOG,-0.01206863482217812,0.012216066062449425,2007-05-01,11.76,12.67,11.39,12.4,3998198267,11.618072854491185,3,1,indicator >= low
GOOG,-0.03453233756044933,0.03576747197642308,2007-06-01,12.48,13.32,12.39,13.02,5181284205,12.049036427245593,3,0,indicator >= low
GOOG,-0.039761786583438014,0.041408252689678064,2007-07-01,13.09,13.91,12.43,12.7,4682718433,12.569518213622796,3,1,indicator >= low
GOOG,-0.00552642747353283,0.00555713859694924,2007-08-01,12.71,13.12,11.97,12.83,3561326880,12.639759106811399,3,1,indicator >= low
GOOG,-0.007413908542034353,0.007469285138928747,2007-09-01,12.83,14.24,12.72,14.13,2786959199,12.7348795534057,3,1,indicator >= low
GOOG,-0.051588748119517545,0.05439491361709265,2007-10-01,14.2,17.61,14.19,17.61,6241346740,13.46743977670285,3,0,indicator >= low
GOOG,-0.11521600637991856,0.13021936112170596,2007-11-01,17.5,18.61,15.34,17.26,6884717244,15.483719888351425,3,1,indicator >= low
GOOG,-0.05015340243023177,0.05280158139067071,2007-12-01,17.21,18.05,16.25,17.22,3425355126,16.346859944175712,3,1,indicator >= low
GOOG,-0.02645249292654383,0.02717123995937461,2008-01-01,17.26,17.37,12.93,14.05,6335233336,16.803429972087855,3,1,indicator >= low
GOOG,0.13794343098283435,-0.12122169452983574,2008-02-01,13.17,13.48,11.13,11.74,7113985391,14.986714986043928,3,1,indicator >= low
GOOG,0.13827576601549957,-0.12147826576290012,2008-03-01,11.74,11.77,10.26,10.97,5846452106,13.363357493021965,3,1,indicator >= low
GOOG,0.09925369923865304,-0.09029189468036042,2008-04-01,11.15,14.57,10.98,14.3,5743234666,12.256678746510982,3,1,indicator >= low
GOOG,-0.07442087685725753,0.08040466233136977,2008-05-01,14.4,15.01,13.4,14.59,4200999578,13.328339373255492,3,0,indicator >= low
GOOG,-0.04071883620759842,0.04244723835358284,2008-06-01,14.51,14.65,12.83,13.11,3765445109,13.919169686627747,3,1,indicator >= low
GOOG,0.037834995619310106,-0.0364556945747746,2008-07-01,12.94,13.84,11.6,11.8,4179045594,13.429584843313872,3,1,indicator >= low
GOOG,0.0705006305570889,-0.06585762637094417,2008-08-01,11.77,12.72,11.5,11.54,2762893330,12.599792421656936,3,1,indicator >= low
GOOG,0.03074104556263416,-0.029824217920665065,2008-09-01,11.87,12.01,9.48,9.98,5383242366,12.234896210828467,3,1,indicator >= low
GOOG,0.0974070415443588,-0.088761086686012,2008-10-01,10.24,10.39,7.71,8.95,8001704352,11.237448105414234,3,1,indicator >= low
GOOG,0.13060876012425557,-0.11552073956149204,2008-11-01,8.91,9.27,6.16,7.3,6345013858,10.073724052707117,3,1,indicator >= low
GOOG,0.20544286083383184,-0.17042936460026184,2008-12-01,7.14,8.21,6.54,7.66,4537239177,8.606862026353559,3,1,indicator >= low
GOOG,0.059613915887747566,-0.05626003489941226,2009-01-01,7.69,8.78,7.04,8.43,4411742543,8.14843101317678,3,1,indicator >= low
GOOG,-0.01089849860883668,0.011018584638187313,2009-02-01,8.33,9.49,8.21,8.42,4480141965,8.23921550658839,3,1,indicator >= low
GOOG,-0.0036617164705789267,0.0036751739154373252,2009-03-01,8.3,8.95,7.21,8.67,4576100295,8.269607753294196,3,1,indicator >= low
GOOG,-0.016962163943095975,0.01725484342610197,2009-04-01,8.56,10.06,8.48,9.86,3526484770,8.414803876647099,3,0,indicator >= low
GOOG,-0.07241850220289131,0.07807238757443555,2009-05-01,9.84,10.39,9.58,10.39,2289963292,9.12740193832355,3,0,indicator >= low
GOOG,-0.06244477764508383,0.06660383959916234,2009-06-01,10.43,11.14,10.01,10.5,2829004207,9.778700969161775,3,0,indicator >= low
GOOG,-0.03743136380502483,0.038886955586866674,2009-07-01,10.57,11.28,9.86,11.03,2931635455,10.174350484580888,3,1,indicator >= low
GOOG,-0.04497538083269731,0.047093425583009454,2009-08-01,11.18,11.81,10.92,11.5,1956851371,10.677175242290444,3,0,indicator >= low
GOOG,-0.03374780601351779,0.03492649871694875,2009-09-01,11.45,12.63,11.27,12.35,2050842356,11.06358762114522,3,0,indicator >= low
GOOG,-0.04952819132144872,0.0521090587529452,2009-10-01,12.28,13.99,12.02,13.35,3098550758,11.67179381057261,3,0,indicator >= low
GOOG,-0.06383431201148691,0.06818698103392802,2009-11-01,13.38,14.62,13.16,14.52,1642381057,12.525896905286306,3,0,indicator >= low
GOOG,-0.07249498616770282,0.07816128763354663,2009-12-01,14.65,15.59,14.43,15.44,1711202055,13.587948452643154,3,0,indicator >= low
GOOG,-0.06504646438402199,0.06957186844709588,2010-01-01,15.62,15.68,13.09,13.2,3577378821,14.603974226321576,3,1,indicator >= low
GOOG,0.04819723071777685,-0.04598107045634218,2010-02-01,13.32,13.64,12.95,13.12,2089173495,13.961987113160788,3,1,indicator >= low
GOOG,0.02966567197119834,-0.02881097503659241,2010-03-01,13.18,14.65,13.14,14.13,3363548325,13.570993556580394,3,1,indicator >= low
GOOG,-0.023155532094856168,0.023704420566063623,2010-04-01,14.23,14.89,12.98,13.09,2933394020,13.900496778290197,3,1,indicator >= low
GOOG,0.030148618546536908,-0.029266280615970117,2010-05-01,13.11,13.27,11.46,12.1,3274676457,13.505248389145098,3,1,indicator >= low
GOOG,0.06412900539453213,-0.06026431482408087,2010-06-01,11.97,12.68,11.08,11.08,2403503278,12.73762419457255,3,1,indicator >= low
GOOG,0.07428422879046666,-0.0691476490110099,2010-07-01,11.09,12.39,10.8,12.08,2782791635,11.913812097286275,3,1,indicator >= low
GOOG,-0.010927253805982128,0.011047977864146529,2010-08-01,12.18,12.67,11.15,11.21,2122132569,12.046906048643137,3,1,indicator >= low
GOOG,0.03163751317930872,-0.030667276805210367,2010-09-01,11.33,13.37,11.27,13.1,2396990959,11.688453024321568,3,1,indicator >= low
GOOG,-0.05725556726054665,0.06073286170905492,2010-10-01,13.2,15.56,12.92,15.29,3185812619,12.444226512160784,3,0,indicator >= low
GOOG,-0.09438635879528079,0.10422364957943937,2010-11-01,15.34,15.71,13.78,13.84,2346438185,13.892113256080393,3,1,indicator >= low
GOOG,-0.004560868185435342,0.004581765011710392,2010-12-01,14.02,15.12,14.01,14.79,1697747812,13.956056628040196,3,0,indicator >= low
GOOG,-0.03041532207132588,0.031369433494248485,2011-01-01,14.86,16.01,14.83,14.95,2408369449,14.408028314020097,3,0,indicator >= low
GOOG,-0.021645806307433776,0.0221247135720212,2011-02-01,15.06,15.72,14.98,15.28,1681037411,14.734014157010048,3,0,indicator >= low
GOOG,-0.021312080668939335,0.02177617629479505,2011-03-01,15.39,15.42,13.73,14.61,2414576630,15.062007078505024,3,1,indicator >= low
GOOG,0.013711019048602396,-0.01352556970473754,2011-04-01,14.66,14.82,12.93,13.55,2820199328,14.861003539252511,3,1,indicator >= low
GOOG,0.04676245545447062,-0.04467341679174753,2011-05-01,13.59,13.59,12.79,13.18,1819912003,14.225501769626256,3,1,indicator >= low
GOOG,0.04089360340784234,-0.03928701576602871,2011-06-01,13.15,13.28,11.78,12.61,2373868616,13.687750884813127,3,1,indicator >= low
GOOG,0.04230391778181958,-0.040586931565841866,2011-07-01,12.62,15.63,12.61,15.04,3254372638,13.153875442406562,3,1,indicator >= low
GOOG,-0.06787531398138753,0.07281784829806794,2011-08-01,15.22,15.33,12.23,13.47,4287032849,14.186937721203282,3,1,indicator >= low
GOOG,0.026612387572504954,-0.02592252723097542,2011-09-01,13.47,13.91,12.71,12.83,2353978341,13.828468860601642,3,1,indicator >= low
GOOG,0.044427907897702484,-0.0425380321243331,2011-10-01,12.7,15.01,11.97,14.76,3100196907,13.26423443030082,3,1,indicator >= low
GOOG,-0.04102995050862209,0.042785434780141164,2011-11-01,14.45,15.4,13.98,14.93,2421060842,13.85711721515041,3,0,indicator >= low
GOOG,-0.03624105705654589,0.03760386071838737,2011-12-01,14.94,16.11,14.92,16.09,2210153263,14.398558607575204,3,0,indicator >= low
GOOG,-0.057239895216014684,0.0607152285353972,2012-01-01,16.26,16.69,14.06,14.45,2956745222,15.329279303787603,3,1,indicator >= low
GOOG,0.026056256135470166,-0.02539456874772952,2012-02-01,14.57,15.58,14.42,15.4,1901685367,14.9496396518938,3,1,indicator >= low
GOOG,-0.01775355961632901,0.018074445359551897,2012-03-01,15.5,16.4,14.79,15.97,1900304210,15.2248198259469,3,1,indicator >= low
GOOG,-0.023031960340009358,0.023574937362357377,2012-04-01,15.96,16.27,14.7,15.06,2363935524,15.592409912973451,3,1,indicator >= low
GOOG,0.01836469125576637,-0.018033511386888808,2012-05-01,15.04,15.89,14.42,14.47,2355728878,15.316204956486725,3,1,indicator >= low
GOOG,0.037788095382258545,-0.03641214960009701,2012-06-01,14.24,14.64,13.86,14.45,1867144380,14.778102478243362,3,1,indicator >= low
GOOG,0.009941424370026344,-0.009843565309965902,2012-07-01,14.49,16.01,14.0,15.77,2059153390,14.634051239121682,3,1,indicator >= low
GOOG,-0.03893978452672713,0.040517528350241076,2012-08-01,15.87,17.16,15.53,17.06,1889588194,15.25202561956084,3,0,indicator >= low
GOOG,-0.05272652142050336,0.0556613508271872,2012-09-01,17.05,19.05,16.77,18.79,2416126416,16.15101280978042,3,0,indicator >= low
GOOG,-0.0729504809682596,0.07869102941173299,2012-10-01,18.91,19.29,16.68,16.94,2882716781,17.53050640489021,3,1,indicator >= low
GOOG,0.01804096941164921,-0.017721260689612058,2012-11-01,16.92,17.42,15.84,17.39,1874166603,17.225253202445106,3,1,indicator >= low
GOOG,-0.0075685190839020035,0.007626238414883435,2012-12-01,17.49,18.16,16.99,17.62,1674071398,17.357626601222552,3,1,indicator >= low
GOOG,-0.015691222064103037,0.015941361507521703,2013-01-01,17.92,18.95,17.32,18.82,2104065102,17.638813300611275,3,1,indicator >= low
GOOG,-0.03287041047109977,0.03398759672642352,2013-02-01,18.88,20.15,18.88,19.96,1860563808,18.259406650305635,3,0,indicator >= low
GOOG,-0.04052826748098545,0.04224018916595052,2013-03-01,19.87,21.02,19.76,19.78,1708335347,19.06470332515282,3,0,indicator >= low
GOOG,-0.01856809784967637,0.018919395027809417,2013-04-01,19.8,20.61,18.96,20.54,2150117073,19.43235166257641,3,1,indicator >= low
GOOG,-0.026040203351794914,0.026736425303600753,2013-05-01,20.5,22.93,20.33,21.7,1984101129,19.966175831288204,3,0,indicator >= low
GOOG,-0.04079632402741009,0.04253145087881823,2013-06-01,21.74,22.69,21.1,21.93,1950507679,20.853087915644103,3,0,indicator >= low
GOOG,-0.02778333524356647,0.028577308177006967,2013-07-01,22.08,23.11,21.81,22.11,2057503228,21.46654395782205,3,0,indicator >= low
GOOG,-0.018471423108522924,0.01881903751291922,2013-08-01,22.29,22.66,21.06,21.09,1344504713,21.878271978911023,3,1,indicator >= low
GOOG,0.014057142361631155,-0.013862278341527744,2013-09-01,21.28,22.57,21.27,21.82,1329906200,21.579135989455512,3,1,indicator >= low
GOOG,-0.007775182722274021,0.007836109908645562,2013-10-01,21.92,25.94,21.0,25.67,2217259798,21.749567994727755,3,1,indicator >= low
GOOG,-0.07685665379907083,0.08325538402607129,2013-11-01,25.7,26.6,25.03,26.39,1054200647,23.72478399736388,3,0,indicator >= low
GOOG,-0.05219358253371303,0.055067766552202656,2013-12-01,26.49,27.92,26.13,27.91,1358802104,25.10739199868194,3,0,indicator >= low
GOOG,-0.048103095776063004,0.050533934465603204,2014-01-01,27.78,29.55,26.96,29.41,2188640930,26.44369599934097,3,0,indicator >= low
GOOG,-0.04981790944261202,0.05242985522215879,2014-02-01,29.37,30.61,28.1,30.28,1627931099,27.906847999670486,3,0,indicator >= low
GOOG,-0.03581423819576701,0.0371445416583933,2014-03-01,30.06,30.56,27.57,27.77,1431962004,28.983423999835242,3,1,indicator >= low
GOOG,0.02016195261728714,-0.019763482225111838,2014-04-01,27.86,30.16,25.07,26.26,1347112369,28.42171199991762,3,1,indicator >= low
GOOG,0.04074794520391206,-0.03915255888007387,2014-05-01,26.28,28.31,25.1,27.92,732559737,27.35085599995881,3,1,indicator >= low
GOOG,-0.010893133047946901,0.011013100213846706,2014-06-01,27.96,29.04,26.86,28.69,760049001,27.655427999979405,3,1,indicator >= low
GOOG,-0.02053696255236814,0.02096757280998077,2014-07-01,28.84,29.9,28.17,28.5,692217279,28.247713999989703,3,1,indicator >= low
GOOG,-0.0033805555557366138,0.0033920224761635922,2014-08-01,28.44,29.29,27.92,28.5,553182606,28.343856999994852,3,1,indicator >= low
GOOG,-0.002913767099353728,0.0029222819483498653,2014-09-01,28.51,29.74,28.33,28.79,670345396,28.426928499997427,3,1,indicator >= low
GOOG,-0.005102219707565608,0.005128385858963211,2014-10-01,28.72,28.97,25.34,27.88,1043268450,28.573464249998715,3,1,indicator >= low
GOOG,0.015766502707557976,-0.015521778544116053,2014-11-01,27.7,27.82,26.43,27.02,570413781,28.136732124999355,3,1,indicator >= low
GOOG,0.023571494696675802,-0.023028674419719904,2014-12-01,26.87,27.0,24.38,26.25,917297545,27.50336606249968,3,1,indicator >= low
