symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_3_months,moving_average_window_months,condition,screening_rule
GOOG,,,2004-08-01,2.49,2.83,2.39,2.55,2684837851,,3,0,indicator >= open
GOOG,,,2004-09-01,2.56,3.36,2.46,3.23,4270113667,,3,0,indicator >= open
GOOG,-0.11094069529652344,0.12478435882691191,2004-10-01,3.26,4.98,3.21,4.75,10321258145,2.8983333333333334,3,0,indicator >= open
GOOG,-0.186030428769018,0.2285471537807987,2004-11-01,4.82,5.02,4.02,4.53,11145383635,3.9233333333333333,3,0,indicator >= open
GOOG,-0.02538631346578371,0.026047565118912847,2004-12-01,4.53,4.98,4.2,4.8,5835483147,4.415,3,0,indicator >= open
GOOG,-0.029810298102980998,0.030726256983240188,2005-01-01,4.92,5.11,4.39,4.87,8237356337,4.773333333333333,3,0,indicator >= open
GOOG,-0.005165289256198237,0.005192107995846203,2005-02-01,4.84,5.4,4.51,4.68,13073210618,4.815,3,0,indicator >= open
GOOG,0.016631280962491113,-0.016359206404455234,2005-03-01,4.71,4.73,4.3,4.5,6903740285,4.788333333333333,3,1,indicator >= open
GOOG,0.024650478292862328,-0.024057450628366183,2005-04-01,4.53,5.6,4.48,5.48,9101631755,4.641666666666667,3,1,indicator >= open
GOOG,-0.08499095840868004,0.09288537549407128,2005-05-01,5.53,6.93,5.48,6.91,10188799510,5.06,3,0,indicator >= open
GOOG,-0.13144208037825073,0.15133369624387608,2005-06-01,7.05,7.7,6.66,7.33,15618390955,6.123333333333332,3,0,indicator >= open
GOOG,-0.05487528344671214,0.05806142034548958,2005-07-01,7.35,7.92,7.15,7.17,8228691980,6.946666666666665,3,0,indicator >= open
GOOG,0.004874651810584978,-0.004851004851004871,2005-08-01,7.18,7.47,6.81,7.12,5740311751,7.215,3,1,indicator >= open
GOOG,0.00819288389513112,-0.008126306013466483,2005-09-01,7.12,7.99,7.1,7.88,6831639042,7.178333333333334,3,1,indicator >= open
GOOG,-0.04289372599231742,0.04481605351170556,2005-10-01,7.81,9.33,7.24,9.27,7747430832,7.4750000000000005,3,0,indicator >= open
GOOG,-0.09071274298056155,0.09976247030878858,2005-11-01,9.26,10.74,9.19,10.08,8498379059,8.42,3,0,indicator >= open
GOOG,-0.06934903500163563,0.07451669595782077,2005-12-01,10.19,11.11,9.94,10.33,7981071306,9.483333333333333,3,0,indicator >= open
GOOG,-0.030418250950570203,0.0313725490196077,2006-01-01,10.52,11.83,9.83,10.78,12006439028,10.200000000000001,3,0,indicator >= open
GOOG,0.03715170278637765,-0.035820895522388006,2006-02-01,9.69,10.12,8.41,9.03,11945607870,10.049999999999999,3,1,indicator >= open
GOOG,0.04284676833696434,-0.0410863509749303,2006-03-01,9.18,9.94,8.26,9.71,12316553076,9.573333333333332,3,1,indicator >= open
GOOG,-0.018041237113402137,0.018372703412073567,2006-04-01,9.7,11.23,9.66,10.41,7440364169,9.524999999999999,3,0,indicator >= open
