symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_1_months,moving_average_window_months,condition,screening_rule
GOOGL,0.0,0.0,2004-08-01,2.5,2.84,2.4,2.56,2672137188,2.5,1,0,indicator < low
GOOGL,0.0,0.0,2004-09-01,2.57,3.38,2.48,3.24,4249913832,2.57,1,0,indicator < low
GOOGL,0.0,0.0,2004-10-01,3.27,5.0,3.23,4.77,10272433284,3.27,1,0,indicator < low
GOOGL,0.0,0.0,2004-11-01,4.84,5.05,4.04,4.55,11092660236,4.84,1,0,indicator < low
GOOGL,0.0,0.0,2004-12-01,4.55,5.0,4.22,4.82,5807878308,4.55,1,0,indicator < low
GOOGL,0.0,0.0,2005-01-01,4.94,5.14,4.41,4.9,8198389404,4.94,1,0,indicator < low
GOOGL,0.0,0.0,2005-02-01,4.86,5.43,4.53,4.7,13011367608,4.86,1,0,indicator < low
GOOGL,0.0,0.0,2005-03-01,4.74,4.75,4.32,4.52,6871082040,4.74,1,0,indicator < low
GOOGL,0.0,0.0,2005-04-01,4.55,5.62,4.5,5.51,9058576356,4.55,1,0,indicator < low
GOOGL,0.0,0.0,2005-05-01,5.56,6.97,5.51,6.94,10140601248,5.56,1,0,indicator < low
GOOGL,0.0,0.0,2005-06-01,7.09,7.74,6.69,7.36,15544507932,7.09,1,0,indicator < low
GOOGL,0.0,0.0,2005-07-01,7.38,7.95,7.18,7.2,8189766036,7.38,1,0,indicator < low
GOOGL,0.0,0.0,2005-08-01,7.21,7.5,6.84,7.16,5713157124,7.21,1,0,indicator < low
GOOGL,0.0,0.0,2005-09-01,7.15,8.03,7.13,7.92,6799321872,7.15,1,0,indicator < low
GOOGL,0.0,0.0,2005-10-01,7.85,9.38,7.27,9.31,7710781500,7.85,1,0,indicator < low
GOOGL,0.0,0.0,2005-11-01,9.31,10.79,9.23,10.13,8458177356,9.31,1,0,indicator < low
GOOGL,0.0,0.0,2005-12-01,10.24,11.17,9.99,10.38,7943316732,10.24,1,0,indicator < low
GOOGL,0.0,0.0,2006-01-01,10.57,11.89,9.88,10.83,11949642396,10.57,1,0,indicator < low
GOOGL,0.0,0.0,2006-02-01,9.74,10.17,8.45,9.07,11889099000,9.74,1,0,indicator < low
GOOGL,0.0,0.0,2006-03-01,9.22,9.98,8.3,9.76,12258289440,9.22,1,0,indicator < low
GOOGL,0.0,0.0,2006-04-01,9.75,11.28,9.71,10.46,7405167420,9.75,1,0,indicator < low
GOOGL,0.0,0.0,2006-05-01,10.47,10.5,9.02,9.3,7030554408,10.47,1,0,indicator < low
GOOGL,0.0,0.0,2006-06-01,9.35,10.49,9.3,10.49,5689528776,9.35,1,0,indicator < low
GOOGL,0.0,0.0,2006-07-01,10.51,10.71,9.45,9.67,5095775124,10.51,1,0,indicator < low
GOOGL,0.0,0.0,2006-08-01,9.64,9.76,9.09,9.47,4274601120,9.64,1,0,indicator < low
GOOGL,0.0,0.0,2006-09-01,9.53,10.48,9.43,10.06,4857193944,9.53,1,0,indicator < low
GOOGL,0.0,0.0,2006-10-01,10.06,12.31,9.96,11.92,6334219440,10.06,1,0,indicator < low
GOOGL,0.0,0.0,2006-11-01,11.98,12.84,11.64,12.13,4732874388,11.98,1,0,indicator < low
GOOGL,0.0,0.0,2006-12-01,12.16,12.32,11.32,11.52,3662901432,12.16,1,0,indicator < low
GOOGL,0.0,0.0,2007-01-01,11.66,12.84,11.54,12.55,4978500516,11.66,1,0,indicator < low
GOOGL,0.0,0.0,2007-02-01,12.66,12.66,11.09,11.25,4552007436,12.66,1,0,indicator < low
GOOGL,0.0,0.0,2007-03-01,11.08,11.66,10.94,11.47,4719931344,11.08,1,0,indicator < low
GOOGL,0.0,0.0,2007-04-01,11.46,12.32,11.31,11.8,3714621660,11.46,1,0,indicator < low
GOOGL,0.0,0.0,2007-05-01,11.82,12.73,11.45,12.46,3979284732,11.82,1,0,indicator < low
GOOGL,0.0,0.0,2007-06-01,12.54,13.39,12.45,13.08,5156774064,12.54,1,0,indicator < low
GOOGL,0.0,0.0,2007-07-01,13.15,13.98,12.48,12.76,4660566768,13.15,1,0,indicator < low
GOOGL,0.0,0.0,2007-08-01,12.78,13.18,12.02,12.89,3544479972,12.78,1,0,indicator < low
GOOGL,0.0,0.0,2007-09-01,12.89,14.31,12.78,14.2,2773775448,12.89,1,0,indicator < low
GOOGL,0.0,0.0,2007-10-01,14.26,17.69,14.25,17.69,6211821960,14.26,1,0,indicator < low
GOOGL,0.0,0.0,2007-11-01,17.59,18.7,15.42,17.34,6852148992,17.59,1,0,indicator < low
GOOGL,0.0,0.0,2007-12-01,17.29,18.14,16.33,17.3,3409151436,17.29,1,0,indicator < low
GOOGL,0.0,0.0,2008-01-01,17.34,17.45,12.99,14.12,6305264424,17.34,1,0,indicator < low
GOOGL,0.0,0.0,2008-02-01,13.23,13.54,11.18,11.79,7080332580,13.23,1,0,indicator < low
GOOGL,0.0,0.0,2008-03-01,11.8,11.83,10.31,11.02,5818795380,11.8,1,0,indicator < low
GOOGL,0.0,0.0,2008-04-01,11.2,14.64,11.04,14.37,5716066212,11.2,1,0,indicator < low
GOOGL,0.0,0.0,2008-05-01,14.47,15.08,13.46,14.66,4181126688,14.47,1,0,indicator < low
GOOGL,0.0,0.0,2008-06-01,14.58,14.72,12.89,13.17,3747632616,14.58,1,0,indicator < low
GOOGL,0.0,0.0,2008-07-01,13.0,13.91,11.65,11.86,4159276560,13.0,1,0,indicator < low
