symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_12_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,12,0,indicator <= low
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,12,0,indicator <= low
MSFT,,,1986-05-01,0.11,0.12,0.11,0.12,333446400,,12,0,indicator <= low
MSFT,,,1986-06-01,0.12,0.12,0.1,0.11,293788800,,12,0,indicator <= low
MSFT,,,1986-07-01,0.11,0.11,0.09,0.1,460800000,,12,0,indicator <= low
MSFT,,,1986-08-01,0.1,0.11,0.09,0.1,266256000,,12,0,indicator <= low
MSFT,,,1986-09-01,0.1,0.11,0.09,0.1,285120000,,12,0,indicator <= low
MSFT,,,1986-10-01,0.1,0.14,0.1,0.13,1565712000,,12,0,indicator <= low
MSFT,,,1986-11-01,0.14,0.18,0.14,0.17,1053964800,,12,0,indicator <= low
MSFT,,,1986-12-01,0.17,0.17,0.16,0.17,721526400,,12,0,indicator <= low
MSFT,,,1987-01-01,0.17,0.27,0.16,0.25,1961596800,,12,0,indicator <= low
MSFT,-0.48,0.923076923076923,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.13,12,1,indicator <= low
MSFT,-0.462962962962963,0.8620689655172417,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.145,12,1,indicator <= low
MSFT,-0.5147058823529412,1.0606060606060606,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.165,12,1,indicator <= low
MSFT,-0.4837962962962963,0.9372197309417041,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.18583333333333332,12,1,indicator <= low
MSFT,-0.4770833333333334,0.912350597609562,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.20916666666666664,12,1,indicator <= low
MSFT,-0.34523809523809523,0.5272727272727272,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.22916666666666666,12,1,indicator <= low
MSFT,-0.24747474747474754,0.3288590604026847,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.24833333333333332,12,1,indicator <= low
MSFT,-0.33130081300813,0.49544072948328255,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.27416666666666667,12,1,indicator <= low
MSFT,-0.33876811594202894,0.5123287671232876,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.3041666666666667,12,0,indicator <= low
MSFT,-0.05637254901960784,0.05974025974025973,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.32083333333333336,12,0,indicator <= low
MSFT,0.07258064516129038,-0.06766917293233088,1987-12-01,0.31,0.39,0.28,0.38,1780200000,0.3325,12,0,indicator <= low
MSFT,-0.07894736842105256,0.08571428571428562,1988-01-01,0.38,0.43,0.36,0.39,1966795200,0.35000000000000003,12,1,indicator <= low
MSFT,-0.07264957264957275,0.07834101382488493,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.36166666666666664,12,0,indicator <= low
MSFT,-0.08943089430894313,0.09821428571428577,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.3733333333333333,12,1,indicator <= low
MSFT,-0.032051282051282076,0.033112582781456984,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.3775,12,0,indicator <= low
MSFT,-0.0021929824561404015,0.0021978021978022485,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.37916666666666665,12,0,indicator <= low
MSFT,-0.052083333333333426,0.05494505494505505,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.37916666666666665,12,1,indicator <= low
MSFT,-0.17198581560283685,0.20770877944325478,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.38916666666666666,12,1,indicator <= low
MSFT,-0.03455284552845527,0.03578947368421051,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.3958333333333333,12,0,indicator <= low
MSFT,0.14705882352941188,-0.1282051282051283,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.39000000000000007,12,0,indicator <= low
MSFT,0.06018518518518519,-0.056768558951965066,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.38166666666666665,12,0,indicator <= low
MSFT,0.12254901960784302,-0.1091703056768558,1988-11-01,0.34,0.35,0.31,0.33,1558929600,0.38166666666666665,12,0,indicator <= low
MSFT,0.16161616161616146,-0.1391304347826086,1988-12-01,0.33,0.38,0.33,0.37,1030464000,0.3833333333333333,12,0,indicator <= low
MSFT,0.03378378378378381,-0.03267973856209153,1989-01-01,0.37,0.42,0.35,0.41,1375084800,0.3825,12,0,indicator <= low
MSFT,-0.06300813008130092,0.06724511930585696,1989-02-01,0.41,0.45,0.41,0.41,1802145600,0.3841666666666666,12,1,indicator <= low
MSFT,-0.08333333333333327,0.09090909090909084,1989-03-01,0.42,0.43,0.32,0.35,3058704000,0.385,12,0,indicator <= low
MSFT,0.09047619047619052,-0.08296943231441051,1989-04-01,0.35,0.39,0.33,0.39,1134820800,0.38166666666666665,12,0,indicator <= low
MSFT,0.004385964912280657,-0.004366812227074191,1989-05-01,0.38,0.42,0.35,0.42,1258977600,0.38166666666666665,12,0,indicator <= low
