symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_3_months,moving_average_window_months,condition,screening_rule
MSFT,0.0,0.0,1986-03-01,0.09,0.1,0.09,0.1,1857052800,0.09,3,1,indicator <= high
MSFT,-0.050000000000000044,0.05263157894736847,1986-04-01,0.1,0.12,0.09,0.11,547142400,0.095,3,1,indicator <= high
MSFT,-0.06818181818181812,0.073170731707317,1986-05-01,0.11,0.12,0.11,0.12,333446400,0.10250000000000001,3,1,indicator <= high
MSFT,-0.07291666666666662,0.07865168539325837,1986-06-01,0.12,0.12,0.1,0.11,293788800,0.11125,3,1,indicator <= high
MSFT,0.005681818181818187,-0.005649717514124299,1986-07-01,0.11,0.11,0.09,0.1,460800000,0.110625,3,0,indicator <= high
MSFT,0.05312499999999998,-0.050445103857566745,1986-08-01,0.1,0.11,0.09,0.1,266256000,0.1053125,3,1,indicator <= high
MSFT,0.02656249999999999,-0.02587519025875189,1986-09-01,0.1,0.11,0.09,0.1,285120000,0.10265625,3,1,indicator <= high
MSFT,0.013281249999999994,-0.013107170393215106,1986-10-01,0.1,0.14,0.1,0.13,1565712000,0.101328125,3,1,indicator <= high
MSFT,-0.13811383928571436,0.16024603431531248,1986-11-01,0.14,0.18,0.14,0.17,1053964800,0.1206640625,3,1,indicator <= high
MSFT,-0.14510569852941185,0.1697352506383552,1986-12-01,0.17,0.17,0.16,0.17,721526400,0.14533203125,3,1,indicator <= high
MSFT,-0.07255284926470601,0.07822855373180566,1987-01-01,0.17,0.27,0.16,0.25,1961596800,0.157666015625,3,1,indicator <= high
MSFT,-0.18466796875000002,0.22649419092106843,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.2038330078125,3,1,indicator <= high
MSFT,-0.12253146701388887,0.13964200698673754,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.23691650390625002,3,1,indicator <= high
MSFT,-0.15159337660845587,0.17868009563911047,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.288458251953125,3,1,indicator <= high
MSFT,-0.09936353895399301,0.110325912009593,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.3242291259765625,3,1,indicator <= high
MSFT,-0.0947135925292969,0.10462279312678403,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.36211456298828126,3,1,indicator <= high
MSFT,0.017306518554687553,-0.017012098358787035,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.3560572814941406,3,1,indicator <= high
MSFT,0.03948072953657659,-0.03798120389800585,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.3430286407470703,3,1,indicator <= high
MSFT,-0.08167238933284102,0.0889360053908284,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.37651432037353516,3,1,indicator <= high
MSFT,-0.09074530394180956,0.09980185346879095,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.4182571601867676,3,1,indicator <= high
MSFT,0.11508405909818754,-0.1032066221009926,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.3791285800933838,3,0,indicator <= high
MSFT,0.11149770982803829,-0.10031303604331158,1987-12-01,0.31,0.39,0.28,0.38,1780200000,0.34456429004669187,3,1,indicator <= high
MSFT,-0.04662593414908965,0.04890623294590548,1988-01-01,0.38,0.43,0.36,0.39,1966795200,0.36228214502334594,3,1,indicator <= high
MSFT,-0.03553571150853094,0.03684502571278486,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.37614107251167295,3,1,indicator <= high
MSFT,-0.04129137498576474,0.04306978565583639,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.39307053625583643,3,1,indicator <= high
MSFT,0.003936584943380026,-0.003921149007237386,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.3915352681279182,3,1,indicator <= high
MSFT,0.015177984378839689,-0.014951057462230815,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.3857676340639591,3,1,indicator <= high
MSFT,-0.01779045742005117,0.01811269046859528,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.39288381703197955,3,1,indicator <= high
MSFT,-0.08203849251917072,0.08937029695755953,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.43144190851598974,3,1,indicator <= high
MSFT,0.026148668921938668,-0.025482339658843188,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.42072095425799483,3,0,indicator <= high
MSFT,0.11870728567352185,-0.10611112235856557,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.38036047712899745,3,0,indicator <= high
MSFT,0.028278440456940928,-0.027500761801807987,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.3701802385644987,3,1,indicator <= high
