symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_6_months,moving_average_window_months,condition,screening_rule
NVDA,,,1999-01-01,0.04,0.05,0.04,0.04,4284288000,,6,0,indicator > low
NVDA,,,1999-02-01,0.04,0.05,0.04,0.05,3146592000,,6,0,indicator > low
NVDA,,,1999-03-01,0.05,0.05,0.04,0.04,2014512000,,6,0,indicator > low
NVDA,,,1999-04-01,0.04,0.05,0.03,0.04,1767024000,,6,0,indicator > low
NVDA,,,1999-05-01,0.04,0.04,0.03,0.04,2482512000,,6,0,indicator > low
NVDA,0.04166666666666659,-0.039999999999999925,1999-06-01,0.04,0.04,0.03,0.04,2366160000,0.041666666666666664,6,1,indicator > low
NVDA,0.04166666666666659,-0.039999999999999925,1999-07-01,0.04,0.05,0.04,0.04,3764064000,0.041666666666666664,6,1,indicator > low
NVDA,0.04166666666666659,-0.039999999999999925,1999-08-01,0.04,0.06,0.04,0.06,7894800000,0.041666666666666664,6,1,indicator > low
NVDA,-0.27777777777777773,0.3846153846153845,1999-09-01,0.06,0.06,0.03,0.04,6992640000,0.043333333333333335,6,1,indicator > low
NVDA,0.08333333333333334,-0.07692307692307694,1999-10-01,0.04,0.05,0.04,0.05,7953504000,0.043333333333333335,6,1,indicator > low
NVDA,-0.09999999999999995,0.11111111111111105,1999-11-01,0.05,0.09,0.05,0.07,13917936000,0.045000000000000005,6,0,indicator > low
NVDA,-0.28571428571428564,0.39999999999999986,1999-12-01,0.07,0.1,0.07,0.1,4917552000,0.05000000000000001,6,0,indicator > low
NVDA,-0.4000000000000001,0.6666666666666669,2000-01-01,0.1,0.1,0.07,0.08,4941456000,0.06,6,0,indicator > low
NVDA,-0.16666666666666669,0.20000000000000004,2000-02-01,0.08,0.14,0.07,0.13,9160848000,0.06666666666666667,6,0,indicator > low
NVDA,-0.3974358974358974,0.6595744680851063,2000-03-01,0.13,0.31,0.12,0.18,17552160000,0.07833333333333334,6,0,indicator > low
NVDA,-0.41176470588235287,0.6999999999999998,2000-04-01,0.17,0.23,0.12,0.19,6481728000,0.10000000000000002,6,0,indicator > low
NVDA,-0.3508771929824561,0.5405405405405406,2000-05-01,0.19,0.25,0.16,0.24,8695584000,0.12333333333333334,6,0,indicator > low
NVDA,-0.3680555555555555,0.5824175824175823,2000-06-01,0.24,0.37,0.24,0.26,13271304000,0.15166666666666667,6,0,indicator > low
NVDA,-0.3333333333333333,0.49999999999999994,2000-07-01,0.27,0.32,0.21,0.25,7280352000,0.18000000000000002,6,0,indicator > low
NVDA,-0.16666666666666663,0.19999999999999996,2000-08-01,0.25,0.34,0.22,0.33,6079248000,0.20833333333333334,6,0,indicator > low
NVDA,-0.284313725490196,0.3972602739726026,2000-09-01,0.34,0.36,0.26,0.34,5868576000,0.24333333333333337,6,0,indicator > low
NVDA,-0.21904761904761905,0.28048780487804875,2000-10-01,0.35,0.36,0.22,0.26,8841576000,0.2733333333333333,6,1,indicator > low
NVDA,0.1333333333333333,-0.11764705882352938,2000-11-01,0.25,0.33,0.15,0.17,8675472000,0.2833333333333333,6,1,indicator > low
NVDA,0.5185185185185188,-0.3414634146341465,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.2733333333333334,6,1,indicator > low
NVDA,0.7976190476190473,-0.4437086092715231,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.25166666666666665,6,1,indicator > low
NVDA,0.12121212121212123,-0.10810810810810813,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.24666666666666667,6,1,indicator > low
NVDA,0.22222222222222213,-0.18181818181818174,2001-03-01,0.18,0.3,0.17,0.27,28940472000,0.21999999999999997,6,1,indicator > low
NVDA,-0.23456790123456786,0.3064516129032257,2001-04-01,0.27,0.37,0.22,0.35,31102920000,0.2066666666666667,6,0,indicator > low
NVDA,-0.3619047619047618,0.5671641791044774,2001-05-01,0.35,0.42,0.31,0.36,28041600000,0.22333333333333336,6,0,indicator > low
NVDA,-0.2962962962962962,0.4210526315789472,2001-06-01,0.36,0.41,0.35,0.39,20156760000,0.25333333333333335,6,0,indicator > low
NVDA,-0.21171171171171166,0.26857142857142846,2001-07-01,0.37,0.38,0.28,0.34,21604512000,0.2916666666666667,6,1,indicator > low
NVDA,-0.08333333333333329,0.09090909090909086,2001-08-01,0.34,0.38,0.33,0.35,29863464000,0.3116666666666667,6,0,indicator > low
NVDA,-0.02857142857142844,0.029411764705882214,2001-09-01,0.35,0.35,0.21,0.23,21169188000,0.34,6,1,indicator > low
NVDA,0.4492753623188404,-0.30999999999999994,2001-10-01,0.23,0.42,0.19,0.36,26377200000,0.3333333333333333,6,1,indicator > low
NVDA,-0.0694444444444445,0.07462686567164187,2001-11-01,0.36,0.47,0.36,0.46,28734600000,0.33499999999999996,6,0,indicator > low
NVDA,-0.22222222222222215,0.28571428571428564,2001-12-01,0.45,0.59,0.44,0.56,17648640000,0.35000000000000003,6,0,indicator > low
NVDA,-0.31845238095238104,0.46724890829694343,2002-01-01,0.56,0.61,0.5,0.55,23589180000,0.38166666666666665,6,0,indicator > low
NVDA,-0.24242424242424246,0.32000000000000006,2002-02-01,0.55,0.55,0.41,0.43,30995268000,0.4166666666666667,6,1,indicator > low
NVDA,0.0,0.0,2002-03-01,0.43,0.5,0.35,0.37,27269724000,0.43,6,1,indicator > low
NVDA,0.28571428571428564,-0.22222222222222218,2002-04-01,0.35,0.37,0.25,0.29,32098620000,0.44999999999999996,6,1,indicator > low
NVDA,0.5114942528735632,-0.33840304182509506,2002-05-01,0.29,0.34,0.26,0.28,27800688000,0.4383333333333333,6,1,indicator > low
NVDA,0.5123456790123454,-0.3387755102040815,2002-06-01,0.27,0.28,0.14,0.14,28839096000,0.40833333333333327,6,1,indicator > low
NVDA,1.4166666666666667,-0.5862068965517242,2002-07-01,0.14,0.19,0.09,0.09,32480220000,0.3383333333333334,6,1,indicator > low
NVDA,1.9074074074074074,-0.6560509554140127,2002-08-01,0.09,0.11,0.07,0.08,24041412000,0.26166666666666666,6,1,indicator > low
NVDA,1.5416666666666667,-0.6065573770491803,2002-09-01,0.08,0.1,0.07,0.07,17827740000,0.20333333333333334,6,1,indicator > low
NVDA,1.2380952380952377,-0.553191489361702,2002-10-01,0.07,0.1,0.06,0.1,18364572000,0.15666666666666665,6,1,indicator > low
NVDA,0.24999999999999994,-0.19999999999999996,2002-11-01,0.1,0.15,0.09,0.14,34187196000,0.125,6,1,indicator > low
NVDA,-0.3,0.42857142857142855,2002-12-01,0.15,0.15,0.09,0.1,21906672000,0.105,6,1,indicator > low
NVDA,-0.016666666666666774,0.016949152542372992,2003-01-01,0.1,0.12,0.08,0.09,23529132000,0.09833333333333333,6,1,indicator > low
NVDA,0.09259259259259273,-0.08474576271186453,2003-02-01,0.09,0.11,0.08,0.11,21243756000,0.09833333333333334,6,1,indicator > low
NVDA,-0.060606060606060615,0.06451612903225808,2003-03-01,0.11,0.12,0.1,0.11,18003156000,0.10333333333333333,6,1,indicator > low
NVDA,0.0,0.0,2003-04-01,0.11,0.12,0.11,0.12,12578136000,0.11,6,0,indicator > low
NVDA,-0.055555555555555455,0.058823529411764594,2003-05-01,0.12,0.22,0.12,0.22,37281804000,0.11333333333333334,6,0,indicator > low
NVDA,-0.4318181818181818,0.76,2003-06-01,0.22,0.23,0.18,0.19,23196180000,0.125,6,0,indicator > low
NVDA,-0.26315789473684204,0.35714285714285704,2003-07-01,0.19,0.21,0.15,0.16,19904292000,0.14,6,0,indicator > low
NVDA,-0.052083333333333495,0.054945054945055125,2003-08-01,0.16,0.18,0.13,0.15,21743736000,0.15166666666666664,6,1,indicator > low
NVDA,0.055555555555555546,-0.05263157894736841,2003-09-01,0.15,0.18,0.13,0.13,23588952000,0.15833333333333333,6,1,indicator > low
NVDA,0.24358974358974345,-0.19587628865979373,2003-10-01,0.13,0.16,0.13,0.15,13788444000,0.16166666666666665,6,1,indicator > low
NVDA,0.11111111111111109,-0.09999999999999998,2003-11-01,0.15,0.18,0.15,0.18,17760924000,0.16666666666666666,6,1,indicator > low
NVDA,-0.11111111111111106,0.12499999999999993,2003-12-01,0.18,0.2,0.16,0.19,12347688000,0.16,6,0,indicator > low
NVDA,-0.19166666666666665,0.23711340206185563,2004-01-01,0.2,0.22,0.18,0.19,12401580000,0.16166666666666668,6,0,indicator > low
NVDA,-0.12280701754385971,0.14000000000000007,2004-02-01,0.19,0.2,0.18,0.19,11862804000,0.16666666666666666,6,0,indicator > low
NVDA,-0.04629629629629629,0.04854368932038834,2004-03-01,0.18,0.22,0.17,0.22,13192248000,0.17166666666666666,6,1,indicator > low
NVDA,-0.1515151515151515,0.17857142857142852,2004-04-01,0.22,0.23,0.17,0.17,12362592000,0.18666666666666668,6,1,indicator > low
NVDA,0.11764705882352919,-0.10526315789473666,2004-05-01,0.17,0.2,0.17,0.2,10290336000,0.18999999999999997,6,1,indicator > low
NVDA,0.00877192982456146,-0.008695652173913099,2004-06-01,0.19,0.2,0.16,0.17,9524892000,0.19166666666666668,6,1,indicator > low
NVDA,0.09803921568627448,-0.08928571428571426,2004-07-01,0.17,0.17,0.12,0.13,11743992000,0.18666666666666668,6,1,indicator > low
NVDA,0.3589743589743589,-0.2641509433962264,2004-08-01,0.13,0.13,0.08,0.1,22610472000,0.17666666666666667,6,1,indicator > low
NVDA,0.6333333333333332,-0.38775510204081626,2004-09-01,0.1,0.13,0.1,0.12,15624108000,0.16333333333333333,6,1,indicator > low
NVDA,0.22222222222222227,-0.18181818181818185,2004-10-01,0.12,0.13,0.11,0.12,16351632000,0.14666666666666667,6,1,indicator > low
NVDA,0.15277777777777785,-0.13253012048192775,2004-11-01,0.12,0.17,0.12,0.16,18380604000,0.13833333333333334,6,1,indicator > low
NVDA,-0.16666666666666669,0.20000000000000004,2004-12-01,0.16,0.21,0.16,0.2,17652936000,0.13333333333333333,6,0,indicator > low
NVDA,-0.30833333333333335,0.44578313253012053,2005-01-01,0.2,0.21,0.17,0.19,13718760000,0.13833333333333334,6,0,indicator > low
NVDA,-0.21929824561403505,0.2808988764044943,2005-02-01,0.19,0.24,0.19,0.24,17263920000,0.14833333333333334,6,0,indicator > low
NVDA,-0.2847222222222222,0.39805825242718446,2005-03-01,0.24,0.25,0.2,0.2,15128592000,0.17166666666666666,6,0,indicator > low
NVDA,-0.07499999999999993,0.08108108108108099,2005-04-01,0.2,0.2,0.17,0.18,9788556000,0.18500000000000003,6,1,indicator > low
NVDA,0.08333333333333326,-0.07692307692307686,2005-05-01,0.18,0.23,0.18,0.23,14199696000,0.19499999999999998,6,1,indicator > low
NVDA,-0.06818181818181825,0.07317073170731714,2005-06-01,0.22,0.24,0.21,0.22,16206264000,0.205,6,0,indicator > low
NVDA,-0.05303030303030299,0.05599999999999996,2005-07-01,0.22,0.24,0.21,0.23,13622904000,0.20833333333333334,6,0,indicator > low
