symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
SPY,0.0,0.0,1993-01-01,43.97,43.97,43.75,43.94,1003200,43.97,12,0,indicator <= low
SPY,0.0,0.0,1993-02-01,43.97,45.12,42.81,44.41,5417600,43.97,12,0,indicator <= low
SPY,-0.011203563043778512,0.011330505071666781,1993-03-01,44.56,45.84,44.22,45.19,3019200,44.06076923076923,12,1,indicator <= low
SPY,-0.022238059433129537,0.022743838260095017,1993-04-01,45.25,45.25,43.28,44.03,2697200,44.24372781065089,12,0,indicator <= low
SPY,0.0029502694090056294,-0.0029415909232908357,1993-05-01,44.09,45.66,43.84,45.22,1808000,44.22007737824306,12,0,indicator <= low
SPY,-0.021627875443818573,0.022105980844077725,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.398527012359516,12,0,indicator <= low
SPY,-0.013530078532537737,0.013715652386451413,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.509522856611895,12,0,indicator <= low
SPY,-0.007545430308941177,0.007602796681454138,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.57113472482545,12,1,indicator <= low
SPY,-0.03352645820184651,0.034689473381205566,1993-09-01,46.41,46.59,44.81,45.94,4369900,44.8540370748523,12,0,indicator <= low
SPY,-0.018921588385461575,0.01928651997787083,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.011877524875025,12,1,indicator <= low
SPY,-0.03198169373232265,0.0330383150042196,1993-11-01,46.78,47.0,45.53,46.34,5351100,45.28389636720195,12,1,indicator <= low
SPY,-0.023721069164361192,0.0242974301863273,1993-12-01,46.59,47.16,46.38,46.59,6128000,45.484835387632415,12,1,indicator <= low
SPY,-0.020071673908305682,0.020482797949477303,1994-01-01,46.59,48.31,46.41,48.22,6837100,45.65486071261204,12,1,indicator <= low
SPY,-0.044014394584186524,0.046040854940532415,1994-02-01,48.16,48.28,46.56,46.81,10974400,46.040266756825574,12,1,indicator <= low
SPY,-0.013913965909517607,0.014110296088262897,1994-03-01,46.81,47.31,43.53,44.59,14705500,46.15868725577548,12,0,indicator <= low
SPY,0.05503098898429279,-0.05216054273180414,1994-04-01,43.34,45.36,43.34,45.09,11429000,45.72504306257925,12,0,indicator <= low
SPY,0.011917146371140974,-0.011776800515612688,1994-05-01,45.09,45.94,44.17,45.81,8545100,45.62734412987475,12,0,indicator <= low
SPY,-0.0013452526028913654,0.0013470647452461712,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.63852195604787,12,0,indicator <= low
SPY,0.017959174340373175,-0.01764233261320183,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.492595501271275,12,0,indicator <= low
SPY,-0.008240597243923408,0.00830906893448449,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.561426962614156,12,1,indicator <= low
SPY,-0.03453328487650897,0.03576848827159399,1994-09-01,47.5,47.72,45.73,46.17,6309300,45.859668968365824,12,0,indicator <= low
SPY,-0.006233169077549085,0.0062722651668331774,1994-10-01,46.2,47.7,45.0,47.48,5437600,45.912027588617235,12,0,indicator <= low
SPY,-0.02448213023104658,0.025096547167142155,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.12248488267612,12,0,indicator <= low
SPY,0.008945145468612676,-0.008865839246848283,1994-12-01,45.64,46.41,44.69,45.56,8568500,46.04825643918748,12,0,indicator <= low
SPY,0.006448107778256698,-0.006406796066705271,1995-01-01,45.7,47.23,45.69,47.09,2768000,45.994678525466334,12,0,indicator <= low
SPY,-0.020908423402933207,0.021354921135776264,1995-02-01,47.16,49.16,47.0,49.02,5954800,46.17395875231767,12,1,indicator <= low
SPY,-0.048312866157467854,0.05076549260721832,1995-03-01,48.97,50.89,48.22,50.11,4538000,46.6041189442688,12,1,indicator <= low
SPY,-0.05888583874110185,0.06257034604848806,1995-04-01,50.09,51.67,50.06,51.59,4395200,47.14040833745821,12,1,indicator <= low
SPY,-0.0723800765320594,0.07802772956995561,1995-05-01,51.55,53.64,51.39,53.64,6986200,47.818807054772336,12,1,indicator <= low
SPY,-0.08857909408711175,0.09718791121912004,1995-06-01,53.41,55.16,52.75,54.41,5790900,48.67899058480736,12,1,indicator <= low
SPY,-0.08995933339046051,0.09885199276381164,1995-07-01,54.47,56.7,54.2,56.16,5508200,49.569915110221615,12,1,indicator <= low
SPY,-0.10022152667965664,0.11138466817262399,1995-08-01,56.23,56.8,55.42,56.41,8100100,50.594543554802904,12,1,indicator <= low
SPY,-0.08696307432737399,0.09524595542870196,1995-09-01,56.39,58.91,56.34,58.48,7431600,51.48615223867938,12,1,indicator <= low
SPY,-0.10119478766511471,0.112588118400242,1995-10-01,58.48,59.19,57.27,58.31,8944800,52.56212881734409,12,1,indicator <= low
SPY,-0.08301644977722267,0.0905321036097694,1995-11-01,58.28,61.2,58.23,60.91,8841700,53.441801306983464,12,1,indicator <= low
SPY,-0.1045994722395512,0.11681864036999456,1995-12-01,60.98,62.8,60.58,61.48,9816800,54.601524182832165,12,1,indicator <= low
SPY,-0.09381237582058317,0.10352422977033417,1996-01-01,61.41,63.69,59.64,63.67,10661800,55.648982000857984,12,1,indicator <= low
SPY,-0.1058991667862602,0.11844208488836562,1996-02-01,63.61,66.69,63.44,63.88,14850400,56.87375400072599,12,1,indicator <= low
SPY,-0.10166211204304805,0.1131668978965737,1996-03-01,64.64,65.97,62.0,64.69,19022700,58.068561077537375,12,1,indicator <= low
SPY,-0.09023174928649569,0.0991810268337344,1996-04-01,65.0,65.81,62.12,65.39,14999300,59.13493629637778,12,1,indicator <= low
SPY,-0.08082417669464238,0.08793113857585867,1996-05-01,65.38,68.44,63.08,66.88,17453200,60.095715327704276,12,1,indicator <= low
SPY,-0.08594722839478475,0.09402873779798117,1996-06-01,66.89,68.5,66.16,67.11,16871800,61.14098989267285,12,1,indicator <= low
