symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_12_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,12,0,indicator > open
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,12,0,indicator > open
SPY,,,1993-03-01,44.56,45.84,44.22,45.19,3019200,,12,0,indicator > open
SPY,,,1993-04-01,45.25,45.25,43.28,44.03,2697200,,12,0,indicator > open
SPY,,,1993-05-01,44.09,45.66,43.84,45.22,1808000,,12,0,indicator > open
SPY,,,1993-06-01,45.38,45.81,44.22,45.06,3438000,,12,0,indicator > open
SPY,,,1993-07-01,45.12,45.22,44.16,44.84,6117600,,12,0,indicator > open
SPY,,,1993-08-01,44.91,46.56,44.84,46.56,5440100,,12,0,indicator > open
SPY,,,1993-09-01,46.41,46.59,44.81,45.94,4369900,,12,0,indicator > open
SPY,,,1993-10-01,45.88,47.16,45.72,46.84,6972900,,12,0,indicator > open
SPY,,,1993-11-01,46.78,47.0,45.53,46.34,5351100,,12,0,indicator > open
SPY,-0.02892251556127932,0.02978394208984923,1993-12-01,46.59,47.16,46.38,46.59,6128000,45.2425,12,0,indicator > open
SPY,-0.024236245260070184,0.024838230711418326,1994-01-01,46.59,48.31,46.41,48.22,6837100,45.46083333333333,12,0,indicator > open
SPY,-0.048795681063122806,0.051298843047369445,1994-02-01,48.16,48.28,46.56,46.81,10974400,45.81,12,0,indicator > open
SPY,-0.017357402264473402,0.017664003478449916,1994-03-01,46.81,47.31,43.53,44.59,14705500,45.9975,12,0,indicator > open
SPY,0.05764497769573915,-0.054503145111442414,1994-04-01,43.34,45.36,43.34,45.09,11429000,45.83833333333334,12,1,indicator > open
SPY,0.018444592296887476,-0.018110550575254743,1994-05-01,45.09,45.94,44.17,45.81,8545100,45.92166666666666,12,1,indicator > open
SPY,0.005433989788475442,-0.005404621132431233,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.94833333333333,12,1,indicator > open
SPY,0.027355113000671217,-0.02662673563844262,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.912499999999994,12,1,indicator > open
SPY,0.0012697721665941909,-0.0012681618899236303,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.998333333333335,12,1,indicator > open
SPY,-0.029701754385964823,0.030610953405536278,1994-09-01,47.5,47.72,45.73,46.17,6309300,46.08916666666667,12,0,indicator > open
SPY,-0.0018217893217893565,0.0018251142955239873,1994-10-01,46.2,47.7,45.0,47.48,5437600,46.115833333333335,12,0,indicator > open
SPY,-0.023741539763113415,0.024318908086443207,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.1575,12,0,indicator > open
SPY,0.009604148407829216,-0.009512786197417272,1994-12-01,45.64,46.41,44.69,45.56,8568500,46.078333333333326,12,1,indicator > open
SPY,0.006655725747629478,-0.006611719952902826,1995-01-01,45.7,47.23,45.69,47.09,2768000,46.00416666666667,12,1,indicator > open
SPY,-0.026275798699462883,0.02698484711006267,1995-02-01,47.16,49.16,47.0,49.02,5954800,45.92083333333333,12,0,indicator > open
SPY,-0.05859029337689738,0.06223676361598666,1995-03-01,48.97,50.89,48.22,50.11,4538000,46.100833333333334,12,0,indicator > open
SPY,-0.06841019498236513,0.073433816701193,1995-04-01,50.09,51.67,50.06,51.59,4395200,46.663333333333334,12,0,indicator > open
SPY,-0.0843517620433237,0.09212245330320265,1995-05-01,51.55,53.64,51.39,53.64,6986200,47.20166666666666,12,0,indicator > open
SPY,-0.10420957373775193,0.11633253792695028,1995-06-01,53.41,55.16,52.75,54.41,5790900,47.844166666666666,12,0,indicator > open
SPY,-0.10667951777736984,0.11941908855816825,1995-07-01,54.47,56.7,54.2,56.16,5508200,48.659166666666664,12,0,indicator > open
SPY,-0.11939059813859727,0.13557724671827648,1995-08-01,56.23,56.8,55.42,56.41,8100100,49.51666666666667,12,0,indicator > open
SPY,-0.1087515516935627,0.12202158881758941,1995-09-01,56.39,58.91,56.34,58.48,7431600,50.2575,12,0,indicator > open
SPY,-0.12310476516187865,0.14038708419324952,1995-10-01,58.48,59.19,57.27,58.31,8944800,51.280833333333334,12,0,indicator > open
