symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,24,0,indicator < open
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,24,0,indicator < open
SPY,,,1993-03-01,44.56,45.84,44.22,45.19,3019200,,24,0,indicator < open
SPY,,,1993-04-01,45.25,45.25,43.28,44.03,2697200,,24,0,indicator < open
SPY,,,1993-05-01,44.09,45.66,43.84,45.22,1808000,,24,0,indicator < open
SPY,,,1993-06-01,45.38,45.81,44.22,45.06,3438000,,24,0,indicator < open
SPY,,,1993-07-01,45.12,45.22,44.16,44.84,6117600,,24,0,indicator < open
SPY,,,1993-08-01,44.91,46.56,44.84,46.56,5440100,,24,0,indicator < open
SPY,,,1993-09-01,46.41,46.59,44.81,45.94,4369900,,24,0,indicator < open
SPY,,,1993-10-01,45.88,47.16,45.72,46.84,6972900,,24,0,indicator < open
SPY,,,1993-11-01,46.78,47.0,45.53,46.34,5351100,,24,0,indicator < open
SPY,,,1993-12-01,46.59,47.16,46.38,46.59,6128000,,24,0,indicator < open
SPY,,,1994-01-01,46.59,48.31,46.41,48.22,6837100,,24,0,indicator < open
SPY,,,1994-02-01,48.16,48.28,46.56,46.81,10974400,,24,0,indicator < open
SPY,,,1994-03-01,46.81,47.31,43.53,44.59,14705500,,24,0,indicator < open
SPY,,,1994-04-01,43.34,45.36,43.34,45.09,11429000,,24,0,indicator < open
SPY,,,1994-05-01,45.09,45.94,44.17,45.81,8545100,,24,0,indicator < open
SPY,,,1994-06-01,45.7,46.56,44.0,44.47,10352700,,24,0,indicator < open
SPY,,,1994-07-01,44.69,46.05,44.38,45.91,5452100,,24,0,indicator < open
SPY,,,1994-08-01,45.94,47.98,45.66,47.66,7945800,,24,0,indicator < open
SPY,,,1994-09-01,47.5,47.72,45.73,46.17,6309300,,24,0,indicator < open
SPY,,,1994-10-01,46.2,47.7,45.0,47.48,5437600,,24,0,indicator < open
SPY,,,1994-11-01,47.28,47.33,44.61,45.59,4807300,,24,0,indicator < open
SPY,0.000447341513292338,-0.0004471414883422872,1994-12-01,45.64,46.41,44.69,45.56,8568500,45.66041666666666,24,0,indicator < open
SPY,0.0007111597374177628,-0.0007106543486577765,1995-01-01,45.7,47.23,45.69,47.09,2768000,45.732499999999995,24,0,indicator < open
SPY,-0.02745087644896795,0.02822569655786393,1995-02-01,47.16,49.16,47.0,49.02,5954800,45.86541666666667,24,1,indicator < open
SPY,-0.05964536110543858,0.06342858176948538,1995-03-01,48.97,50.89,48.22,50.11,4538000,46.04916666666667,24,1,indicator < open
SPY,-0.0766453716643376,0.08300751337813743,1995-04-01,50.09,51.67,50.06,51.59,4395200,46.25083333333333,24,1,indicator < open
SPY,-0.0967668929841577,0.10713390843683995,1995-05-01,51.55,53.64,51.39,53.64,6986200,46.56166666666667,24,1,indicator < open
SPY,-0.12195749859576849,0.13889703334488354,1995-06-01,53.41,55.16,52.75,54.41,5790900,46.89625,24,1,indicator < open
SPY,-0.13189217306162407,0.15193063461572343,1995-07-01,54.47,56.7,54.2,56.16,5508200,47.285833333333336,24,1,indicator < open
SPY,-0.1506757958385203,0.17740669004868337,1995-08-01,56.23,56.8,55.42,56.41,8100100,47.7575,24,1,indicator < open
SPY,-0.14571141455340797,0.17056462773318593,1995-09-01,56.39,58.91,56.34,58.48,7431600,48.173333333333325,24,1,indicator < open
SPY,-0.16726516187870497,0.2008624525137753,1995-10-01,58.48,59.19,57.27,58.31,8944800,48.69833333333333,24,1,indicator < open
SPY,-0.15618565545641727,0.1850948096182197,1995-11-01,58.28,61.2,58.23,60.91,8841700,49.1775,24,1,indicator < open
SPY,-0.18371460588170987,0.2250617335621312,1995-12-01,60.98,62.8,60.58,61.48,9816800,49.77708333333333,24,1,indicator < open
SPY,-0.17937496607501482,0.21858334642446675,1996-01-01,61.41,63.69,59.64,63.67,10661800,50.39458333333334,24,1,indicator < open
SPY,-0.19763663994130912,0.24631812689808327,1996-02-01,63.61,66.69,63.44,63.88,14850400,51.03833333333333,24,1,indicator < open
SPY,-0.19892868193069307,0.24832830416415208,1996-03-01,64.64,65.97,62.0,64.69,19022700,51.78125,24,1,indicator < open
SPY,-0.18948076923076917,0.23377701853038169,1996-04-01,65.0,65.81,62.12,65.39,14999300,52.68375,24,1,indicator < open
SPY,-0.1812608340980932,0.22139020783062197,1996-05-01,65.38,68.44,63.08,66.88,17453200,53.52916666666666,24,1,indicator < open
SPY,-0.1865438281756117,0.22932253099418784,1996-06-01,66.89,68.5,66.16,67.11,16871800,54.412083333333335,24,1,indicator < open
SPY,-0.17726912405866035,0.21546429001565703,1996-07-01,67.28,67.7,60.38,64.09,28811500,55.35333333333333,24,1,indicator < open
SPY,-0.12542861596009963,0.14341724214747145,1996-08-01,64.16,67.34,64.06,65.33,15593100,56.112500000000004,24,1,indicator < open
SPY,-0.11866630474122328,0.1346440121143678,1996-09-01,64.47,69.25,64.38,68.62,17216100,56.819583333333334,24,1,indicator < open
SPY,-0.15928554099951492,0.1894644956967762,1996-10-01,68.7,71.62,68.44,70.84,14791800,57.75708333333333,24,1,indicator < open
SPY,-0.17237836949375418,0.2082816146169506,1996-11-01,70.98,76.69,70.27,76.02,24089700,58.74458333333333,24,1,indicator < open
SPY,-0.20961209167544784,0.2652015415060931,1996-12-01,75.92,76.58,71.88,73.84,34952800,60.00625,24,1,indicator < open
SPY,-0.17718136595859105,0.2153346541124569,1997-01-01,74.38,79.69,72.75,78.41,43623700,61.201249999999995,24,1,indicator < open
