symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_3_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,3,0,indicator < close
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,3,0,indicator < close
SPY,-0.00662028725314171,0.0066644075454646914,1993-03-01,44.56,45.84,44.22,45.19,3019200,44.26500000000001,3,1,indicator < close
SPY,-0.009797421731123272,0.009894360958190625,1993-04-01,45.25,45.25,43.28,44.03,2697200,44.80666666666667,3,0,indicator < close
SPY,0.010546609208437363,-0.010436539108966521,1993-05-01,44.09,45.66,43.84,45.22,1808000,44.55500000000001,3,1,indicator < close
SPY,-0.009952989569560618,0.01005304744593228,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.92833333333334,3,1,indicator < close
SPY,-0.001883865248226812,0.0018874208948594148,1993-07-01,45.12,45.22,44.16,44.84,6117600,45.035000000000004,3,0,indicator < close
SPY,0.0033029021004974514,-0.0032920288514889703,1993-08-01,44.91,46.56,44.84,46.56,5440100,45.05833333333334,3,1,indicator < close
SPY,-0.01540616246498607,0.01564722617354204,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.69499999999999,3,1,indicator < close
SPY,0.0003269398430688877,-0.0003268329883429691,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.895,3,1,indicator < close
SPY,-0.007731224169873273,0.007791461706940614,1993-11-01,46.78,47.0,45.53,46.34,5351100,46.41833333333333,3,0,indicator < close
SPY,-0.0011805108392358814,0.001181906092188669,1993-12-01,46.59,47.16,46.38,46.59,6128000,46.535000000000004,3,1,indicator < close
SPY,0.0006796880589539876,-0.0006792263968827001,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.62166666666667,3,1,indicator < close
SPY,-0.01629983388704312,0.016569920844327103,1994-02-01,48.16,48.28,46.56,46.81,10974400,47.375,3,0,indicator < close
SPY,0.008830022075055202,-0.008752735229759313,1994-03-01,46.81,47.31,43.53,44.59,14705500,47.223333333333336,3,0,indicator < close
SPY,0.04522381172127367,-0.043267108167770435,1994-04-01,43.34,45.36,43.34,45.09,11429000,45.300000000000004,3,0,indicator < close
SPY,-0.0065794337251424695,0.00662300937639546,1994-05-01,45.09,45.94,44.17,45.81,8545100,44.79333333333333,3,1,indicator < close
SPY,-0.013056163384391053,0.01322888182691607,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.10333333333333,3,0,indicator < close
SPY,0.009025136122920921,-0.008944411590774748,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.093333333333334,3,1,indicator < close
SPY,-0.009940502104193961,0.010040307805056884,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.48333333333333,3,1,indicator < close
SPY,-0.02080701754385972,0.02124914895904261,1994-09-01,47.5,47.72,45.73,46.17,6309300,46.51166666666666,3,0,indicator < close
SPY,0.008441558441558453,-0.008370895041854487,1994-10-01,46.2,47.7,45.0,47.48,5437600,46.59,3,1,indicator < close
SPY,-0.006838691483361476,0.006885781216724581,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.95666666666667,3,0,indicator < close
SPY,0.01402278702892201,-0.013828867761452044,1994-12-01,45.64,46.41,44.69,45.56,8568500,46.28,3,0,indicator < close
SPY,0.005324580598103551,-0.0052963795980555525,1995-01-01,45.7,47.23,45.69,47.09,2768000,45.943333333333335,3,1,indicator < close
SPY,-0.01569126378286688,0.01594140456699703,1995-02-01,47.16,49.16,47.0,49.02,5954800,46.419999999999995,3,1,indicator < close
SPY,-0.023449731127901583,0.024012825427804845,1995-03-01,48.97,50.89,48.22,50.11,4538000,47.82166666666666,3,1,indicator < close
SPY,-0.017202369069009217,0.017503470223787218,1995-04-01,50.09,51.67,50.06,51.59,4395200,49.22833333333333,3,1,indicator < close
SPY,-0.017782088587132327,0.01810401579986843,1995-05-01,51.55,53.64,51.39,53.64,6986200,50.633333333333326,3,1,indicator < close
SPY,-0.021968420395681316,0.022461872248101703,1995-06-01,53.41,55.16,52.75,54.41,5790900,52.23666666666666,3,1,indicator < close
SPY,-0.015421332843767274,0.015662875256386415,1995-07-01,54.47,56.7,54.2,56.16,5508200,53.629999999999995,3,1,indicator < close
SPY,-0.018791866737803167,0.01915176413726448,1995-08-01,56.23,56.8,55.42,56.41,8100100,55.173333333333325,3,1,indicator < close
SPY,-0.006620559200803826,0.006664683130020726,1995-09-01,56.39,58.91,56.34,58.48,7431600,56.01666666666667,3,1,indicator < close
SPY,-0.018325353397172804,0.018667440847728242,1995-10-01,58.48,59.19,57.27,58.31,8944800,57.40833333333333,3,1,indicator < close
SPY,-0.004261038663921325,0.004279272810821704,1995-11-01,58.28,61.2,58.23,60.91,8841700,58.031666666666666,3,1,indicator < close
SPY,-0.021591778725265052,0.022068271970501083,1995-12-01,60.98,62.8,60.58,61.48,9816800,59.663333333333334,3,1,indicator < close
SPY,-0.010828855235303567,0.010947403078442539,1996-01-01,61.41,63.69,59.64,63.67,10661800,60.745000000000005,3,1,indicator < close
SPY,-0.018419535712414194,0.018765181645890614,1996-02-01,63.61,66.69,63.44,63.88,14850400,62.43833333333333,3,1,indicator < close
SPY,-0.013639645214521469,0.013828257744085757,1996-03-01,64.64,65.97,62.0,64.69,19022700,63.75833333333333,3,1,indicator < close
SPY,-0.005410256410256518,0.005439686509061957,1996-04-01,65.0,65.81,62.12,65.39,14999300,64.64833333333333,3,1,indicator < close
SPY,-0.0038237993270113188,0.0038384768923691082,1996-05-01,65.38,68.44,63.08,66.88,17453200,65.13,3,1,indicator < close
SPY,-0.012234016046245,0.012385540953005493,1996-06-01,66.89,68.5,66.16,67.11,16871800,66.07166666666667,3,1,indicator < close
SPY,-0.006638921918351256,0.006683291770573654,1996-07-01,67.28,67.7,60.38,64.09,28811500,66.83333333333333,3,0,indicator < close
SPY,0.023301122194513565,-0.022770542989871155,1996-08-01,64.16,67.34,64.06,65.33,15593100,65.65499999999999,3,0,indicator < close
SPY,0.005661548006824801,-0.005629675329682963,1996-09-01,64.47,69.25,64.38,68.62,17216100,64.835,3,1,indicator < close
SPY,-0.031538088306647116,0.032565130260520894,1996-10-01,68.7,71.62,68.44,70.84,14791800,66.53333333333335,3,1,indicator < close
