symbol,date,open,high,low,close,volume,moving_average_window_months,Moving_Average,condition
NVDA,1999-01-01,0.04,0.05,0.04,0.04,4284288000,99,,0
NVDA,1999-02-01,0.04,0.05,0.04,0.05,3146592000,99,,0
NVDA,1999-03-01,0.05,0.05,0.04,0.04,2014512000,99,,0
NVDA,1999-04-01,0.04,0.05,0.03,0.04,1767024000,99,,0
NVDA,1999-05-01,0.04,0.04,0.03,0.04,2482512000,99,,0
NVDA,1999-06-01,0.04,0.04,0.03,0.04,2366160000,99,,0
NVDA,1999-07-01,0.04,0.05,0.04,0.04,3764064000,99,,0
NVDA,1999-08-01,0.04,0.06,0.04,0.06,7894800000,99,,0
NVDA,1999-09-01,0.06,0.06,0.03,0.04,6992640000,99,,0
NVDA,1999-10-01,0.04,0.05,0.04,0.05,7953504000,99,,0
NVDA,1999-11-01,0.05,0.09,0.05,0.07,13917936000,99,,0
NVDA,1999-12-01,0.07,0.1,0.07,0.1,4917552000,99,,0
NVDA,2000-01-01,0.1,0.1,0.07,0.08,4941456000,99,,0
NVDA,2000-02-01,0.08,0.14,0.07,0.13,9160848000,99,,0
NVDA,2000-03-01,0.13,0.31,0.12,0.18,17552160000,99,,0
NVDA,2000-04-01,0.17,0.23,0.12,0.19,6481728000,99,,0
NVDA,2000-05-01,0.19,0.25,0.16,0.24,8695584000,99,,0
NVDA,2000-06-01,0.24,0.37,0.24,0.26,13271304000,99,,0
NVDA,2000-07-01,0.27,0.32,0.21,0.25,7280352000,99,,0
NVDA,2000-08-01,0.25,0.34,0.22,0.33,6079248000,99,,0
NVDA,2000-09-01,0.34,0.36,0.26,0.34,5868576000,99,,0
NVDA,2000-10-01,0.35,0.36,0.22,0.26,8841576000,99,,0
NVDA,2000-11-01,0.25,0.33,0.15,0.17,8675472000,99,,0
NVDA,2000-12-01,0.18,0.21,0.11,0.14,14453208000,99,,0
NVDA,2001-01-01,0.14,0.24,0.12,0.22,10728648000,99,,0
NVDA,2001-02-01,0.22,0.25,0.17,0.19,11644824000,99,,0
NVDA,2001-03-01,0.18,0.3,0.17,0.27,28940472000,99,,0
NVDA,2001-04-01,0.27,0.37,0.22,0.35,31102920000,99,,0
NVDA,2001-05-01,0.35,0.42,0.31,0.36,28041600000,99,,0
NVDA,2001-06-01,0.36,0.41,0.35,0.39,20156760000,99,,0
NVDA,2001-07-01,0.37,0.38,0.28,0.34,21604512000,99,,0
NVDA,2001-08-01,0.34,0.38,0.33,0.35,29863464000,99,,0
