symbol,date,open,high,low,close,volume,Moving_Average,condition
500.PA,2010-06-01,13.89,0.0,0.0,13.16,0,,0
500.PA,2010-07-01,12.9,0.0,0.0,13.23,0,,0
500.PA,2010-08-01,13.36,0.0,0.0,12.94,0,,0
500.PA,2010-09-01,13.21,0.0,0.0,13.11,0,,0
500.PA,2010-10-01,13.08,0.0,0.0,13.36,0,,0
500.PA,2010-11-01,13.39,0.0,0.0,14.26,0,13.305,0
500.PA,2010-12-01,14.52,0.0,0.0,14.75,0,13.410000000000002,0
500.PA,2011-01-01,14.98,0.0,0.0,14.77,0,13.756666666666666,0
500.PA,2011-02-01,14.93,0.0,0.0,15.15,0,14.018333333333333,0
500.PA,2011-03-01,14.9,0.0,0.0,14.75,0,14.299999999999999,0
500.PA,2011-04-01,14.87,0.0,0.0,14.52,0,14.598333333333334,0
500.PA,2011-05-01,14.44,0.0,0.0,14.8,0,14.773333333333333,1
500.PA,2011-06-01,14.42,0.0,0.0,14.42,0,14.756666666666668,1
500.PA,2011-07-01,14.65,0.0,0.0,14.25,0,14.701666666666668,1
500.PA,2011-08-01,14.36,0.0,0.0,13.44,0,14.606666666666667,1
500.PA,2011-09-01,13.42,0.0,0.0,13.4,0,14.36,1
500.PA,2011-10-01,13.16,0.0,0.0,14.29,0,14.075000000000001,1
500.PA,2011-11-01,14.17,0.0,0.0,14.77,0,14.030000000000001,0
500.PA,2011-12-01,14.73,0.0,0.0,15.46,0,14.081666666666665,0
500.PA,2012-01-01,15.46,0.0,0.0,16.01,0,14.216666666666667,0
500.PA,2012-02-01,16.03,0.0,0.0,16.33,0,14.495,0
500.PA,2012-03-01,16.49,0.0,0.0,16.94,0,15.006666666666668,0
500.PA,2012-04-01,17.09,0.0,0.0,16.93,0,15.661666666666667,0
500.PA,2012-05-01,17.09,0.0,0.0,17.02,0,16.148333333333333,0
500.PA,2012-06-01,16.6,0.0,0.0,17.26,0,16.46,0
500.PA,2012-07-01,17.45,0.0,0.0,18.02,0,16.791666666666668,0
500.PA,2012-08-01,18.0,0.0,0.0,17.99,0,17.12,0
500.PA,2012-09-01,18.02,0.0,0.0,18.07,0,17.375,0
500.PA,2012-10-01,18.06,0.0,0.0,17.6,0,17.536666666666665,0
500.PA,2012-11-01,17.83,0.0,0.0,17.64,0,17.66,0
500.PA,2012-12-01,17.47,0.0,0.0,17.56,0,17.805,1
500.PA,2013-01-01,17.93,0.0,0.0,17.93,0,17.885,0
