symbol,date,open,high,low,close,volume,Moving_Average,condition
SPY,1993-01-01,43.97,43.97,43.75,43.94,1003200,,0
SPY,1993-02-01,43.97,45.12,42.81,44.41,5417600,,0
SPY,1993-03-01,44.56,45.84,44.22,45.19,3019200,,0
SPY,1993-04-01,45.25,45.25,43.28,44.03,2697200,,0
SPY,1993-05-01,44.09,45.66,43.84,45.22,1808000,,0
SPY,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.53666666666667,0
SPY,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.72833333333333,0
SPY,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.885,0
SPY,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.19333333333333,0
SPY,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.29833333333334,0
SPY,1993-11-01,46.78,47.0,45.53,46.34,5351100,45.74666666666667,0
SPY,1993-12-01,46.59,47.16,46.38,46.59,6128000,45.94833333333333,0
SPY,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.193333333333335,0
SPY,1994-02-01,48.16,48.28,46.56,46.81,10974400,46.73500000000001,0
SPY,1994-03-01,46.81,47.31,43.53,44.59,14705500,46.80166666666667,0
SPY,1994-04-01,43.34,45.36,43.34,45.09,11429000,46.37833333333334,1
SPY,1994-05-01,45.09,45.94,44.17,45.81,8545100,46.09666666666667,1
SPY,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.94833333333333,1
SPY,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.63166666666667,1
SPY,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.26166666666666,0
SPY,1994-09-01,47.5,47.72,45.73,46.17,6309300,45.376666666666665,0
SPY,1994-10-01,46.2,47.7,45.0,47.48,5437600,45.85333333333333,0
SPY,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.218333333333334,0
SPY,1994-12-01,45.64,46.41,44.69,45.56,8568500,46.208333333333336,1
SPY,1995-01-01,45.7,47.23,45.69,47.09,2768000,46.376666666666665,1
SPY,1995-02-01,47.16,49.16,47.0,49.02,5954800,46.580000000000005,0
SPY,1995-03-01,48.97,50.89,48.22,50.11,4538000,46.824999999999996,0
SPY,1995-04-01,50.09,51.67,50.06,51.59,4395200,47.473333333333336,0
SPY,1995-05-01,51.55,53.64,51.39,53.64,6986200,48.185,0
SPY,1995-06-01,53.41,55.16,52.75,54.41,5790900,49.48,0
SPY,1995-07-01,54.47,56.7,54.2,56.16,5508200,50.94166666666666,0
SPY,1995-08-01,56.23,56.8,55.42,56.41,8100100,52.453333333333326,0
SPY,1995-09-01,56.39,58.91,56.34,58.48,7431600,53.69,0
SPY,1995-10-01,58.48,59.19,57.27,58.31,8944800,55.08833333333333,0
SPY,1995-11-01,58.28,61.2,58.23,60.91,8841700,56.21,0
SPY,1995-12-01,60.98,62.8,60.58,61.48,9816800,57.471666666666664,0
SPY,1996-01-01,61.41,63.69,59.64,63.67,10661800,58.62833333333333,0
SPY,1996-02-01,63.61,66.69,63.44,63.88,14850400,59.85833333333333,0
SPY,1996-03-01,64.64,65.97,62.0,64.69,19022700,61.23333333333333,0
SPY,1996-04-01,65.0,65.81,62.12,65.39,14999300,62.31999999999999,0
SPY,1996-05-01,65.38,68.44,63.08,66.88,17453200,63.50333333333333,0
SPY,1996-06-01,66.89,68.5,66.16,67.11,16871800,64.48833333333333,0
SPY,1996-07-01,67.28,67.7,60.38,64.09,28811500,65.46666666666665,0
SPY,1996-08-01,64.16,67.34,64.06,65.33,15593100,65.55833333333334,1
SPY,1996-09-01,64.47,69.25,64.38,68.62,17216100,65.53,1
