symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_24_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,24,0,indicator <= high
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,24,0,indicator <= high
500.PA,,,2010-08-01,13.36,0.0,0.0,12.94,0,,24,0,indicator <= high
500.PA,,,2010-09-01,13.21,0.0,0.0,13.11,0,,24,0,indicator <= high
500.PA,,,2010-10-01,13.08,0.0,0.0,13.36,0,,24,0,indicator <= high
500.PA,,,2010-11-01,13.39,0.0,0.0,14.26,0,,24,0,indicator <= high
500.PA,,,2010-12-01,14.52,0.0,0.0,14.75,0,,24,0,indicator <= high
500.PA,,,2011-01-01,14.98,0.0,0.0,14.77,0,,24,0,indicator <= high
500.PA,,,2011-02-01,14.93,0.0,0.0,15.15,0,,24,0,indicator <= high
500.PA,,,2011-03-01,14.9,0.0,0.0,14.75,0,,24,0,indicator <= high
500.PA,,,2011-04-01,14.87,0.0,0.0,14.52,0,,24,0,indicator <= high
500.PA,,,2011-05-01,14.44,0.0,0.0,14.8,0,,24,0,indicator <= high
500.PA,,,2011-06-01,14.42,0.0,0.0,14.42,0,,24,0,indicator <= high
500.PA,,,2011-07-01,14.65,0.0,0.0,14.25,0,,24,0,indicator <= high
500.PA,,,2011-08-01,14.36,0.0,0.0,13.44,0,,24,0,indicator <= high
500.PA,,,2011-09-01,13.42,0.0,0.0,13.4,0,,24,0,indicator <= high
500.PA,,,2011-10-01,13.16,0.0,0.0,14.29,0,,24,0,indicator <= high
500.PA,,,2011-11-01,14.17,0.0,0.0,14.77,0,,24,0,indicator <= high
500.PA,,,2011-12-01,14.73,0.0,0.0,15.46,0,,24,0,indicator <= high
500.PA,,,2012-01-01,15.46,0.0,0.0,16.01,0,,24,0,indicator <= high
500.PA,,,2012-02-01,16.03,0.0,0.0,16.33,0,,24,0,indicator <= high
500.PA,,,2012-03-01,16.49,0.0,0.0,16.94,0,,24,0,indicator <= high
500.PA,,,2012-04-01,17.09,0.0,0.0,16.93,0,,24,0,indicator <= high
500.PA,-0.11971523307977369,0.1359960294423936,2012-05-01,17.09,0.0,0.0,17.02,0,15.044066666666668,24,0,indicator <= high
500.PA,-0.0839196787148595,0.0916073370041736,2012-06-01,16.6,0.0,0.0,17.26,0,15.206933333333334,24,0,indicator <= high
500.PA,-0.1158299904489016,0.13100420642825197,2012-07-01,17.45,0.0,0.0,18.02,0,15.428766666666666,24,0,indicator <= high
500.PA,-0.12892037037037035,0.14800067179298568,2012-08-01,18.0,0.0,0.0,17.99,0,15.679433333333334,24,0,indicator <= high
500.PA,-0.11674620791712914,0.13217742053710366,2012-09-01,18.02,0.0,0.0,18.07,0,15.916233333333333,24,0,indicator <= high
500.PA,-0.1063012181616834,0.1189452423142218,2012-10-01,18.06,0.0,0.0,17.6,0,16.140199999999997,24,0,indicator <= high
500.PA,-0.0841746120770237,0.09191120183720333,2012-11-01,17.83,0.0,0.0,17.64,0,16.329166666666666,24,0,indicator <= high
