symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
AAPL,,,1985-01-01,0.13,0.14,0.12,0.13,6366416000,,12,0,indicator < high
AAPL,,,1985-02-01,0.13,0.14,0.11,0.11,4733388800,,12,0,indicator < high
AAPL,,,1985-03-01,0.11,0.12,0.09,0.1,4615587200,,12,0,indicator < high
AAPL,,,1985-04-01,0.1,0.1,0.09,0.09,2868028800,,12,0,indicator < high
AAPL,,,1985-05-01,0.09,0.1,0.08,0.08,4639129600,,12,0,indicator < high
AAPL,,,1985-06-01,0.08,0.08,0.07,0.08,5811388800,,12,0,indicator < high
AAPL,,,1985-07-01,0.08,0.08,0.07,0.07,2600595200,,12,0,indicator < high
AAPL,,,1985-08-01,0.07,0.07,0.06,0.07,1818745600,,12,0,indicator < high
AAPL,,,1985-09-01,0.07,0.08,0.07,0.07,1797196800,,12,0,indicator < high
AAPL,,,1985-10-01,0.07,0.09,0.07,0.08,3785913600,,12,0,indicator < high
AAPL,,,1985-11-01,0.08,0.09,0.08,0.09,2884672000,,12,0,indicator < high
AAPL,-0.0797720797720797,0.0866873065015479,1985-12-01,0.09,0.1,0.09,0.1,3571209600,0.08282051282051282,12,1,indicator < high
AAPL,-0.1589743589743589,0.18902439024390233,1986-01-01,0.1,0.11,0.1,0.1,6291801600,0.08410256410256411,12,1,indicator < high
AAPL,-0.14230769230769227,0.16591928251121071,1986-02-01,0.1,0.12,0.1,0.11,3420860800,0.08576923076923078,12,1,indicator < high
AAPL,-0.18764568764568754,0.23098995695839294,1986-03-01,0.11,0.13,0.11,0.13,4264332800,0.08935897435897437,12,1,indicator < high
AAPL,-0.2613412228796844,0.3538050734312417,1986-04-01,0.13,0.15,0.12,0.14,4462684800,0.09602564102564103,12,1,indicator < high
AAPL,-0.2582417582417584,0.3481481481481484,1986-05-01,0.14,0.17,0.13,0.17,4954051200,0.10384615384615384,12,1,indicator < high
AAPL,-0.3197586726998493,0.4700665188470069,1986-06-01,0.17,0.17,0.15,0.16,4063360000,0.11564102564102563,12,1,indicator < high
AAPL,-0.2203525641025641,0.28263103802672146,1986-07-01,0.16,0.17,0.13,0.14,5691638400,0.12474358974358975,12,1,indicator < high
AAPL,-0.0732600732600732,0.0790513833992094,1986-08-01,0.14,0.17,0.14,0.17,3643516800,0.12974358974358977,12,1,indicator < high
AAPL,-0.18552036199095023,0.2277777777777778,1986-09-01,0.17,0.17,0.14,0.15,3578198400,0.13846153846153847,12,1,indicator < high
AAPL,-0.047863247863247735,0.05026929982046664,1986-10-01,0.15,0.16,0.14,0.15,2984038400,0.14282051282051283,12,1,indicator < high
AAPL,-0.07692307692307702,0.08333333333333345,1986-11-01,0.16,0.18,0.15,0.18,5206163200,0.14769230769230768,12,1,indicator < high
AAPL,-0.14102564102564094,0.1641791044776118,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.15461538461538463,12,1,indicator < high
AAPL,-0.10897435897435899,0.12230215827338131,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.16038461538461538,12,1,indicator < high
AAPL,-0.2964102564102564,0.42128279883381925,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.1758974358974359,12,1,indicator < high
AAPL,-0.35897435897435903,0.56,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.1987179487179487,12,1,indicator < high
AAPL,-0.23443223443223452,0.30622009569378006,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.21435897435897436,12,1,indicator < high
AAPL,-0.31758241758241756,0.46537842190016093,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.23884615384615385,12,1,indicator < high
