symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
GOOG,0.0,0.0,2004-08-01,2.49,2.83,2.39,2.55,2684837851,2.49,12,1,indicator >= low
GOOG,-0.023137019230769218,0.023685019993848033,2004-09-01,2.56,3.36,2.46,3.23,4270113667,2.500769230769231,12,1,indicator >= low
GOOG,-0.1970632010745271,0.24542803535501945,2004-10-01,3.26,4.98,3.21,4.75,10321258145,2.6175739644970415,12,0,indicator >= low
GOOG,-0.38663719103945976,0.6303564307961382,2004-11-01,4.82,5.02,4.02,4.53,11145383635,2.956408739189804,12,0,indicator >= low
GOOG,-0.29392942552066836,0.4162890171955075,2004-12-01,4.53,4.98,4.2,4.8,5835483147,3.1984997023913726,12,0,indicator >= low
GOOG,-0.2960679060927908,0.42059157219193055,2005-01-01,4.92,5.11,4.39,4.87,8237356337,3.463345902023469,12,0,indicator >= low
GOOG,-0.2406737933525403,0.3169570485590792,2005-02-01,4.84,5.4,4.51,4.68,13073210618,3.675138840173705,12,0,indicator >= low
GOOG,-0.18591332284973452,0.2283704279506571,2005-03-01,4.71,4.73,4.3,4.5,6903740285,3.8343482493777503,12,0,indicator >= low
GOOG,-0.12994004511538035,0.14934608171067013,2005-04-01,4.53,5.6,4.48,5.48,9101631755,3.941371595627327,12,0,indicator >= low
GOOG,-0.2430784872457838,0.3211409414977416,2005-05-01,5.53,6.93,5.48,6.91,10188799510,4.185775965530816,12,0,indicator >= low
GOOG,-0.34376938766133136,0.5238545432012218,2005-06-01,7.05,7.7,6.66,7.33,15618390955,4.626425816987614,12,0,indicator >= low
GOOG,-0.31354595513486383,0.4567617562752719,2005-07-01,7.35,7.92,7.15,7.17,8228691980,5.04543722975875,12,0,indicator >= low
GOOG,-0.251555501099783,0.3361044158510416,2005-08-01,7.18,7.47,6.81,7.12,5740311751,5.373831502103558,12,0,indicator >= low
GOOG,-0.20751786383816842,0.261858096692531,2005-09-01,7.12,7.99,7.1,7.88,6831639042,5.642472809472241,12,0,indicator >= low
GOOG,-0.2348350152251093,0.3069076864438551,2005-10-01,7.81,9.33,7.24,9.27,7747430832,5.975938531091896,12,0,indicator >= low
GOOG,-0.3000886871406309,0.4287524456701084,2005-11-01,9.26,10.74,9.19,10.08,8498379059,6.481178757077758,12,0,indicator >= low
GOOG,-0.3079718704019375,0.4450279652372093,2005-12-01,10.19,11.11,9.94,10.33,7981071306,7.0517666406042565,12,0,indicator >= low
GOOG,-0.27895998064750793,0.3868855724513313,2006-01-01,10.52,11.83,9.83,10.78,12006439028,7.5853410035882165,12,0,indicator >= low
GOOG,-0.18378382916987862,0.2251656310398308,2006-02-01,9.69,10.12,8.41,9.03,11945607870,7.909134695343876,12,0,indicator >= low
GOOG,-0.11714025767737024,0.13268274909579333,2006-03-01,9.18,9.94,8.26,9.71,12316553076,8.104652434521741,12,0,indicator >= low
GOOG,-0.1391659256166601,0.16166405322227967,2006-04-01,9.7,11.23,9.66,10.41,7440364169,8.350090521518396,12,0,indicator >= low
GOOG,-0.16808655147864782,0.20204812384918866,2006-05-01,10.42,10.45,8.98,9.26,7063970623,8.66853813359249,12,0,indicator >= low
GOOG,-0.05745310612475292,0.0609551699741289,2006-06-01,9.3,10.44,9.26,10.44,5716571099,8.765686113039798,12,0,indicator >= low
GOOG,-0.1370602497173278,0.15882945439983628,2006-07-01,10.46,10.66,9.41,9.63,5119995337,9.026349787956752,12,0,indicator >= low
GOOG,-0.04973251249278673,0.05233527732622675,2006-08-01,9.59,9.71,9.05,9.43,4294918292,9.113065205194175,12,1,indicator >= low
GOOG,-0.03360851700465335,0.03477733154319944,2006-09-01,9.49,10.43,9.38,10.01,4880280180,9.17105517362584,12,0,indicator >= low
GOOG,-0.07091672243230435,0.07632978027326205,2006-10-01,10.01,12.25,9.92,11.87,6364325977,9.300123608452633,12,0,indicator >= low
GOOG,-0.18597470513049197,0.22846305428420938,2006-11-01,11.92,12.78,11.58,12.07,4755369734,9.703181514844536,12,0,indicator >= low
GOOG,-0.16760968427660594,0.20135948377888524,2006-12-01,12.1,12.26,11.27,11.47,3680311197,10.071922820253068,12,0,indicator >= low
GOOG,-0.11209732311148381,0.12624956093646128,2007-01-01,11.61,12.78,11.48,12.49,5002163322,10.308550078675673,12,0,indicator >= low
GOOG,-0.15388247334900854,0.18186891123516738,2007-02-01,12.6,12.6,11.03,11.19,4573643120,10.661080835802492,12,0,indicator >= low
GOOG,-0.028301212121992967,0.02912549904872998,2007-03-01,11.03,11.61,10.88,11.41,4742365168,10.717837630294417,12,0,indicator >= low
GOOG,-0.050632834458579,0.05333324797440542,2007-04-01,11.4,12.27,11.26,11.74,3732277253,10.8227856871722,12,0,indicator >= low
GOOG,-0.06743431083925819,0.07231052098854869,2007-05-01,11.76,12.67,11.39,12.4,3998198267,10.966972504530323,12,0,indicator >= low
GOOG,-0.10258445790289965,0.1143109887122949,2007-06-01,12.48,13.32,12.39,13.02,5181284205,11.199745965371813,12,0,indicator >= low
GOOG,-0.1221883668150089,0.1391965681426083,2007-07-01,13.09,13.91,12.43,12.7,4682718433,11.490554278391533,12,0,indicator >= low
GOOG,-0.08118321695632227,0.08835626259175881,2007-08-01,12.71,13.12,11.97,12.83,3561326880,11.678161312485145,12,0,indicator >= low
GOOG,-0.07596513917299244,0.0822102524411297,2007-09-01,12.83,14.24,12.72,14.13,2786959199,11.855367264410507,12,0,indicator >= low
GOOG,-0.1397126765519199,0.16240234250104213,2007-10-01,14.2,17.61,14.19,17.61,6241346740,12.216079992962737,12,0,indicator >= low
GOOG,-0.255486242098505,0.3431585237842009,2007-11-01,17.5,18.61,15.34,17.26,6884717244,13.028990763276163,12,0,indicator >= low
GOOG,-0.20556519735378456,0.25875653567675916,2007-12-01,17.21,18.05,16.25,17.22,3425355126,13.672222953541368,12,0,indicator >= low
GOOG,-0.17588710005813785,0.21342597606534974,2008-01-01,17.26,17.37,12.93,14.05,6335233336,14.224188652996542,12,1,indicator >= low
GOOG,0.06773012781357374,-0.06343375170303282,2008-02-01,13.17,13.48,11.13,11.74,7113985391,14.062005783304766,12,1,indicator >= low
GOOG,0.16735725079512795,-0.14336421064000338,2008-03-01,11.74,11.77,10.26,10.97,5846452106,13.704774124334802,12,1,indicator >= low
GOOG,0.19387730505472797,-0.16239298982724237,2008-04-01,11.15,14.57,10.98,14.3,5743234666,13.311731951360217,12,1,indicator >= low
GOOG,-0.06394737465297877,0.06831600373886207,2008-05-01,14.4,15.01,13.4,14.59,4200999578,13.479157804997106,12,1,indicator >= low
GOOG,-0.060113789667772,0.06395858244002023,2008-06-01,14.51,14.65,12.83,13.11,3765445109,13.637748911920628,12,1,indicator >= low
GOOG,0.045626192076607466,-0.043635280392119974,2008-07-01,12.94,13.84,11.6,11.8,4179045594,13.5304029254713,12,1,indicator >= low
GOOG,0.1265566445342416,-0.11233935297284992,2008-08-01,11.77,12.72,11.5,11.54,2762893330,13.259571706168023,12,1,indicator >= low
GOOG,0.09905572398320435,-0.09012802701596058,2008-09-01,11.87,12.01,9.48,9.98,5383242366,13.045791443680635,12,1,indicator >= low
GOOG,0.23184875210702366,-0.1882120282302973,2008-10-01,10.24,10.39,7.71,8.95,8001704352,12.614131221575922,12,1,indicator >= low
