symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
GOOG,,,2004-08-01,2.49,2.83,2.39,2.55,2684837851,,12,0,indicator <= high
GOOG,,,2004-09-01,2.56,3.36,2.46,3.23,4270113667,,12,0,indicator <= high
GOOG,,,2004-10-01,3.26,4.98,3.21,4.75,10321258145,,12,0,indicator <= high
GOOG,,,2004-11-01,4.82,5.02,4.02,4.53,11145383635,,12,0,indicator <= high
GOOG,,,2004-12-01,4.53,4.98,4.2,4.8,5835483147,,12,0,indicator <= high
GOOG,,,2005-01-01,4.92,5.11,4.39,4.87,8237356337,,12,0,indicator <= high
GOOG,,,2005-02-01,4.84,5.4,4.51,4.68,13073210618,,12,0,indicator <= high
GOOG,,,2005-03-01,4.71,4.73,4.3,4.5,6903740285,,12,0,indicator <= high
GOOG,,,2005-04-01,4.53,5.6,4.48,5.48,9101631755,,12,0,indicator <= high
GOOG,,,2005-05-01,5.53,6.93,5.48,6.91,10188799510,,12,0,indicator <= high
GOOG,,,2005-06-01,7.05,7.7,6.66,7.33,15618390955,,12,0,indicator <= high
GOOG,-0.2635269492412349,0.3578229359101888,2005-07-01,7.35,7.92,7.15,7.17,8228691980,5.413076923076924,12,1,indicator <= high
GOOG,-0.19328976501678452,0.23960247017419598,2005-08-01,7.18,7.47,6.81,7.12,5740311751,5.792179487179487,12,1,indicator <= high
GOOG,-0.14298833189282628,0.16684525685471163,2005-09-01,7.12,7.99,7.1,7.88,6831639042,6.101923076923077,12,1,indicator <= high
GOOG,-0.1729373912472503,0.20909830696862022,2005-10-01,7.81,9.33,7.24,9.27,7747430832,6.459358974358975,12,1,indicator <= high
GOOG,-0.2460541618209004,0.3263552225650065,2005-11-01,9.26,10.74,9.19,10.08,8498379059,6.981538461538462,12,1,indicator <= high
GOOG,-0.25516469137666387,0.3425786726575564,2005-12-01,10.19,11.11,9.94,10.33,7981071306,7.589871794871795,12,1,indicator <= high
GOOG,-0.22277469045529888,0.2866281986954341,2006-01-01,10.52,11.83,9.83,10.78,12006439028,8.176410256410255,12,1,indicator <= high
GOOG,-0.116257839168056,0.1315517628565014,2006-02-01,9.69,10.12,8.41,9.03,11945607870,8.563461538461537,12,1,indicator <= high
GOOG,-0.04031897659348642,0.04201289346158886,2006-03-01,9.18,9.94,8.26,9.71,12316553076,8.809871794871794,12,1,indicator <= high
GOOG,-0.06402326196140629,0.06840262087663805,2006-04-01,9.7,11.23,9.66,10.41,7440364169,9.078974358974358,12,1,indicator <= high
GOOG,-0.09860229341995189,0.10938822308973288,2006-05-01,10.42,10.45,8.98,9.26,7063970623,9.392564102564101,12,1,indicator <= high
