symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_24_months,moving_average_window_months,condition,screening_rule
GOOG,0.0,0.0,2004-08-01,2.49,2.83,2.39,2.55,2684837851,2.49,24,0,indicator > high
GOOG,-0.02515624999999983,0.025805417534861177,2004-09-01,2.56,3.36,2.46,3.23,4270113667,2.4956000000000005,24,0,indicator > high
GOOG,-0.21572024539877285,0.2750552263183912,2004-10-01,3.26,4.98,3.21,4.75,10321258145,2.5567520000000004,24,0,indicator > high
GOOG,-0.43198924481327794,0.7605300443145134,2004-11-01,4.82,5.02,4.02,4.53,11145383635,2.7378118400000004,24,0,indicator > high
GOOG,-0.36397640335540826,0.5722687102736493,2004-12-01,4.53,4.98,4.2,4.8,5835483147,2.8811868928000006,24,0,indicator > high
GOOG,-0.3812414753300812,0.616139350214944,2005-01-01,4.92,5.11,4.39,4.87,8237356337,3.0442919413760006,24,0,indicator > high
GOOG,-0.3413329367632395,0.5182177093931081,2005-02-01,4.84,5.4,4.51,4.68,13073210618,3.1879485860659207,24,0,indicator > high
GOOG,-0.29730091312512796,0.4230842457008452,2005-03-01,4.71,4.73,4.3,4.5,6903740285,3.3097126991806474,24,0,indicator > high
GOOG,-0.24782876749532104,0.32948450669944945,2005-04-01,4.53,5.6,4.48,5.48,9101631755,3.407335683246196,24,0,indicator > high
GOOG,-0.3531376440169077,0.5459239369095982,2005-05-01,5.53,6.93,5.48,6.91,10188799510,3.5771488285865005,24,0,indicator > high
GOOG,-0.45319476279438575,0.8288047223365779,2005-06-01,7.05,7.7,6.66,7.33,15618390955,3.8549769222995804,24,0,indicator > high
GOOG,-0.4374722763924334,0.777690161805474,2005-07-01,7.35,7.92,7.15,7.17,8228691980,4.134578768515614,24,0,indicator > high
GOOG,-0.3902211048698655,0.6399386859504008,2005-08-01,7.18,7.47,6.81,7.12,5740311751,4.378212467034365,24,0,indicator > high
GOOG,-0.3542759171809528,0.548649069482255,2005-09-01,7.12,7.99,7.1,7.88,6831639042,4.597555469671616,24,0,indicator > high
GOOG,-0.37841856183125644,0.6087996497226892,2005-10-01,7.81,9.33,7.24,9.27,7747430832,4.854551032097887,24,0,indicator > high
