symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_3_months,moving_average_window_months,condition,screening_rule
GOOG,,,2004-08-01,2.49,2.83,2.39,2.55,2684837851,,3,0,indicator <= close
GOOG,,,2004-09-01,2.56,3.36,2.46,3.23,4270113667,,3,0,indicator <= close
GOOG,-0.1503067484662576,0.17689530685920568,2004-10-01,3.26,4.98,3.21,4.75,10321258145,2.77,3,1,indicator <= close
GOOG,-0.2641770401106501,0.35902255639097747,2004-11-01,4.82,5.02,4.02,4.53,11145383635,3.546666666666667,3,1,indicator <= close
GOOG,-0.07211184694628413,0.07771609833465515,2004-12-01,4.53,4.98,4.2,4.8,5835483147,4.203333333333333,3,1,indicator <= close
GOOG,-0.033197831978319735,0.03433777154870352,2005-01-01,4.92,5.11,4.39,4.87,8237356337,4.756666666666667,3,1,indicator <= close
GOOG,-0.015840220385675022,0.016095171448565523,2005-02-01,4.84,5.4,4.51,4.68,13073210618,4.763333333333333,3,0,indicator <= close
GOOG,0.024062278839348892,-0.023496890117484442,2005-03-01,4.71,4.73,4.3,4.5,6903740285,4.823333333333333,3,0,indicator <= close
GOOG,0.03605592347314216,-0.0348011363636365,2005-04-01,4.53,5.6,4.48,5.48,9101631755,4.693333333333334,3,1,indicator <= close
GOOG,-0.10970464135021094,0.12322274881516583,2005-05-01,5.53,6.93,5.48,6.91,10188799510,4.923333333333334,3,1,indicator <= close
GOOG,-0.19101654846335697,0.23611922852133257,2005-06-01,7.05,7.7,6.66,7.33,15618390955,5.703333333333333,3,1,indicator <= close
GOOG,-0.09614512471655322,0.10637230306071241,2005-07-01,7.35,7.92,7.15,7.17,8228691980,6.6433333333333335,3,1,indicator <= close
GOOG,0.001857010213556094,-0.0018535681186282792,2005-08-01,7.18,7.47,6.81,7.12,5740311751,7.1933333333333325,3,0,indicator <= close
GOOG,0.013576779026217106,-0.013394919168591105,2005-09-01,7.12,7.99,7.1,7.88,6831639042,7.216666666666666,3,1,indicator <= close
GOOG,-0.05633802816901402,0.05970149253731336,2005-10-01,7.81,9.33,7.24,9.27,7747430832,7.37,3,1,indicator <= close
GOOG,-0.1292296616270697,0.14840843323687458,2005-11-01,9.26,10.74,9.19,10.08,8498379059,8.063333333333334,3,1,indicator <= close
GOOG,-0.10827608766764804,0.12142333088774765,2005-12-01,10.19,11.11,9.94,10.33,7981071306,9.086666666666666,3,1,indicator <= close
GOOG,-0.05038022813688207,0.05305305305305299,2006-01-01,10.52,11.83,9.83,10.78,12006439028,9.99,3,1,indicator <= close
GOOG,0.04575163398692811,-0.043750000000000004,2006-02-01,9.69,10.12,8.41,9.03,11945607870,10.133333333333333,3,0,indicator <= close
GOOG,0.06717501815541037,-0.06294658046954751,2006-03-01,9.18,9.94,8.26,9.71,12316553076,9.796666666666667,3,0,indicator <= close
GOOG,-0.018213058419244088,0.018550927546377424,2006-04-01,9.7,11.23,9.66,10.41,7440364169,9.523333333333332,3,1,indicator <= close
GOOG,-0.06269993602047354,0.06689419795221853,2006-05-01,10.42,10.45,8.98,9.26,7063970623,9.766666666666666,3,0,indicator <= close
GOOG,0.054480286738351175,-0.051665533650577765,2006-06-01,9.3,10.44,9.26,10.44,5716571099,9.806666666666667,3,1,indicator <= close
GOOG,-0.0382409177820268,0.03976143141153085,2006-07-01,10.46,10.66,9.41,9.63,5119995337,10.06,3,0,indicator <= close
GOOG,0.020159888773027462,-0.019761499148211247,2006-08-01,9.59,9.71,9.05,9.43,4294918292,9.783333333333333,3,0,indicator <= close
GOOG,0.03758342114506505,-0.03622207176709553,2006-09-01,9.49,10.43,9.38,10.01,4880280180,9.846666666666668,3,1,indicator <= close
GOOG,-0.03130203130203141,0.03231350979718127,2006-10-01,10.01,12.25,9.92,11.87,6364325977,9.696666666666665,3,1,indicator <= close
GOOG,-0.12136465324384778,0.1381285805219604,2006-11-01,11.92,12.78,11.58,12.07,4755369734,10.473333333333334,3,1,indicator <= close
GOOG,-0.06253443526170793,0.06670584778136932,2006-12-01,12.1,12.26,11.27,11.47,3680311197,11.343333333333334,3,1,indicator <= close
GOOG,0.02296870513924785,-0.022452989054167906,2007-01-01,11.61,12.78,11.48,12.49,5002163322,11.876666666666667,3,1,indicator <= close
GOOG,-0.03941798941798938,0.04103552740291926,2007-02-01,12.6,12.6,11.03,11.19,4573643120,12.103333333333333,3,0,indicator <= close
GOOG,0.06497431248111198,-0.061010215664018035,2007-03-01,11.03,11.61,10.88,11.41,4742365168,11.746666666666664,3,0,indicator <= close
GOOG,0.02426900584795327,-0.023693976591493058,2007-04-01,11.4,12.27,11.26,11.74,3732277253,11.676666666666668,3,1,indicator <= close
GOOG,-0.03089569160997732,0.03188066686165545,2007-05-01,11.76,12.67,11.39,12.4,3998198267,11.396666666666667,3,1,indicator <= close
GOOG,-0.048076923076923045,0.05050505050505047,2007-06-01,12.48,13.32,12.39,13.02,5181284205,11.88,3,1,indicator <= close
GOOG,-0.049401578813343505,0.05196892579694614,2007-07-01,13.09,13.91,12.43,12.7,4682718433,12.443333333333333,3,1,indicator <= close
GOOG,0.00393391030684492,-0.003918495297805559,2007-08-01,12.71,13.12,11.97,12.83,3561326880,12.76,3,1,indicator <= close
GOOG,0.0036373083917899517,-0.003624126326688979,2007-09-01,12.83,14.24,12.72,14.13,2786959199,12.876666666666665,3,1,indicator <= close
GOOG,-0.06713615023474165,0.07196779063915434,2007-10-01,14.2,17.61,14.19,17.61,6241346740,13.246666666666668,3,1,indicator <= close
GOOG,-0.15180952380952378,0.17898046260947673,2007-11-01,17.5,18.61,15.34,17.26,6884717244,14.843333333333334,3,1,indicator <= close
GOOG,-0.052682548905675176,0.05561234921284011,2007-12-01,17.21,18.05,16.25,17.22,3425355126,16.30333333333333,3,1,indicator <= close
GOOG,0.0036693704132869393,-0.0036559553588608375,2008-01-01,17.26,17.37,12.93,14.05,6335233336,17.323333333333334,3,0,indicator <= close
GOOG,0.20577069096431289,-0.17065491183879097,2008-02-01,13.17,13.48,11.13,11.74,7113985391,15.88,3,0,indicator <= close
GOOG,0.19733106189664962,-0.16480910599952572,2008-03-01,11.74,11.77,10.26,10.97,5846452106,14.056666666666667,3,0,indicator <= close
GOOG,0.0780269058295965,-0.07237936772046596,2008-04-01,11.15,14.57,10.98,14.3,5743234666,12.020000000000001,3,1,indicator <= close
GOOG,-0.1368055555555556,0.15848753016894615,2008-05-01,14.4,15.01,13.4,14.59,4200999578,12.43,3,1,indicator <= close
GOOG,-0.07971513898460829,0.08662006989515723,2008-06-01,14.51,14.65,12.83,13.11,3765445109,13.353333333333333,3,0,indicator <= close
GOOG,0.07805255023183938,-0.07240143369175638,2008-07-01,12.94,13.84,11.6,11.8,4179045594,13.950000000000001,3,0,indicator <= close
GOOG,0.1107335032568677,-0.09969403365629777,2008-08-01,11.77,12.72,11.5,11.54,2762893330,13.073333333333332,3,0,indicator <= close
GOOG,0.02723953945520928,-0.02651722252597054,2008-09-01,11.87,12.01,9.48,9.98,5383242366,12.193333333333333,3,0,indicator <= close
GOOG,0.1028645833333331,-0.09327036599763854,2008-10-01,10.24,10.39,7.71,8.95,8001704352,11.293333333333331,3,0,indicator <= close
GOOG,0.1604938271604938,-0.1382978723404255,2008-11-01,8.91,9.27,6.16,7.3,6345013858,10.34,3,0,indicator <= close
GOOG,0.227357609710551,-0.1852415367059719,2008-12-01,7.14,8.21,6.54,7.66,4537239177,8.763333333333334,3,0,indicator <= close
GOOG,0.0290420459471175,-0.028222409435551845,2009-01-01,7.69,8.78,7.04,8.43,4411742543,7.913333333333334,3,1,indicator <= close
GOOG,-0.07322929171668671,0.07901554404145082,2009-02-01,8.33,9.49,8.21,8.42,4480141965,7.72,3,1,indicator <= close
