symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
GOOG,,,2004-08-01,2.49,2.83,2.39,2.55,2684837851,,6,0,indicator < high
GOOG,,,2004-09-01,2.56,3.36,2.46,3.23,4270113667,,6,0,indicator < high
GOOG,,,2004-10-01,3.26,4.98,3.21,4.75,10321258145,,6,0,indicator < high
GOOG,,,2004-11-01,4.82,5.02,4.02,4.53,11145383635,,6,0,indicator < high
GOOG,,,2004-12-01,4.53,4.98,4.2,4.8,5835483147,,6,0,indicator < high
GOOG,-0.1401471157568718,0.16298964430436733,2005-01-01,4.92,5.11,4.39,4.87,8237356337,4.230476190476191,6,1,indicator < high
GOOG,-0.062377016922471655,0.0665267576075553,2005-02-01,4.84,5.4,4.51,4.68,13073210618,4.538095238095237,6,1,indicator < high
GOOG,-0.002830856334041113,0.0028388928317956653,2005-03-01,4.71,4.73,4.3,4.5,6903740285,4.696666666666666,6,1,indicator < high
GOOG,0.03784295175023638,-0.03646308113035539,2005-04-01,4.53,5.6,4.48,5.48,9101631755,4.701428571428571,6,1,indicator < high
GOOG,-0.10824076466029453,0.12137891077636156,2005-05-01,5.53,6.93,5.48,6.91,10188799510,4.9314285714285715,6,1,indicator < high
GOOG,-0.21107733873691323,0.2675513698630137,2005-06-01,7.05,7.7,6.66,7.33,15618390955,5.561904761904762,6,1,indicator < high
GOOG,-0.1621639131843213,0.19355088153417874,2005-07-01,7.35,7.92,7.15,7.17,8228691980,6.158095238095238,6,1,indicator < high
GOOG,-0.08217270194986083,0.08952959028831575,2005-08-01,7.18,7.47,6.81,7.12,5740311751,6.589999999999999,6,1,indicator < high
GOOG,-0.031835205992509476,0.03288201160541598,2005-09-01,7.12,7.99,7.1,7.88,6831639042,6.893333333333333,6,1,indicator < high
GOOG,-0.06798365953295518,0.07294256182127423,2005-10-01,7.81,9.33,7.24,9.27,7747430832,7.27904761904762,6,1,indicator < high
GOOG,-0.14439987658130207,0.16877028489001084,2005-11-01,9.26,10.74,9.19,10.08,8498379059,7.922857142857143,6,1,indicator < high
GOOG,-0.15066124585260987,0.17738651994497925,2005-12-01,10.19,11.11,9.94,10.33,7981071306,8.654761904761905,6,1,indicator < high
GOOG,-0.11298207495926128,0.12737293325168403,2006-01-01,10.52,11.83,9.83,10.78,12006439028,9.331428571428571,6,1,indicator < high
GOOG,-0.007223942208462362,0.007276507276507306,2006-02-01,9.69,10.12,8.41,9.03,11945607870,9.62,6,1,indicator < high
GOOG,0.050472040668119056,-0.0480470100241963,2006-03-01,9.18,9.94,8.26,9.71,12316553076,9.643333333333333,6,1,indicator < high
GOOG,0.0017673048600884323,-0.001764187003822472,2006-04-01,9.7,11.23,9.66,10.41,7440364169,9.717142857142857,6,1,indicator < high
GOOG,-0.04926423544465791,0.0518169582772546,2006-05-01,10.42,10.45,8.98,9.26,7063970623,9.906666666666665,6,1,indicator < high
GOOG,0.045263696876600056,-0.04330361516606246,2006-06-01,9.3,10.44,9.26,10.44,5716571099,9.720952380952381,6,1,indicator < high
