symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_24_months,moving_average_window_months,condition,screening_rule
GOOGL,0.0,0.0,2004-08-01,2.5,2.84,2.4,2.56,2672137188,2.5,24,0,indicator < low
GOOGL,-0.025058365758754697,0.025702426564495354,2004-09-01,2.57,3.38,2.48,3.24,4249913832,2.5056000000000003,24,0,indicator < low
GOOGL,-0.21506055045871555,0.27398361820697903,2004-10-01,3.27,5.0,3.23,4.77,10272433284,2.566752,24,1,indicator < low
GOOGL,-0.4321049917355371,0.7608888710891967,2004-11-01,4.84,5.05,4.04,4.55,11092660236,2.74861184,24,1,indicator < low
GOOGL,-0.3642367268571428,0.5729125009951591,2004-12-01,4.55,5.0,4.22,4.82,5807878308,2.8927228928,24,1,indicator < low
GOOGL,-0.3812742790736842,0.6162250350654006,2005-01-01,4.94,5.14,4.41,4.9,8198389404,3.0565050613760003,24,1,indicator < low
GOOGL,-0.34140233406051024,0.5183776859784338,2005-02-01,4.86,5.43,4.53,4.7,13011367608,3.2007846564659204,24,1,indicator < low
GOOGL,-0.2987506573948002,0.4260262922813113,2005-03-01,4.74,4.75,4.32,4.52,6871082040,3.323921883948647,24,1,indicator < low
GOOGL,-0.24791030038840536,0.3296286340797313,2005-04-01,4.55,5.62,4.5,5.51,9058576356,3.4220081332327554,24,1,indicator < low
GOOGL,-0.35376843838594685,0.5474329317843298,2005-05-01,5.56,6.97,5.51,6.94,10140601248,3.593047482574135,24,1,indicator < low
GOOGL,-0.45376534781830685,0.8307150525986249,2005-06-01,7.09,7.74,6.69,7.36,15544507932,3.8728036839682045,24,1,indicator < low
GOOGL,-0.4372114648711723,0.7768663318116288,2005-07-01,7.38,7.95,7.18,7.2,8189766036,4.153379389250748,24,1,indicator < low
GOOGL,-0.39002648569893367,0.6394154443670274,2005-08-01,7.21,7.5,6.84,7.16,5713157124,4.397909038110688,24,1,indicator < low
GOOGL,-0.35411520069065267,0.5482637167948718,2005-09-01,7.15,8.03,7.13,7.92,6799321872,4.618076315061834,24,1,indicator < low
GOOGL,-0.3787732216742819,0.6097181172632672,2005-10-01,7.85,9.38,7.27,9.31,7710781500,4.876630209856887,24,1,indicator < low
GOOGL,-0.43809884070157507,0.7796724271730883,2005-11-01,9.31,10.79,9.23,10.13,8458177356,5.231299793068336,24,1,indicator < low
GOOGL,-0.45000040921651663,0.8181831709646978,2005-12-01,10.24,11.17,9.99,10.38,7943316732,5.63199580962287,24,1,indicator < low
GOOGL,-0.4297979049334872,0.7537641630084719,2006-01-01,10.57,11.89,9.88,10.83,11949642396,6.0270361448530405,24,1,indicator < low
GOOGL,-0.35071116496254645,0.5401466127818385,2006-02-01,9.74,10.17,8.45,9.07,11889099000,6.324073253264798,24,1,indicator < low
GOOGL,-0.2889644909974388,0.40639952201936785,2006-03-01,9.22,9.98,8.3,9.76,12258289440,6.555747393003615,24,1,indicator < low
GOOGL,-0.30140639983965894,0.4314474105838934,2006-04-01,9.75,11.28,9.71,10.46,7405167420,6.8112876015633255,24,1,indicator < low
GOOGL,-0.32149144284257314,0.47382076386691907,2006-05-01,10.47,10.5,9.02,9.3,7030554408,7.10398459343826,24,1,indicator < low
GOOGL,-0.22099830738361503,0.28369425827736217,2006-06-01,9.35,10.49,9.3,10.49,5689528776,7.283665825963199,24,1,indicator < low
GOOGL,-0.28241935681387786,0.39357159295700994,2006-07-01,10.51,10.71,9.45,9.67,5095775124,7.541772559886144,24,1,indicator < low
GOOGL,-0.20024577229302362,0.25038413722070635,2006-08-01,9.64,9.76,9.09,9.47,4274601120,7.709630755095253,24,1,indicator < low
GOOGL,-0.1757334423202903,0.2131997721889575,2006-09-01,9.53,10.48,9.43,10.06,4857193944,7.855260294687633,24,1,indicator < low
GOOGL,-0.20162629511802957,0.252546262339436,2006-10-01,10.06,12.31,9.96,11.92,6334219440,8.031639471112623,24,1,indicator < low
