symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_3_months,moving_average_window_months,condition,screening_rule
GOOGL,,,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,3,0,indicator > open
GOOGL,,,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,3,0,indicator > open
GOOGL,-0.1498470948012233,0.1762589928057555,2004-10-01,3.27,5.0,3.23,4.77,10272433284,2.78,3,0,indicator > open
GOOGL,-0.2644628099173553,0.35955056179775274,2004-11-01,4.84,5.05,4.04,4.55,11092660236,3.56,3,0,indicator > open
GOOGL,-0.07252747252747255,0.07819905213270144,2004-12-01,4.55,5.0,4.22,4.82,5807878308,4.22,3,0,indicator > open
GOOGL,-0.03306342780027004,0.03419399860432673,2005-01-01,4.94,5.14,4.41,4.9,8198389404,4.776666666666666,3,0,indicator > open
GOOGL,-0.015775034293552717,0.016027874564459834,2005-02-01,4.86,5.43,4.53,4.7,13011367608,4.783333333333334,3,0,indicator > open
GOOGL,0.022503516174402206,-0.02200825309491055,2005-03-01,4.74,4.75,4.32,4.52,6871082040,4.846666666666667,3,1,indicator > open
GOOGL,0.036630036630036694,-0.03533568904593646,2005-04-01,4.55,5.62,4.5,5.51,9058576356,4.716666666666667,3,1,indicator > open
GOOGL,-0.1097122302158274,0.12323232323232332,2005-05-01,5.56,6.97,5.51,6.94,10140601248,4.949999999999999,3,0,indicator > open
GOOGL,-0.19134931828866947,0.23662790697674416,2005-06-01,7.09,7.74,6.69,7.36,15544507932,5.733333333333333,3,0,indicator > open
GOOGL,-0.09530261969286358,0.10534198701947077,2005-07-01,7.38,7.95,7.18,7.2,8189766036,6.676666666666667,3,0,indicator > open
GOOGL,0.002311604253351818,-0.002306273062730619,2005-08-01,7.21,7.5,6.84,7.16,5713157124,7.226666666666667,3,1,indicator > open
GOOGL,0.01351981351981352,-0.013339466421343147,2005-09-01,7.15,8.03,7.13,7.92,6799321872,7.246666666666667,3,1,indicator > open
GOOGL,-0.05690021231422501,0.06033318325078789,2005-10-01,7.85,9.38,7.27,9.31,7710781500,7.403333333333333,3,0,indicator > open
GOOGL,-0.12960973863229505,0.148909913615796,2005-11-01,9.31,10.79,9.23,10.13,8458177356,8.103333333333333,3,0,indicator > open
GOOGL,-0.10807291666666673,0.12116788321167891,2005-12-01,10.24,11.17,9.99,10.38,7943316732,9.133333333333333,3,0,indicator > open
GOOGL,-0.050141911069063495,0.052788844621514064,2006-01-01,10.57,11.89,9.88,10.83,11949642396,10.04,3,0,indicator > open
