symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
GOOGL,,,2004-08-01,2.5,2.84,2.4,2.56,2672137188,,6,0,indicator <= high
GOOGL,,,2004-09-01,2.57,3.38,2.48,3.24,4249913832,,6,0,indicator <= high
GOOGL,,,2004-10-01,3.27,5.0,3.23,4.77,10272433284,,6,0,indicator <= high
GOOGL,,,2004-11-01,4.84,5.05,4.04,4.55,11092660236,,6,0,indicator <= high
GOOGL,,,2004-12-01,4.55,5.0,4.22,4.82,5807878308,,6,0,indicator <= high
GOOGL,-0.14015808752650866,0.16300448430493283,2005-01-01,4.94,5.14,4.41,4.9,8198389404,4.247619047619048,6,1,indicator <= high
GOOGL,-0.06241426611796989,0.06656912948061457,2005-02-01,4.86,5.43,4.53,4.7,13011367608,4.556666666666667,6,1,indicator <= high
GOOGL,-0.004420333534257606,0.004439959636730597,2005-03-01,4.74,4.75,4.32,4.52,6871082040,4.719047619047619,6,1,indicator <= high
GOOGL,0.038199895342752546,-0.036794354838709735,2005-04-01,4.55,5.62,4.5,5.51,9058576356,4.723809523809524,6,1,indicator <= high
GOOGL,-0.10859883521754025,0.12182936202920831,2005-05-01,5.56,6.97,5.51,6.94,10140601248,4.956190476190476,6,1,indicator <= high
GOOGL,-0.21136409429780384,0.2680122636688811,2005-06-01,7.09,7.74,6.69,7.36,15544507932,5.591428571428571,6,1,indicator <= high
GOOGL,-0.1614401858304297,0.19252077562326866,2005-07-01,7.38,7.95,7.18,7.2,8189766036,6.188571428571429,6,1,indicator <= high
GOOGL,-0.08169869889703457,0.0889672036823936,2005-08-01,7.21,7.5,6.84,7.16,5713157124,6.620952380952381,6,1,indicator <= high
GOOGL,-0.0315684315684316,0.03259748297916241,2005-09-01,7.15,8.03,7.13,7.92,6799321872,6.924285714285714,6,1,indicator <= high
GOOGL,-0.06842584167424935,0.07345184606368435,2005-10-01,7.85,9.38,7.27,9.31,7710781500,7.312857142857142,6,1,indicator <= high
GOOGL,-0.14485192573269912,0.1693881212991208,2005-11-01,9.31,10.79,9.23,10.13,8458177356,7.961428571428572,6,1,indicator <= high
GOOGL,-0.15066964285714285,0.17739816031537448,2005-12-01,10.24,11.17,9.99,10.38,7943316732,8.697142857142858,6,1,indicator <= high
GOOGL,-0.11285308825516964,0.12720901889092018,2006-01-01,10.57,11.89,9.88,10.83,11949642396,9.377142857142857,6,1,indicator <= high
GOOGL,-0.007382419086731157,0.007437324533320154,2006-02-01,9.74,10.17,8.45,9.07,11889099000,9.668095238095239,6,1,indicator <= high
GOOGL,0.05097613882863347,-0.04850361197110429,2006-03-01,9.22,9.98,8.3,9.76,12258289440,9.690000000000001,6,1,indicator <= high
GOOGL,0.0015140415140414904,-0.0015117526577586812,2006-04-01,9.75,11.28,9.71,10.46,7405167420,9.764761904761905,6,1,indicator <= high
GOOGL,-0.049210897348433126,0.05175795264290835,2006-05-01,10.47,10.5,9.02,9.3,7030554408,9.954761904761906,6,1,indicator <= high
GOOGL,0.04486885663356253,-0.04294209397543382,2006-06-01,9.35,10.49,9.3,10.49,5689528776,9.76952380952381,6,1,indicator <= high
GOOGL,-0.052512346518055364,0.055422723794950265,2006-07-01,10.51,10.71,9.45,9.67,5095775124,9.958095238095238,6,1,indicator <= high
GOOGL,0.027069749061450245,-0.026356290881108062,2006-08-01,9.64,9.76,9.09,9.47,4274601120,9.900952380952381,6,0,indicator <= high
GOOGL,0.030130415230100648,-0.029249126891734773,2006-09-01,9.53,10.48,9.43,10.06,4857193944,9.817142857142859,6,1,indicator <= high
GOOGL,-0.018886679920477264,0.019250253292806614,2006-10-01,10.06,12.31,9.96,11.92,6334219440,9.87,6,1,indicator <= high
GOOGL,-0.12715637173066222,0.145680586547657,2006-11-01,11.98,12.84,11.64,12.13,4732874388,10.456666666666667,6,1,indicator <= high
GOOGL,-0.09351503759398495,0.10316226023846552,2006-12-01,12.16,12.32,11.32,11.52,3662901432,11.022857142857143,6,1,indicator <= high
GOOGL,-0.029812954341256272,0.030729078969523538,2007-01-01,11.66,12.84,11.54,12.55,4978500516,11.312380952380952,6,1,indicator <= high
GOOGL,-0.06533513879485438,0.06990220934444036,2007-02-01,12.66,12.66,11.09,11.25,4552007436,11.832857142857144,6,1,indicator <= high
GOOGL,0.06119993123603236,-0.05767050056698529,2007-03-01,11.08,11.66,10.94,11.47,4719931344,11.758095238095239,6,0,indicator <= high
GOOGL,0.022521399484750158,-0.022025357607282078,2007-04-01,11.46,12.32,11.31,11.8,3714621660,11.718095238095238,6,1,indicator <= high
GOOGL,-0.008943678994440504,0.009024390243902529,2007-05-01,11.82,12.73,11.45,12.46,3979284732,11.714285714285714,6,1,indicator <= high
GOOGL,-0.04913799650641761,0.05167731629392977,2007-06-01,12.54,13.39,12.45,13.08,5156774064,11.923809523809522,6,1,indicator <= high
GOOGL,-0.06543545174723876,0.0700170489770613,2007-07-01,13.15,13.98,12.48,12.76,4660566768,12.28952380952381,6,1,indicator <= high
GOOGL,-0.02358596020567839,0.02415569547796209,2007-08-01,12.78,13.18,12.02,12.89,3544479972,12.47857142857143,6,1,indicator <= high
GOOGL,-0.015257305404706533,0.015493697478991639,2007-09-01,12.89,14.31,12.78,14.2,2773775448,12.693333333333333,6,1,indicator <= high
GOOGL,-0.07339878447872827,0.07921291624621582,2007-10-01,14.26,17.69,14.25,17.69,6211821960,13.213333333333335,6,1,indicator <= high
GOOGL,-0.17274425404044494,0.20881602199096783,2007-11-01,17.59,18.7,15.42,17.34,6852148992,14.551428571428573,6,1,indicator <= high
GOOGL,-0.1018480266600566,0.1133973199227253,2007-12-01,17.29,18.14,16.33,17.3,3409151436,15.52904761904762,6,1,indicator <= high
GOOGL,-0.060279013566210946,0.06414565007744252,2008-01-01,17.34,17.45,12.99,14.12,6305264424,16.294761904761902,6,1,indicator <= high
GOOGL,0.18568909045099496,-0.1566085847853802,2008-02-01,13.23,13.54,11.18,11.79,7080332580,15.686666666666664,6,0,indicator <= high
GOOGL,0.2414043583535109,-0.19446069826409207,2008-03-01,11.8,11.83,10.31,11.02,5818795380,14.64857142857143,6,0,indicator <= high
GOOGL,0.20454931972789123,-0.16981398468109143,2008-04-01,11.2,14.64,11.04,14.37,5716066212,13.49095238095238,6,1,indicator <= high
GOOGL,-0.07302464869845657,0.07877733598409542,2008-05-01,14.47,15.08,13.46,14.66,4181126688,13.413333333333334,6,1,indicator <= high
GOOGL,-0.07299627669998032,0.07874431878236964,2008-06-01,14.58,14.72,12.89,13.17,3747632616,13.515714285714287,6,1,indicator <= high
GOOGL,0.022747252747252925,-0.02224132373482342,2008-07-01,13.0,13.91,11.65,11.86,4159276560,13.295714285714288,6,1,indicator <= high
GOOGL,0.095197808395778,-0.08692293544233957,2008-08-01,11.82,12.78,11.56,11.59,2749823424,12.945238095238096,6,0,indicator <= high
GOOGL,0.06398435317127692,-0.06013655462184876,2008-09-01,11.93,12.07,9.53,10.02,5357776860,12.693333333333333,6,0,indicator <= high
GOOGL,0.16294136702299977,-0.14011142061281345,2008-10-01,10.29,10.43,7.74,8.99,7963852176,11.966666666666667,6,0,indicator <= high
GOOGL,0.21793030061186477,-0.17893495260145903,2008-11-01,8.95,9.32,6.19,7.33,6314998680,10.900476190476189,6,0,indicator <= high
GOOGL,0.3373181908746763,-0.25223480333730636,2008-12-01,7.17,8.25,6.57,7.7,4515775704,9.588571428571429,6,0,indicator <= high
GOOGL,0.13816925734024166,-0.12139605462822448,2009-01-01,7.72,8.82,7.08,8.47,4390872732,8.786666666666665,6,1,indicator <= high
GOOGL,0.0062012857711782445,-0.0061630668325229,2009-02-01,8.37,9.53,8.25,8.46,4458948588,8.421904761904761,6,1,indicator <= high
GOOGL,-0.015244946899623168,0.015480953209253794,2009-03-01,8.34,8.99,7.24,8.71,4554452988,8.212857142857143,6,1,indicator <= high
GOOGL,-0.040808416389811655,0.04254459389251276,2009-04-01,8.6,10.1,8.52,9.91,3509802684,8.24904761904762,6,1,indicator <= high
GOOGL,-0.11685685396504404,0.1323192672554792,2009-05-01,9.89,10.44,9.63,10.44,2279130588,8.734285714285715,6,1,indicator <= high
GOOGL,-0.10846055979643783,0.12165536924723531,2009-06-01,10.48,11.19,10.06,10.55,2815621560,9.343333333333332,6,1,indicator <= high
GOOGL,-0.07393955699040437,0.07984312206459102,2009-07-01,10.62,11.33,9.91,11.09,2917767312,9.834761904761905,6,1,indicator <= high
GOOGL,-0.07725904253063665,0.0837277698635175,2009-08-01,11.23,11.87,10.97,11.55,1947594456,10.362380952380951,6,1,indicator <= high
GOOGL,-0.058178053830227616,0.06177181798197391,2009-09-01,11.5,12.69,11.33,12.41,2041140816,10.830952380952382,6,1,indicator <= high
GOOGL,-0.0770625916493016,0.08349709411715522,2009-10-01,12.34,14.06,12.08,13.42,3083893020,11.389047619047618,6,1,indicator <= high
GOOGL,-0.10094246031746024,0.11227586206896542,2009-11-01,13.44,14.69,13.22,14.59,1634611752,12.083333333333334,6,1,indicator <= high
