symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_1_months,moving_average_window_months,condition,screening_rule
MSFT,0.0,0.0,1986-03-01,0.09,0.1,0.09,0.1,1857052800,0.09,1,0,indicator > open
MSFT,0.0,0.0,1986-04-01,0.1,0.12,0.09,0.11,547142400,0.1,1,0,indicator > open
MSFT,0.0,0.0,1986-05-01,0.11,0.12,0.11,0.12,333446400,0.11,1,0,indicator > open
MSFT,0.0,0.0,1986-06-01,0.12,0.12,0.1,0.11,293788800,0.12,1,0,indicator > open
MSFT,0.0,0.0,1986-07-01,0.11,0.11,0.09,0.1,460800000,0.11,1,0,indicator > open
MSFT,0.0,0.0,1986-08-01,0.1,0.11,0.09,0.1,266256000,0.1,1,0,indicator > open
MSFT,0.0,0.0,1986-09-01,0.1,0.11,0.09,0.1,285120000,0.1,1,0,indicator > open
MSFT,0.0,0.0,1986-10-01,0.1,0.14,0.1,0.13,1565712000,0.1,1,0,indicator > open
MSFT,0.0,0.0,1986-11-01,0.14,0.18,0.14,0.17,1053964800,0.14,1,0,indicator > open
MSFT,0.0,0.0,1986-12-01,0.17,0.17,0.16,0.17,721526400,0.17,1,0,indicator > open
MSFT,0.0,0.0,1987-01-01,0.17,0.27,0.16,0.25,1961596800,0.17,1,0,indicator > open
MSFT,0.0,0.0,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.25,1,0,indicator > open
MSFT,0.0,0.0,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.27,1,0,indicator > open
MSFT,0.0,0.0,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.34,1,0,indicator > open
MSFT,0.0,0.0,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.36,1,0,indicator > open
MSFT,0.0,0.0,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.4,1,0,indicator > open
MSFT,0.0,0.0,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.35,1,0,indicator > open
