symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,24,0,indicator <= low
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,24,0,indicator <= low
MSFT,,,1986-05-01,0.11,0.12,0.11,0.12,333446400,,24,0,indicator <= low
MSFT,,,1986-06-01,0.12,0.12,0.1,0.11,293788800,,24,0,indicator <= low
MSFT,,,1986-07-01,0.11,0.11,0.09,0.1,460800000,,24,0,indicator <= low
MSFT,,,1986-08-01,0.1,0.11,0.09,0.1,266256000,,24,0,indicator <= low
MSFT,,,1986-09-01,0.1,0.11,0.09,0.1,285120000,,24,0,indicator <= low
MSFT,,,1986-10-01,0.1,0.14,0.1,0.13,1565712000,,24,0,indicator <= low
MSFT,,,1986-11-01,0.14,0.18,0.14,0.17,1053964800,,24,0,indicator <= low
MSFT,,,1986-12-01,0.17,0.17,0.16,0.17,721526400,,24,0,indicator <= low
MSFT,,,1987-01-01,0.17,0.27,0.16,0.25,1961596800,,24,0,indicator <= low
MSFT,,,1987-02-01,0.25,0.28,0.23,0.27,1834272000,,24,0,indicator <= low
MSFT,,,1987-03-01,0.27,0.34,0.26,0.34,1783324800,,24,0,indicator <= low
MSFT,,,1987-04-01,0.34,0.38,0.31,0.36,2118585600,,24,0,indicator <= low
MSFT,,,1987-05-01,0.36,0.45,0.36,0.4,2192054400,,24,0,indicator <= low
MSFT,,,1987-06-01,0.4,0.4,0.33,0.35,1729353600,,24,0,indicator <= low
MSFT,,,1987-07-01,0.35,0.37,0.31,0.33,1813536000,,24,0,indicator <= low
MSFT,,,1987-08-01,0.33,0.42,0.32,0.41,2034921600,,24,0,indicator <= low
MSFT,,,1987-09-01,0.41,0.46,0.37,0.46,1554912000,,24,0,indicator <= low
MSFT,,,1987-10-01,0.46,0.55,0.26,0.35,3567225600,,24,0,indicator <= low
MSFT,,,1987-11-01,0.34,0.36,0.28,0.31,1550188800,,24,0,indicator <= low
MSFT,,,1987-12-01,0.31,0.39,0.28,0.38,1780200000,,24,0,indicator <= low
MSFT,,,1988-01-01,0.38,0.43,0.36,0.39,1966795200,,24,0,indicator <= low
MSFT,-0.3696581196581196,0.5864406779661017,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.24583333333333335,24,1,indicator <= low
MSFT,-0.3678861788617885,0.5819935691318324,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.2591666666666667,24,1,indicator <= low
MSFT,-0.3044871794871795,0.4377880184331798,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.27125,24,1,indicator <= low
MSFT,-0.25657894736842096,0.34513274336283173,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.28250000000000003,24,1,indicator <= low
MSFT,-0.26458333333333334,0.35977337110481583,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.2941666666666667,24,1,indicator <= low
MSFT,-0.3421985815602837,0.5202156334231807,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.30916666666666665,24,1,indicator <= low
MSFT,-0.21443089430894305,0.27296248382923666,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.32208333333333333,24,1,indicator <= low
MSFT,-0.02328431372549024,0.02383939774153079,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.33208333333333334,24,0,indicator <= low
MSFT,-0.04745370370370357,0.049817739975698515,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.3429166666666667,24,0,indicator <= low
MSFT,0.03308823529411759,-0.032028469750889625,1988-11-01,0.34,0.35,0.31,0.33,1558929600,0.35125,24,0,indicator <= low
MSFT,0.08459595959595953,-0.07799767171129214,1988-12-01,0.33,0.38,0.33,0.37,1030464000,0.35791666666666666,24,0,indicator <= low
MSFT,-0.010135135135135219,0.010238907849829438,1989-01-01,0.37,0.42,0.35,0.41,1375084800,0.36624999999999996,24,0,indicator <= low
MSFT,-0.09044715447154478,0.09944134078212298,1989-02-01,0.41,0.45,0.41,0.41,1802145600,0.3729166666666666,24,1,indicator <= low
MSFT,-0.09722222222222222,0.1076923076923077,1989-03-01,0.42,0.43,0.32,0.35,3058704000,0.37916666666666665,24,0,indicator <= low
MSFT,0.08452380952380958,-0.07793633369923166,1989-04-01,0.35,0.39,0.33,0.39,1134820800,0.37958333333333333,24,0,indicator <= low
MSFT,0.0010964912280702007,-0.0010952902519167833,1989-05-01,0.38,0.42,0.35,0.42,1258977600,0.3804166666666667,24,0,indicator <= low
MSFT,-0.09226190476190464,0.10163934426229494,1989-06-01,0.42,0.42,0.36,0.37,1072584000,0.38125000000000003,24,0,indicator <= low
MSFT,0.032657657657657664,-0.03162486368593239,1989-07-01,0.37,0.4,0.36,0.38,1221019200,0.38208333333333333,24,0,indicator <= low
MSFT,0.010964912280701861,-0.010845986984815722,1989-08-01,0.38,0.42,0.38,0.41,1380729600,0.3841666666666667,24,0,indicator <= low
MSFT,-0.06300813008130064,0.06724511930585664,1989-09-01,0.41,0.48,0.4,0.48,1284523200,0.3841666666666667,24,1,indicator <= low
MSFT,-0.1817375886524822,0.2221018418201516,1989-10-01,0.47,0.6,0.47,0.57,2608992000,0.38458333333333333,24,1,indicator <= low
MSFT,-0.30847953216374274,0.44608879492600434,1989-11-01,0.57,0.62,0.53,0.6,1835870400,0.3941666666666666,24,1,indicator <= low
MSFT,-0.3333333333333333,0.49999999999999994,1989-12-01,0.61,0.61,0.52,0.6,1460664000,0.4066666666666667,24,1,indicator <= low
MSFT,-0.3176229508196721,0.4654654654654654,1990-01-01,0.61,0.67,0.58,0.64,2380968000,0.41625,24,1,indicator <= low
