symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_3_months,moving_average_window_months,condition,screening_rule
SPY,0.0,0.0,1993-01-01,43.97,43.97,43.75,43.94,1003200,43.97,3,1,indicator <= high
SPY,0.0,0.0,1993-02-01,43.97,45.12,42.81,44.41,5417600,43.97,3,1,indicator <= high
SPY,-0.006620287253141869,0.006664407545464853,1993-03-01,44.56,45.84,44.22,45.19,3019200,44.265,3,1,indicator <= high
SPY,-0.01088397790055248,0.011003742389543646,1993-04-01,45.25,45.25,43.28,44.03,2697200,44.7575,3,1,indicator <= high
SPY,0.007569743706055679,-0.007512873181575056,1993-05-01,44.09,45.66,43.84,45.22,1808000,44.42375,3,1,indicator <= high
SPY,-0.010536029087703803,0.010648219033169518,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.901875000000004,3,1,indicator <= high
SPY,-0.002417165336879439,0.0024230221821085218,1993-07-01,45.12,45.22,44.16,44.84,6117600,45.0109375,3,1,indicator <= high
SPY,0.0011237753284346534,-0.0011225138750360624,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.96046875,3,1,indicator <= high
SPY,-0.015616583171730305,0.015864329797476356,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.68523437499999,3,1,indicator <= high
SPY,-0.0021225547624238936,0.002127069584099631,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.782617187499994,3,1,indicator <= high
SPY,-0.010660354986105246,0.010775222684981482,1993-11-01,46.78,47.0,45.53,46.34,5351100,46.28130859375,3,1,indicator <= high
SPY,-0.003312850464155459,0.003323861921665437,1993-12-01,46.59,47.16,46.38,46.59,6128000,46.435654296875,3,1,indicator <= high
SPY,-0.0016564252320777294,0.00165917352897552,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.5128271484375,3,1,indicator <= high
SPY,-0.017101047046952738,0.017398580999169758,1994-02-01,48.16,48.28,46.56,46.81,10974400,47.33641357421875,3,1,indicator <= high
